,dates,nzd0060-0000,nzd0060-0001,nzd0060-0002,nzd0060-0003,nzd0060-0004,nzd0060-0005,nzd0060-0006,nzd0060-0007
151,2015-10-08 22:17:36+00:00,188.44277645153386,211.32409377321125,,189.51615553040875,187.38660301884119,184.78229165837695,189.85915468644802,189.08864223422552
152,2015-10-24 22:17:40+00:00,190.37703568511466,209.28019166247435,,180.57404687442755,181.59562192276223,182.6999826892474,192.37912572700037,190.8101048167641
153,2015-11-25 22:17:44+00:00,151.23841707047092,157.24220157193685,148.65770332304157,153.24871920921663,153.54400087839974,158.62733011967623,175.08326238268432,173.82009463440886
154,2015-12-11 22:17:42+00:00,158.4565793924786,156.61558372269414,160.87949179659964,156.7820733605264,156.10084969762994,163.091118925342,182.4600450720133,174.093463695249
155,2015-12-27 22:17:43+00:00,155.01876706653425,166.2359890424152,163.01536372103408,163.54607209893283,176.55129755127894,175.433075538653,187.6356643207063,178.24958455523273
156,2016-01-12 22:17:40+00:00,155.15533539281034,157.43137915591365,156.59704474813807,160.75431169810696,171.02053419925298,167.39796757869976,183.45946676619357,177.55620038969516
157,2016-04-17 22:17:09+00:00,195.81757335483354,211.03348673132865,,201.55162346946983,203.80057027230396,197.71339236777862,214.28362935241927,216.945262129421
158,2016-05-19 22:17:11+00:00,170.330241959938,175.54113076953377,170.51472901740343,177.4185199656003,181.34187398663414,173.825384348659,185.38104722283367,180.00768731091307
159,2016-06-04 22:17:16+00:00,163.53521478581638,166.91273789740882,157.47148810253663,179.2129390289856,174.7912333441565,162.17683985263255,177.13311846399,171.78917650347444
160,2016-08-07 22:17:37+00:00,182.92361045493016,188.96643766690778,179.8120700500382,187.341961165013,183.29650963292332,176.98665322317902,174.42130174676936,177.57707820412872
161,2016-09-08 22:17:48+00:00,191.1856991584213,213.7268228299348,,190.40767512944709,183.0472283975225,178.60303906166928,184.41161756013742,180.46801063460993
162,2016-09-24 22:17:49+00:00,212.79689814317368,248.41723295617288,,,212.15792112352935,204.77299926295416,213.19051549777728,208.33522295150647
163,2017-01-30 22:17:38+00:00,168.94840666361603,,163.89999700389563,162.89582873401463,158.49085917229593,159.29301461050375,171.57132784303346,177.3234381256551
164,2017-03-03 22:17:25+00:00,197.73907671668542,218.93387728881106,,180.2780307590123,179.97125607036583,183.23913081804375,194.7627137999175,202.6606239045388
165,2017-03-19 22:17:15+00:00,199.304113147416,223.5888342265535,,214.90707966928585,190.87818612585826,190.14046637931375,204.51975118616883,207.8108414451136
166,2017-04-20 22:16:59+00:00,200.56746523020735,228.20952549391293,,214.83033554438748,190.03191308254225,186.84017284137613,200.1848611466963,205.28842701825852
167,2017-07-09 22:17:23+00:00,157.46336923447907,164.55085195342554,157.82371569791837,166.53213347017925,176.7906226938836,161.37852013709005,165.78698187114972,172.25606861126505
168,2017-07-25 22:17:30+00:00,155.00761055485037,166.8763079226658,154.66758838210814,159.7494653321802,166.00147168751062,155.31142662226654,161.14119171744,160.82167551581685
169,2017-09-11 22:17:42+00:00,180.97237042367772,202.84391312531181,199.440103639494,193.36783889766255,184.62738753269946,170.03530023985985,175.15352535467028,177.39861316023269
170,2017-11-14 22:17:50+00:00,186.15078993316558,206.61131274953652,191.06093013373834,187.76031699797713,180.88824144424115,182.84141842620053,190.57451286000864,186.29106750964212
171,2017-11-30 22:17:44+00:00,,,178.57339594978524,,,,,
172,2018-01-01 22:17:44+00:00,143.58107120876466,,150.32529865207422,151.23130648077716,149.1848965097147,144.6689361694102,157.45554339074732,155.82718480038375
173,2018-02-02 22:17:27+00:00,142.32641298850314,,143.6024097999126,147.15021054202555,154.15873093812525,149.20230249142298,157.26172879702352,154.20977469429744
174,2018-02-18 22:17:22+00:00,155.08070870201604,,155.3907360708393,154.78311755032348,162.11497646004221,159.04295117138588,168.50581598824988,168.8400443567296
175,2018-03-06 22:17:14+00:00,,,,,,173.5188479649295,185.73856036327768,185.2732344398736
176,2018-04-23 22:16:49+00:00,213.85872593488943,,,,203.8235586961946,197.3599698101968,224.86437479458553,
177,2018-05-09 22:16:40+00:00,180.90118811245264,208.29299369601836,,179.61903886829214,179.038657425469,173.22545984231158,185.92156467168155,185.79680339389165
178,2018-05-25 22:16:28+00:00,,,174.28068009451408,171.78761722391914,176.1068663222665,163.35359768118744,162.64038728772627,165.2696353983721
179,2018-06-10 22:16:26+00:00,191.47940573682126,212.44929622137596,200.09965739964704,187.0889048034692,184.02075662791913,183.82046200860017,189.50434328403173,186.13347519873292
180,2018-07-12 22:16:44+00:00,,,,167.87472226877728,164.8748620727369,157.42919787310092,161.37763233362446,161.34055069555683
181,2018-07-28 22:16:51+00:00,177.15217433160416,186.43617393627898,199.73250594408557,164.49973318477544,156.40626276038688,154.8840741886511,168.76735088339836,
182,2018-11-01 22:17:30+00:00,221.14510199903032,,,,202.9244529794002,197.9195480756313,214.29539739629524,212.8501655933596
183,2018-12-03 22:17:30+00:00,181.98193757072085,201.1180751458196,185.71115624651446,171.43751170271506,174.23401569871413,167.95481911296883,183.75482738088215,184.96312339673375
184,2018-12-19 22:17:28+00:00,179.80174096983285,199.97479572104572,187.60478025851836,177.26811458447756,177.85307527302,,,
185,2019-01-04 22:17:27+00:00,158.21988295044005,,161.16172783216925,152.27978202669192,155.49460345720726,158.3141440712445,164.13968802400416,163.98371031128343
186,2019-05-28 22:17:17+00:00,197.79747801744338,214.86475084184067,,185.9590464355946,184.61250892379917,178.3069773503458,185.49296302177112,187.7872225810511
187,2019-10-03 22:17:57+00:00,183.79197605760027,208.16346211352788,,173.56111967657066,170.55810579825175,161.41380330645956,170.10098798257138,178.94524551084987
188,2019-11-04 22:17:58+00:00,212.50151746737532,,,,200.86929804226784,193.5213897760759,207.58113741029405,211.95242872690034
189,2019-11-20 22:17:54+00:00,220.57681512862035,,,,206.6601409524626,198.54483770519394,211.68054130106825,214.5616144560662
190,2019-12-22 22:17:51+00:00,191.62272197518195,214.35857542940053,,179.456192568846,166.19240446608666,167.85170292785676,183.8733633951707,191.1466248733927
