,dates,usa_HI_0014-0000,usa_HI_0014-0001,usa_HI_0014-0002,usa_HI_0014-0003,usa_HI_0014-0004,usa_HI_0014-0005,usa_HI_0014-0006,usa_HI_0014-0007,usa_HI_0014-0008,usa_HI_0014-0009,usa_HI_0014-0010,usa_HI_0014-0011,usa_HI_0014-0012,usa_HI_0014-0013,usa_HI_0014-0014,usa_HI_0014-0015,usa_HI_0014-0016,usa_HI_0014-0017,usa_HI_0014-0018,usa_HI_0014-0019,usa_HI_0014-0020,usa_HI_0014-0021,usa_HI_0014-0022,usa_HI_0014-0023,usa_HI_0014-0024,usa_HI_0014-0025,usa_HI_0014-0026,usa_HI_0014-0027,usa_HI_0014-0028,usa_HI_0014-0029,usa_HI_0014-0030,usa_HI_0014-0031,usa_HI_0014-0032,usa_HI_0014-0033,usa_HI_0014-0034,usa_HI_0014-0035,usa_HI_0014-0036,usa_HI_0014-0037,usa_HI_0014-0038,usa_HI_0014-0039,usa_HI_0014-0040
171,2019-01-07 20:53:55+00:00,224.41976519620178,181.2612255605358,183.0001240185006,203.601796875242,183.63683931579317,177.30394114130405,192.32142091657988,196.38790355722645,193.78133686541645,194.98822671763753,193.65956641410258,194.86515295540673,187.0261423593168,189.63062478294322,185.6056254836351,186.39575385903225,196.4401969027781,182.28875135867452,211.2443305323221,204.1162520242728,192.5658641601102,193.02994609317744,183.98857839316452,181.68097614387312,181.41488497821607,179.73419805401124,185.49532753402127,175.42136447747725,204.09957924775307,194.45831042576188,188.48489597645602,182.71804842624567,,,,,,,,,
172,2019-01-15 20:48:49+00:00,221.123611097046,175.8740145745528,176.33187504338866,189.59285469768912,181.54671996698022,182.82896897037153,180.80721192792328,,,182.83624414804598,174.05013659807278,174.15069403741353,160.12061335196796,168.0694025406395,170.7071937073087,183.97710637993634,189.89929546735985,183.55291816717593,,,,186.09863053624457,173.51693738286392,170.55082035453847,179.47580228206058,177.8793900307428,,,,,,,,,,,,,,,
173,2019-01-23 20:53:51+00:00,221.44189425486312,179.17640304215365,178.97061132157066,182.20807835018638,176.1349305497137,183.5368376836931,180.0185110316247,188.18297441626478,195.84162403569536,197.50563341521558,193.4212783897123,191.41253650673724,189.34844620469954,187.5547515911558,184.7836667667052,189.8438042658896,190.59097625574853,193.4290421996345,212.22699630206162,203.01463499707276,192.38417315356992,192.4204390011459,,,,,,,,,,,,,,,,,203.63818453121135,195.45781945395277,200.35521171302116
174,2019-02-08 20:53:49+00:00,222.10694100817759,173.89612588691716,190.33463335451103,181.12405915695933,171.60889260853162,172.30349648991947,169.01059487664747,174.25299646944995,186.86443578878266,188.83911001464406,192.70372554758924,188.77918846546413,187.15620394626524,190.13383709453296,183.3948375591339,187.32355342092748,189.23710686517938,185.44916531926836,207.27378601330287,201.53920604220588,194.18402949840691,186.41401815554204,178.09736876558674,182.6195357646386,188.93290284457777,188.31831020473385,193.62169122513833,186.2503368587008,196.04672517250648,189.50849822653007,186.35002311867825,179.7619326948552,185.95563047778987,186.91211411567423,181.5399179907044,189.02785029038995,207.326452861804,199.76735991244092,202.63845155956352,201.56543515638862,189.12756781675583
175,2019-02-24 20:53:46+00:00,,,,,,,180.3201893941347,181.47260526279774,187.6658129404857,191.53903338906582,194.35602126621947,196.7259321640758,194.8482579897804,205.70858737150954,203.5012473146253,204.75386417961047,199.75174303093485,196.88719868950815,212.87214982806168,206.4489731775493,198.98419549325507,193.89017784463476,166.17757253538616,164.54782111277916,185.8562758988242,179.44680557774274,190.50977219372282,,,,,,,180.27183542137612,,,,192.17525151341334,211.54580417062124,,
176,2019-03-20 20:46:49+00:00,224.45097782479513,166.4437434501771,170.92328707446333,,,,164.5484348212617,170.06318823758255,180.8230023135002,183.71600718131018,191.41660390279054,194.04514363294228,191.16819458767725,191.75773672305542,,,,187.10745523656453,198.74256892805442,191.65205375939007,187.57433082953082,179.48597874531654,182.01857677455024,182.84730473524925,186.82519574181595,192.2200565975737,190.42961687810742,186.102800556879,,,,,,,,,,,205.4574703957802,212.29498973965246,202.977351270616
177,2019-04-13 20:53:32+00:00,206.31277053845116,,,,,,,,,,,,,,,,,,,,178.82666721840576,172.54432616311553,169.08877158246537,172.42561591035684,177.12697134703723,178.9988895029075,183.49263714123734,182.30747868759136,180.0201862260776,178.39370595818323,181.00229344499377,173.80725974920938,180.38712904835438,181.97454448601587,175.0650664436141,182.3496501497126,188.7821445243104,189.54529319934352,194.7010872784558,202.82476026655496,187.0529889569748
178,2019-04-21 20:45:41+00:00,,,169.50140157774868,,,,,,,,,,,,,,,,,,,,,,,190.136788873508,193.383171353497,189.50223826684083,196.2934570386801,197.0677063740019,196.31791673217657,191.6656591982554,196.74168110747055,200.76773414159516,,,,,,,
179,2019-06-08 20:43:54+00:00,221.00885053518604,174.4613052248136,182.79619377040171,181.90137730158443,176.30145025018055,,,,177.56190539237284,180.10760528424507,173.62375512337556,181.45828643414535,184.13750420170766,185.43839269753423,181.75636722113097,,,,,193.7004281959167,182.91701854381228,181.09643251219165,177.3413275127603,176.04861374623334,186.64595372763768,187.09038717667778,195.81131161857326,185.92597102759765,194.245575665516,195.57685703880503,195.6614510186089,191.3909820360957,195.73112480579857,199.52287667147579,193.28335659619268,,,,,,
180,2019-06-16 20:53:53+00:00,236.2666171258924,,,,,,,,,,,,,,,,,,205.16141058608295,199.07588139931684,192.16067460528262,183.61936430126818,177.9654160688687,182.10940141326475,186.70239889271113,188.76385015671713,190.57311610235558,182.48966541939706,192.4281406290817,192.9610057318393,184.09594632214146,185.57535872900522,191.56839617271766,196.23669884953551,194.40499948051576,197.80757871682147,,,,,
