dates,satname,nzd0093-0000,nzd0093-0001,nzd0093-0002,nzd0093-0003,nzd0093-0004,nzd0093-0005,nzd0093-0006,nzd0093-0007
2022-01-13 22:12:02+00:00,L9,457.91,375.20,363.78,358.17,351.99,349.94,356.04,359.84
2022-02-14 20:54:45+00:00,L7,377.59,376.11,376.11,360.60,363.83,359.85,366.82,371.29
2022-02-14 22:12:01+00:00,L9,458.72,378.52,373.24,360.59,361.58,356.54,357.96,367.33
2022-02-22 22:11:50+00:00,L8,370.73,370.22,365.45,352.93,355.16,355.23,354.67,365.36
2022-03-26 22:11:35+00:00,L8,471.55,376.80,371.36,362.29,360.51,358.59,373.57,372.05
2022-04-03 20:50:05+00:00,L7,363.10,356.07,346.31,352.43,333.07,336.34,349.33,359.77
2022-04-03 22:11:45+00:00,L9,360.45,358.85,353.29,342.21,333.14,335.03,348.68,353.94
2022-05-05 22:11:31+00:00,L9,363.92,361.40,355.69,346.63,335.63,340.63,345.74,347.77
2022-05-21 22:11:19+00:00,L9,365.88,363.89,363.92,360.30,351.34,358.99,369.88,371.74
2022-06-09 20:43:06+00:00,L7,,,,,,,,282.62
2022-06-14 22:11:59+00:00,L8,456.29,375.04,372.75,365.31,360.83,360.41,376.49,375.64
2022-06-26 20:42:04+00:00,L7,608.76,,,,,,,
2022-07-16 22:12:03+00:00,L8,334.98,356.91,356.27,348.38,334.57,348.74,351.08,349.09
2022-07-30 20:39:33+00:00,L7,,,,317.29,314.73,,,
2022-08-09 22:11:58+00:00,L9,473.97,382.45,378.81,374.98,363.82,362.08,375.27,374.93
2022-08-11 20:32:43+00:00,L7,,,,,,,,
2022-08-28 20:31:10+00:00,L7,,,,,,,,381.21
2022-09-14 20:29:30+00:00,L7,,,,,,,,
2022-10-23 20:30:45+00:00,L7,383.26,382.03,383.86,369.26,364.73,359.66,363.87,370.89
2022-11-13 22:12:17+00:00,L9,332.63,357.74,356.76,349.79,343.08,338.87,349.22,353.59
2023-01-21 20:22:24+00:00,L7,331.37,336.17,349.61,336.93,333.77,337.60,346.72,342.81
2023-02-09 22:12:09+00:00,L8,340.81,361.02,355.50,350.46,341.65,348.78,353.28,363.69
2023-03-01 20:19:31+00:00,L7,385.89,,356.34,356.50,360.77,,,374.54
2023-03-05 22:12:01+00:00,L9,372.04,367.84,360.46,351.24,345.45,351.70,,364.52
2023-03-13 22:11:47+00:00,L8,365.26,364.31,363.58,352.04,345.34,353.94,356.66,363.72
2023-03-18 20:14:51+00:00,L7,377.38,,370.94,363.43,362.93,363.19,376.77,372.72
2023-03-21 22:11:55+00:00,L9,365.18,366.93,364.70,354.46,356.08,357.00,361.41,367.07
2023-04-09 20:13:47+00:00,L7,246.88,,343.12,342.28,327.18,339.53,,
2023-05-16 22:11:04+00:00,L8,476.78,386.83,380.11,375.62,364.48,365.57,377.28,382.31
2023-05-18 20:05:32+00:00,L7,,,,,,,,
2023-06-09 20:02:35+00:00,L7,,,,,,,,
2023-06-09 22:11:12+00:00,L9,345.51,335.73,346.48,338.72,336.86,335.33,344.48,343.30
2023-06-17 22:11:17+00:00,L8,458.18,362.09,366.11,352.92,345.37,352.77,361.71,359.18
2023-07-03 22:11:27+00:00,L8,362.18,361.62,364.07,354.03,353.19,357.08,378.74,368.59
2023-07-11 22:11:24+00:00,L9,474.73,381.04,379.59,371.73,365.83,366.46,378.98,376.54
