dates,nzd0550-0000,nzd0550-0001,nzd0550-0002,nzd0550-0003,nzd0550-0004,nzd0550-0005,nzd0550-0006,nzd0550-0007,nzd0550-0008,nzd0550-0009,nzd0550-0010,nzd0550-0011,nzd0550-0012,nzd0550-0013,nzd0550-0014,nzd0550-0015,satname
2015-02-17 22:26:47+00:00,312.1142105263158,308.6,306.6842105263158,303.6038095238095,300.0107692307692,302.56,297.25,295.8038095238095,289.2233333333333,291.6913043478261,284.06210526315795,277.2513043478261,268.76454545454544,270.74380952380955,287.7733333333333,293.8466666666667,L8
2015-02-18 22:19:32+00:00,305.7552631578947,301.08,294.3852631578947,295.9666666666667,290.3623076923077,293.21999999999997,,,,,,264.41043478260866,258.52909090909094,258.5866666666667,275.99333333333334,281.43666666666667,L7
2015-02-25 22:25:48+00:00,298.67842105263156,296.39,300.8384210526316,295.257619047619,291.42153846153843,294.12,291.44,283.66761904761904,280.25666666666666,273.2326086956522,255.41421052631577,253.5326086956522,249.48909090909092,253.21761904761902,,,L7
2015-03-13 22:25:54+00:00,319.53526315789475,319.0,305.14526315789476,,,,,,,,,,,,,,L7
2015-03-14 22:20:47+00:00,310.91105263157897,310.0,310.98105263157896,308.7395238095238,306.4323076923077,306.05,298.49,294.9595238095238,286.17333333333335,282.1443478260869,277.8805263157895,274.8943478260869,274.07545454545453,269.3595238095238,291.79333333333335,297.94666666666666,L8
2015-04-06 22:26:20+00:00,292.80157894736845,287.32000000000005,295.48157894736846,294.99380952380955,295.32384615384615,293.73,292.21000000000004,282.19380952380953,271.4133333333333,272.4208695652174,271.3957894736842,262.15086956521736,254.3690909090909,262.7238095238095,270.0333333333333,267.1666666666667,L8
2015-07-11 22:26:29+00:00,,,302.0078947368421,306.2052380952381,303.09384615384613,299.27000000000004,297.61,,,,280.37894736842105,285.1173913043478,281.17636363636365,280.1352380952381,284.10333333333335,295.0966666666667,L8
2015-07-12 22:20:31+00:00,274.8668421052632,252.17000000000002,,298.32476190476194,289.6746153846154,301.07,291.45,,,,264.67842105263156,269.81739130434784,267.81545454545454,266.9947619047619,290.37666666666667,299.5433333333333,L7
2015-08-04 22:26:46+00:00,270.7494736842105,255.97000000000003,282.8494736842105,292.71190476190475,291.98846153846154,291.41,291.04,296.71190476190475,280.64666666666665,283.8152173913044,287.28473684210525,281.14521739130436,275.6918181818182,275.85190476190473,292.8666666666667,293.7633333333333,L7
2015-08-21 22:20:33+00:00,283.9794736842105,276.05,302.1094736842105,295.7195238095238,295.4561538461539,300.86,298.69,295.6895238095238,290.55333333333334,292.78608695652173,292.1247368421053,287.83608695652174,282.8281818181818,284.1695238095238,298.60333333333335,303.6166666666667,L8
2015-09-13 22:26:53+00:00,284.43157894736845,273.09999999999997,283.3415789473684,276.54285714285714,276.7969230769231,282.7,275.28999999999996,277.4328571428572,272.69,276.96521739130435,267.10578947368424,262.94521739130437,265.9736363636364,266.9328571428572,284.34,297.0,L8
2015-09-21 22:26:55+00:00,,,,288.39904761904756,284.9230769230769,283.41,290.86,289.4890476190476,288.3666666666667,285.7043478260869,286.56,279.16434782608695,276.0945454545454,276.64904761904756,296.12666666666667,307.6033333333333,L7
2015-10-16 22:21:01+00:00,270.9636842105263,270.77,279.0336842105263,277.4557142857143,276.4892307692308,278.22999999999996,282.15999999999997,272.4057142857143,261.59,263.43652173913046,263.25684210526316,,,,,,L7
2015-10-24 22:20:52+00:00,294.60157894736847,288.92,296.07157894736844,292.9090476190476,292.65923076923076,290.18,289.26000000000005,286.1590476190476,283.62666666666667,266.12260869565216,252.77578947368423,249.95260869565217,247.07181818181817,256.9790476190476,275.88666666666666,280.8633333333333,L8
