,dates,mex0023-0000,mex0023-0001,mex0023-0002,mex0023-0003,mex0023-0004,mex0023-0005,mex0023-0006,mex0023-0007,mex0023-0008,mex0023-0009,mex0023-0010,mex0023-0011,mex0023-0012,mex0023-0013,mex0023-0014
122,2001-02-14 16:28:26+00:00,177.22733160166015,187.37713558771915,169.7250180328486,182.86493809283135,178.3709499215261,191.8876820256651,194.13710086555363,191.0285484178978,182.00427465600282,176.83754042936505,169.45171807028834,177.27632919284198,189.52882126938783,194.57899523891413,198.84438723196746
123,2001-03-18 16:28:35+00:00,172.17892715889687,178.16746040810318,172.56846638069933,172.80985162480232,179.40165862997398,191.96006713436367,192.47578702914535,186.25264784027493,180.48331388624584,174.95974779369874,170.6622529732881,175.67267744798426,191.24615711915015,199.9310590518814,194.29439126165383
124,2001-03-26 16:38:36+00:00,183.9512288557982,181.44322552886112,172.23069322953893,181.66645770015927,189.8239935005558,191.77460113613867,190.9285221184016,187.57980287156573,189.50159058087246,179.56192879505576,174.01128309963434,172.26881719565822,191.3395105686696,196.2055293445771,195.02457180400737
125,2001-05-21 16:28:38+00:00,175.9316267581247,184.96914409613186,175.89362839616666,170.04831596459564,173.30437596291753,175.13433439442957,170.20284493888002,166.91688416691377,167.6811724009914,156.45212304122586,148.78340030889655,159.10713093615252,174.8593244322256,175.77398714767818,162.95837463468385
126,2001-06-06 16:28:48+00:00,182.47209671424514,189.44430295618636,171.5746428301682,168.22940467159845,173.1246340843707,179.48349379685413,171.42212434085167,168.65196913562164,169.23559175856184,151.40396434975034,145.44535381076008,151.32326991808873,144.2797114145253,150.58836797165108,154.34080625538724
127,2001-06-14 16:38:01+00:00,173.21751362892047,176.60159048697864,173.10667348654647,178.2405395069598,177.29991499338962,179.73702032205392,169.69798514881523,168.78793982796554,167.73777336870592,154.9282022462895,154.0387054987875,156.26990711267518,166.82195791378462,176.62192420492832,164.48112249076857
128,2001-08-01 16:37:34+00:00,177.2293747830329,178.61800705377914,182.83643381255033,178.3374988405919,180.78174289562284,176.0880612266516,179.61998364791233,175.49832620521164,170.41588109345426,164.48892073588843,154.14512473695734,162.4437913624809,169.3804903132497,174.3033003579407,155.03091037133424
129,2001-09-02 16:37:05+00:00,180.91626221349838,180.29701425124694,178.70517174639076,178.03443970351466,176.3142505551584,172.68724397649996,186.04620325698295,176.5271480893341,171.77886848059194,170.92235812717337,160.04016704608014,162.47711775571506,170.1383062049307,166.96991097427133,180.868899022303
130,2001-10-20 16:36:45+00:00,194.1389226248983,201.25850109248427,183.72368108333833,185.94909386490409,191.9252330803622,195.01617966336914,190.9823734335753,193.61987624120547,183.43130697756885,177.7210287656136,160.30208633695315,171.06400576834199,187.83619578080055,186.93909897611167,182.03738810416968
131,2002-01-24 16:37:18+00:00,187.31467763316144,192.62500877115028,182.35705752679834,194.2768862833322,192.47621220157964,202.09998992849654,199.57733510432186,194.9704642744172,189.45598839085574,186.57633470535336,179.15027852007785,184.03614671722136,201.60152404743792,195.4203494341073,179.67861519809992
