,dates,chi0508-0000,chi0508-0001,chi0508-0002,chi0508-0003,chi0508-0004,chi0508-0005,chi0508-0006
298,2011-12-18 14:35:42+00:00,,,,180.52645747823044,174.97582305739994,183.31521610671717,168.6989268161768
299,2011-12-27 14:29:38+00:00,,,,,,,188.73067667435382
300,2012-01-12 14:29:42+00:00,234.8485231673391,184.55792672510665,179.02635426176244,178.67681949793885,163.57693049222868,165.6898866978056,175.33611242753528
301,2012-01-19 14:35:51+00:00,264.9013500072075,194.06681102263659,,,,,175.57390766506688
302,2012-02-13 14:29:47+00:00,249.7598331623686,209.96265058637312,,,,,
303,2012-02-29 14:29:47+00:00,,,,,167.39451837121214,175.95175815713728,173.75086405680588
304,2012-03-07 14:35:56+00:00,,207.09204824270154,200.7169853224442,200.76754101766753,,,
305,2012-03-16 14:29:47+00:00,249.73283432677204,211.5861394753237,,,,,
306,2012-03-23 14:35:58+00:00,,210.23948695135235,201.29472219683572,196.22180268182797,187.31442722606246,181.20466521833856,194.35291282234323
307,2012-04-01 14:29:46+00:00,,,,210.3516503243603,205.9675521586726,206.98826162068298,196.4586600173949
308,2012-04-24 14:36:07+00:00,234.9253901506069,211.57249262510223,208.3583567580185,202.54857288466732,126.12731610134112,,
309,2012-07-29 14:36:46+00:00,,,,,,,
310,2012-08-07 14:30:42+00:00,,,,,,,
311,2012-08-23 14:30:53+00:00,249.2729695049541,192.14762149451485,183.51539936481117,169.31566258976758,163.663165390195,156.50838346038333,186.98142943874237
312,2012-09-08 14:31:03+00:00,234.76485458492436,195.42297701410968,178.97538966037789,178.9305193874068,,,
313,2012-09-24 14:31:12+00:00,,,,,167.2044350086046,181.95886561221462,218.26415905968065
314,2012-10-10 14:31:19+00:00,234.53708077376822,190.70743823327555,,,,,216.64564021586384
315,2012-10-17 14:37:36+00:00,219.03200679149504,183.90916681231045,172.2946118076178,167.40124399892068,140.75171296266845,153.6619277235662,149.4353624589723
316,2012-11-11 14:31:34+00:00,,,,,,,185.06132165273647
317,2012-11-27 14:31:39+00:00,234.71759293204266,183.233696851169,180.61861865941518,174.9994915168617,165.11145302585146,,
318,2013-01-05 14:38:01+00:00,219.7393631026445,187.3031540178514,181.75694657713277,175.98431740172887,161.32146975420147,162.42853447060014,
319,2013-01-14 14:31:48+00:00,219.50844774930428,191.49622713774806,186.00310766354687,181.08340379673902,146.32152659123244,159.8116263582812,191.38173331969864
320,2013-01-30 14:31:52+00:00,,,,,,172.61068467990165,189.03482658919566
321,2013-02-06 14:38:04+00:00,215.50612500231895,211.78067771930608,204.87561665407907,214.4095753070129,,,
322,2013-03-03 14:31:49+00:00,222.08713931703454,212.19525797868073,212.59172676450345,213.47366516465104,201.5152448675792,202.66684988370952,180.90730771870273
323,2013-03-26 14:37:53+00:00,234.93170000239323,213.22197622765106,210.14443139765234,207.97488422626535,186.43143278127496,208.07934122655843,
324,2013-04-11 14:37:52+00:00,249.6107728337905,202.22169731948634,201.4881822700736,,,,
325,2013-04-12 14:37:27+00:00,249.64280306313856,209.40766881175514,207.58475985642744,197.00629538848307,196.4159134455192,181.42716460992352,188.34344290485808
326,2013-04-19 14:43:39+00:00,249.91780181061216,213.16058558070785,207.19601463780182,199.6898733342622,191.81004005998213,171.29334092612478,187.93654432959352
327,2013-04-27 14:37:45+00:00,,,,,,169.41988451274892,185.73513615482528
