,dates,jap0336-0000,jap0336-0001,jap0336-0002,jap0336-0003,jap0336-0004,jap0336-0005
83,1998-05-31 01:19:02+00:00,128.69831106682014,134.08752145616964,137.03205897229782,139.7308837591078,142.08511597585328,144.97196321822898
84,1998-07-02 01:19:26+00:00,125.22349207202228,137.0386817356879,137.026650406998,141.88375684263244,140.01270687213844,147.33828820033025
85,1998-08-03 01:19:41+00:00,136.63208606635237,137.23170267962837,139.62360373289573,144.23706242207896,141.68395424754178,151.9427209421501
86,1998-08-19 01:19:49+00:00,146.6492755060071,148.07080863449596,146.13706933350562,150.65181083470964,147.23603384973515,151.8006860248837
87,1998-09-04 01:20:01+00:00,157.2126321382703,152.42046797000333,152.23883698843514,155.28889106427144,156.72119174370073,165.84694910943335
88,1998-09-20 01:20:09+00:00,,107.93206483543273,129.69833174621886,137.02535236964292,138.80995551652612,147.41214765553295
89,1998-11-23 01:20:22+00:00,158.35766724172043,152.68518694000025,150.30335045661454,159.5817777277159,147.63181375776196,152.96850401446846
90,1998-12-25 01:20:24+00:00,152.1711434232501,152.308643582296,151.8080265380843,164.13007617705588,,179.92786236804912
91,1999-01-26 01:20:23+00:00,142.13885540530367,142.03306185772328,140.13091166169363,145.40756827053735,148.6621928018684,140.25826036628976
92,1999-08-22 01:18:49+00:00,117.53505574058666,120.54227115139334,122.5725028779987,126.99412349311939,129.00711005114775,136.75319324415545
93,1999-10-01 01:34:22+00:00,151.2584395990159,140.41229637283055,145.29691819540056,148.94613334942665,153.24946515782935,152.59848190849766
94,1999-10-25 01:17:47+00:00,178.95195231830405,,162.4665563595543,145.4001827928468,138.30602892106762,132.75291534291907
95,1999-11-10 01:17:15+00:00,152.67995847125204,140.74656602436957,136.79239758700544,143.6362767551055,145.47339483726,150.4248485604151
96,1999-12-04 01:34:11+00:00,160.36722016294243,147.7626288401208,143.0618561840415,136.98897522504163,142.31509533564974,145.94009629570246
97,1999-12-12 01:16:28+00:00,170.00402930497754,158.5686679606495,148.35295550341948,152.9057445615254,154.8560003985923,158.23500111017435
98,1999-12-28 01:16:26+00:00,170.67071062711963,155.76877789917268,148.01215083968245,152.67421305065358,159.88755547701933,162.6506687589581
99,2000-03-01 01:14:41+00:00,148.78874022417958,143.54304252323016,143.4617017177004,143.72605348545042,134.7199576884162,140.80400443369106
100,2000-04-18 01:16:05+00:00,138.44909137063593,128.52353876571917,,,133.4643909962936,142.64922672015095
101,2000-05-04 01:16:51+00:00,114.30779380419895,107.4344936567495,,122.51709425739443,120.85186654599386,127.83004237599383
102,2000-05-12 01:33:28+00:00,131.6995670324479,133.09680913299061,135.98733407235912,138.3148355762796,138.65016757248102,145.7615267934024
103,2000-05-28 01:33:17+00:00,,,,,,
104,2000-06-29 01:33:00+00:00,134.77918953159912,134.7382545079672,132.24790361451258,137.26576880787127,134.98729221420595,143.7510034128224
105,2000-07-07 01:18:10+00:00,126.38985793258587,126.5049520424603,133.0091522896869,137.81680571888455,141.7632127036129,148.0864702479655
106,2000-08-08 01:18:45+00:00,134.57073433942045,139.04063032243738,139.4556162463616,144.6899867583141,130.5538687268941,138.10663472733748
107,2000-09-17 01:31:53+00:00,148.0293401669405,146.81988290063646,144.93084606237912,148.17465501870123,152.74244886311877,152.08453583883815
108,2000-10-11 01:19:51+00:00,155.6105485241417,150.10493781629745,145.82471484132407,150.30434600267114,149.34661553678478,154.98077436162066
