,dates,aus0249-0000,aus0249-0001,aus0249-0002,aus0249-0003,aus0249-0004,aus0249-0005,aus0249-0006,aus0249-0007,aus0249-0008,aus0249-0009,aus0249-0010,aus0249-0011,aus0249-0012,aus0249-0013,aus0249-0014,aus0249-0015,aus0249-0016,aus0249-0017,aus0249-0018
521,2013-03-18 23:40:13+00:00,157.66267961646375,150.44568361370426,,,,147.69268406759062,158.75929144948938,182.18741281170128,193.99854983554243,189.79816528633597,208.16563696465184,215.10117063960342,,,,224.96956379375214,228.11500871198788,225.2607500892462,228.95346345978288
522,2013-04-10 23:46:19+00:00,,,,,,173.27572762986773,179.92022686977018,183.91741314482107,202.55965962857795,206.4458927552104,,,,,,232.77300563481705,230.11397153187465,223.19568615826267,235.02831408687834
523,2013-04-11 23:46:11+00:00,162.16521886123124,179.3471100561364,170.98981067461767,170.79173737886566,169.03854457311868,170.78349124176614,178.99525344087294,189.04671225917713,202.8291331727281,206.5537642306547,227.16246220848757,225.95102015544174,244.72866546041155,253.37464799680438,236.58357592324734,237.7766764500579,236.26343411779823,227.02018105789486,236.68392480142586
524,2013-04-18 23:52:06+00:00,145.93512959928475,141.2410715979489,136.35951443763753,148.25059483555984,143.74708809767438,156.00747986257554,164.14428079272218,179.86493740616328,187.67746962069094,181.23730123560685,196.38682626172974,207.59015240016066,230.0308016221266,236.67013492975437,221.6842251835984,216.36505668760893,209.86330869102727,200.18016693008704,217.18776813781045
525,2013-04-26 23:46:12+00:00,,,,160.52840393085535,161.26807212100863,171.23806017055887,178.65151418557127,194.52775404330927,,,,,,241.1865001905749,220.43468084410705,223.27208128843176,231.24767747006644,223.33979939582272,238.1039943048263
526,2013-04-27 23:45:52+00:00,146.84602127446192,167.47846100611628,172.03205516258143,171.05655758127222,172.92775930612993,180.8884453740705,182.13797075525156,195.21938832313955,200.13993572043682,199.58951374435088,215.64891208589933,222.2236014001964,229.60380621126717,241.10195324653844,229.23400640702292,222.56089635202082,227.64967965603196,218.05757745859697,230.09958629468437
527,2013-06-14 23:46:05+00:00,141.99978685918978,154.28754220194415,159.69695953800942,161.68375575519354,173.39676411683655,176.58153922305056,175.46013016168962,168.0839513161371,173.26570918066628,188.925710296129,198.74340742896723,194.99212860741395,213.5520520340209,219.49814611392102,201.36642016937162,198.80113072640327,205.5867368168844,187.95697410134318,210.41945507312926
528,2013-06-30 23:46:05+00:00,135.81865951840533,159.9303177483072,163.94895194632628,176.7660365283486,184.79142304918807,197.07125628261934,170.97759561902745,170.5604214748926,184.89681904434326,192.51673380125266,209.43513965154014,211.90773496466892,211.87160043426587,209.53920188714406,207.0916303795223,213.2640203941048,215.6584987400891,192.29925959480414,222.94979569195937
529,2013-07-07 23:52:17+00:00,119.562278571328,144.63741549289503,151.01416051078533,165.20630283679066,166.5698226036364,175.88328859994598,176.39303511944442,176.2971904776986,177.25833236524915,184.60944658804672,194.56478344753637,197.83537359496773,206.54761423242175,208.2759544116124,206.6150425780108,210.31128421331405,207.61295257880434,182.54051503960136,207.88791528744468
530,2013-07-08 23:39:32+00:00,130.61724892323863,145.9563069215502,,,176.23070718504948,178.5868019218466,187.2375779618243,181.70225452816393,185.93880009818713,196.99992293557102,208.19804881020352,204.4923554648026,,,218.88679878559165,223.06442157838185,224.52227729123413,199.8587721833965,220.7138674640765
531,2013-07-24 23:39:25+00:00,143.5856105609897,148.7276256908698,152.62926564862948,164.48314112037716,167.67869340378482,173.6660085933145,180.35103820976926,,,,196.68692011132174,202.77185456701477,194.63199587330874,205.19853449769653,215.99077071510294,209.08651420970972,211.41260313021758,,
532,2013-08-01 23:46:07+00:00,135.9220185620663,155.87740949280308,160.33043385433265,176.33374611164624,171.1819599467154,182.09135304550534,186.9501008438207,176.28630508036224,175.58015103329058,202.11959132992888,210.64283150284612,208.01080562283656,216.69192165983546,225.7335264234154,214.82713899403174,213.9519182365407,209.7174379418211,191.88859697784108,209.5856673970101
533,2013-08-09 23:39:19+00:00,144.85409964146342,164.66100359930425,167.46761198845255,174.54928816740411,,,188.13015915496533,181.3030662257662,179.2892065999688,196.30106971893235,221.79076305033885,220.65324269234557,228.48638869488752,232.76178682160986,,,219.79636886218051,205.6284447877095,221.0084297024262
534,2013-08-16 23:45:36+00:00,165.03984699473548,176.63085335152851,181.22961188527168,,,,,,186.5340262600422,193.3975696608543,229.88923925008766,226.99276211710256,226.1883234249453,,,,,,217.78697374787757
535,2013-08-17 23:46:08+00:00,164.883914679605,167.74599183998333,172.28629851481818,180.04484507826527,168.25920174213243,185.0000854766663,192.90564058443223,183.84169403086327,186.66808264957115,199.54229441524942,224.09856867645598,224.42434424307703,229.10845018576995,229.93938670030087,217.606578047385,219.98674950742665,217.28999731226287,204.26107896400032,219.31845168626103
536,2013-08-24 23:52:20+00:00,165.03659657710935,175.87357425615716,175.42723134785152,178.02807735687588,173.99890343231925,179.067972867743,194.78598805011416,192.68052135958968,191.1845341469487,198.06834185059313,230.51617592286027,234.39757568236848,236.1303108303498,234.88903901327717,219.47043424437447,217.99158284717433,223.8450560809197,209.09374572287757,222.51781801022472
537,2013-08-25 23:39:31+00:00,,,,176.87250733153243,171.57381201136866,179.4188579235397,192.34328038329164,196.9281259174799,192.11899559191912,197.52553601445229,,,,230.16890791590203,210.89404646513216,210.63385139291898,225.43793402309353,207.97475898610898,220.26287926450647
538,2013-09-01 23:45:47+00:00,172.32196185295908,178.83784821701875,179.98600764816106,178.42068303629532,,,,,,197.22398562687152,215.0854314679413,210.67281065394994,222.93738326353994,231.83855517163352,,,,,
539,2013-09-02 23:46:09+00:00,171.1122594445869,172.9079861936928,178.03824854634135,170.20949906224382,168.2285754893272,186.03714811684935,192.7547029365004,186.67738255679603,195.9958806350025,203.635016334634,218.71729431643553,217.5091265361257,224.7669589595684,229.3016623044581,223.47395074271836,217.22500718105107,216.99431902855295,204.70120512214197,221.405318914478
540,2013-09-10 23:39:43+00:00,167.56863801515846,174.59706997528755,179.16181121472184,177.20966527927288,183.11566585504366,196.39857567015113,197.02185052408967,,,,223.2580581784745,222.82190162238018,231.3042374884034,247.96630312249715,229.42819035551958,231.36819162511438,230.37011983949412,,
541,2013-09-18 23:46:03+00:00,153.1757553721784,169.78681201245294,167.13615196418587,172.3457614072918,167.98291178039534,178.97295173789377,180.92980187796348,184.0236275221763,191.45072531964186,191.94767850455852,210.10998161405666,219.41257098713191,222.47018744789742,223.45225939687452,216.59459102009197,209.60183326771687,208.27506887730786,184.96792430804447,217.2509665389625
542,2013-09-25 23:52:10+00:00,162.43769536463486,173.0389445580053,165.7083070336001,172.99434723099228,175.83578215879248,182.56541234898992,188.46121131104368,190.11724243623755,198.31121576871126,203.03074017678478,217.83033077674722,226.6269346491608,235.31383942019554,230.96830235153362,225.85301335699177,214.74332067853848,211.34862491293032,185.34482769148727,211.5286957683776
543,2013-09-26 23:39:52+00:00,163.88077406678744,171.94013951437208,171.21576280986054,176.01091295253346,177.32163525665655,177.6256402876415,,,,195.6265105954902,212.01023306713307,222.34461286586654,233.4082656284307,236.35990853887515,218.1196738413944,215.8173987941369,,,
544,2013-10-03 23:46:09+00:00,,,,163.49082220711378,164.92447429423558,172.773413268821,177.99358237514008,187.07043205167966,,,,,,226.20275185758302,200.84789970062448,206.21565454978662,214.50775470603458,197.15919307434413,209.00436445767747
545,2013-10-11 23:52:10+00:00,161.11375403844494,183.1140334200198,181.06747864480892,171.89501406488168,172.8013431715793,182.54263717561548,188.26806014853858,190.4877135881457,197.79237545102364,195.54453348789704,209.82787672333282,222.0851096271135,231.93694807341532,222.24202979850477,194.98944274621775,189.6525139591568,195.6599862295548,185.40478503796595,210.27530935510072
546,2013-10-12 23:40:06+00:00,155.00630357514078,175.67459457499157,,,,168.41240881652394,176.86051167150552,180.85493359684696,193.70484233931967,189.89393092003334,202.74142283885257,210.4496786428094,,,,184.2122336669166,186.76819115485722,173.71534469887044,200.79554738415655
547,2013-10-19 23:46:20+00:00,163.88910694328965,181.65173802451537,178.43173095533493,,,,,,199.58374146449336,202.87316205803705,218.1723640793091,229.975352883192,236.94292934717274,,,,,191.6095719891664,208.830685248794
548,2013-10-20 23:45:55+00:00,147.46714555597177,175.39467480552813,167.65230113732747,166.73830061011552,,,,186.11730891441644,189.36540536223123,185.61215441256277,201.72757349596955,218.61198098942074,223.6764839557134,220.11747459878086,195.27864218974722,190.97731838519556,185.45489942518182,173.4748496796995,
549,2013-11-05 23:45:51+00:00,,179.43137088387093,174.90335547425974,178.24815554934955,172.78288900570305,165.06080868244007,185.3678267145327,190.96106716680634,187.54900629625973,191.51138164751194,204.78693724641457,210.90066733420892,221.4894958901889,220.9390265242135,195.00136277704374,178.35896489873932,191.749829398575,190.34572630621759,213.67421046339356
550,2013-11-13 23:40:17+00:00,,183.06888388553233,186.46802004516218,189.48667650516708,183.31006470327154,180.71850675797396,183.69652701486032,182.251309993972,190.4180888504184,,,217.54236262299753,228.50574986699135,234.84413224536198,213.6425879257503,200.57525552409425,198.66735950130865,190.65983353899182,223.86308176193234
551,2013-12-06 23:46:38+00:00,,,,,173.76429517621628,157.39448679320338,166.38931163137707,171.7905942001953,192.75110684036173,,,,,,190.06086143093373,187.30791205995948,185.1067221062565,181.37815242556178,203.08511433493743
552,2013-12-07 23:45:43+00:00,161.33998443216854,180.1539565764083,170.32523262106065,182.23209362886416,186.49777497869403,172.86710693299153,180.70956234351266,171.83092128322167,191.36398863656123,197.1580920289651,196.56159688444663,206.31551383071064,223.15903738568852,217.3495303499249,197.62114214483717,197.67778423704607,192.9555048036042,180.1023323509444,202.79861407029463
553,2013-12-30 23:51:42+00:00,158.87753288178314,173.18780353077833,178.91625368254273,180.5318229463768,181.6914740169179,174.25941315787202,172.94731011157856,165.85677757106725,182.26993108586342,186.14009843492883,200.70224974793837,212.88322356044438,223.476362419149,224.25017243598276,206.1417102458262,203.15755677810816,199.47842903027814,181.37403077333883,208.51428053386653
554,2014-01-07 23:46:44+00:00,,,,,,,,,169.7706145884496,188.4138347876908,198.47308414393962,,,,,,,,185.69621623333288
555,2014-01-16 23:40:43+00:00,175.64803463961522,177.77549985732549,185.49510785672516,,,186.119244567802,184.46711818729946,184.47990549213563,201.7114665518764,200.39665733553394,216.16044650568293,222.31119568114457,231.74942021073358,,,223.9514703776174,220.60934236080746,197.7084828397046,221.22308745307006
556,2014-02-01 23:40:59+00:00,171.08280834196447,,,184.59290098046162,184.68480779340945,181.82834480185974,180.1517196726779,181.62425884973126,195.7315461467522,198.2060102228488,206.4254509685556,,,234.0508157140927,218.17558652985306,218.8042145867458,213.74591415327805,199.40359054126682,221.92888792262238
557,2014-02-24 23:47:00+00:00,186.9164648050564,197.77653894727828,198.69548796790443,,,,,,206.21371138966725,207.993648844789,220.31191518101372,232.86051593588462,244.0595156344762,,,,,,232.56081332812818
558,2014-03-04 23:50:52+00:00,162.89695112494385,179.48279407753333,184.16631834362622,187.60442769113007,188.6340812496107,191.92275911322403,,,,,223.73281192854415,232.86377697415125,237.29563840968467,238.61690063537938,230.5425632161355,224.37007199257602,222.1620493048019,204.98508441045573,213.9547838868592
559,2014-03-21 23:41:01+00:00,161.96081632917844,174.5238792263449,174.53758748824924,,,187.9390903665132,193.7320390688625,195.05374251652316,202.50904527781273,213.8635028131696,220.0858566978787,226.93090327505962,242.0008895155971,,,234.75988841799125,234.1897133727149,213.31409547653473,226.63116023803948
560,2014-03-28 23:47:15+00:00,,,,,,180.17164849317624,185.28440650010032,191.16393343917687,203.41582101489539,210.62832589632438,,,,,,224.90619244420094,225.52694235795963,211.15763568540692,221.62801120158417
561,2014-03-29 23:44:20+00:00,158.89036104080301,188.05830907496477,175.47046214750978,177.41749585114627,184.18680102025453,186.21695540360008,194.8848937474937,205.14137131433955,208.22891751367666,210.0294298369586,227.17678027602182,228.16465462912626,241.78558914809162,245.76772601701606,232.6028267023464,234.5581796252062,235.21651899687004,216.75756652746327,223.47022948976596
