dates,satname,nzd0580-0000,nzd0580-0001,nzd0580-0002,nzd0580-0003,nzd0580-0004,nzd0580-0005,nzd0580-0006,nzd0580-0007,nzd0580-0008,nzd0580-0009
2007-01-05 22:02:28+00:00,L5,648.60,662.29,222.89,216.92,214.82,232.34,187.97,202.85,636.61,790.49
2007-01-13 21:57:50+00:00,L7,,,,,,,,,,
2007-01-21 22:02:33+00:00,L5,655.00,665.40,223.07,213.55,208.07,226.34,191.48,201.56,636.71,791.04
2007-01-29 21:57:57+00:00,L7,,218.87,227.39,224.60,,,,,635.93,
2007-02-13 22:08:46+00:00,L5,656.76,667.05,224.29,222.44,219.43,227.94,193.75,207.55,636.56,790.15
2007-03-02 21:58:07+00:00,L7,629.20,626.91,,,,,272.81,305.77,344.88,239.86
2007-03-09 22:04:19+00:00,L7,,,,,,,,,,
2007-03-18 21:58:09+00:00,L7,626.44,609.84,268.05,247.41,239.50,276.88,297.22,319.96,582.17,768.70
2007-04-19 21:58:07+00:00,L7,637.11,654.35,182.81,183.05,195.65,204.55,172.00,212.14,701.33,772.38
2007-05-12 22:04:11+00:00,L7,,,156.37,160.59,150.45,179.09,152.88,,,
2007-05-21 21:57:57+00:00,L7,632.29,648.67,,,,,,,209.75,211.40
2007-06-06 21:57:53+00:00,L7,,649.41,149.62,159.51,165.88,205.34,151.90,184.01,780.01,743.97
2007-06-13 22:04:04+00:00,L7,622.05,594.95,,,,,,355.24,258.25,296.55
2007-09-09 22:06:57+00:00,L5,645.68,632.03,285.44,131.09,183.21,266.69,270.29,301.88,615.20,794.44
2007-09-10 21:57:27+00:00,L7,,,,,,,,,,
2007-10-12 21:57:23+00:00,L7,208.02,659.66,220.85,214.45,215.86,226.44,196.33,212.04,650.58,768.59
2007-10-19 22:03:39+00:00,L7,206.56,206.59,212.51,207.18,193.03,213.91,174.73,186.10,652.03,769.46
2007-10-28 21:57:34+00:00,L7,215.19,215.02,226.50,223.70,219.41,228.66,192.86,204.94,642.55,767.87
2007-11-20 22:03:58+00:00,L7,650.65,671.55,,,,,,,188.14,190.96
2007-12-06 22:04:04+00:00,L7,,217.96,233.78,229.40,228.60,239.24,212.56,,632.88,
2008-01-16 21:57:59+00:00,L7,645.28,660.51,,,,,,,196.27,201.28
2008-02-16 22:04:21+00:00,L5,659.08,673.92,210.13,212.85,202.15,218.85,183.01,194.02,650.22,792.03
2008-02-25 21:58:00+00:00,L5,653.84,664.80,201.61,191.93,192.26,211.60,168.91,186.53,657.08,791.57
2008-03-04 21:57:48+00:00,L7,642.27,654.65,256.98,230.89,222.55,241.16,226.68,243.55,627.35,767.65
2008-03-11 22:03:56+00:00,L7,658.16,671.15,194.95,185.20,185.83,214.24,167.91,189.72,650.83,769.41
2008-03-20 21:57:46+00:00,L7,,,,,,,,,,
2008-04-12 22:03:56+00:00,L7,200.93,193.58,185.16,189.06,171.78,184.13,162.00,177.16,684.24,772.45
2008-05-30 22:03:41+00:00,L7,,,,,,,,,,
2008-06-08 21:57:25+00:00,L7,758.09,801.68,152.96,159.73,,138.61,92.06,,,131.24
2008-06-15 22:03:32+00:00,L7,726.89,800.82,,,,,,235.76,222.22,221.80
2008-07-17 22:03:10+00:00,L7,,,,,,,,,,
2008-08-27 21:56:41+00:00,L7,647.22,651.13,,,205.34,222.36,159.22,232.91,687.43,773.57
2008-09-19 22:02:40+00:00,L7,647.31,667.53,,,,,,185.31,191.87,193.84
2008-10-29 21:57:24+00:00,L5,653.07,663.98,227.05,212.73,209.40,221.64,200.64,212.90,649.74,790.65
2008-11-14 21:57:04+00:00,L5,656.73,667.95,228.65,212.69,219.26,226.64,204.96,222.92,642.44,791.52
2008-11-15 21:56:47+00:00,L7,,,,,,,,,,
2008-12-01 21:56:59+00:00,L7,,200.73,219.27,212.52,212.91,,,,657.72,
2009-01-10 21:52:34+00:00,L5,639.99,624.15,250.64,229.13,223.67,249.35,266.03,303.15,619.40,789.69
2009-01-17 21:58:56+00:00,L5,205.36,198.02,214.89,206.01,234.24,,,,658.34,791.13
2009-01-25 22:03:33+00:00,L7,217.34,215.78,227.05,222.14,228.69,237.67,221.11,,642.32,767.49
2009-03-23 21:57:50+00:00,L7,633.81,634.15,,,,,245.35,277.98,300.18,223.49
2009-04-24 21:58:01+00:00,L7,,,190.90,199.08,,,117.03,,,
2009-05-01 22:04:13+00:00,L7,681.67,658.24,,,,,,,204.20,203.24
2009-06-02 22:04:15+00:00,L7,637.63,655.06,,,,,138.98,177.29,206.79,205.84
2009-07-13 21:57:57+00:00,L7,762.19,792.41,158.86,153.63,,,91.34,176.12,210.12,221.71
2009-07-29 21:57:52+00:00,L7,,81.71,163.74,177.27,,,,,773.83,
2009-08-05 22:04:00+00:00,L7,644.24,649.99,172.16,215.67,190.58,210.41,171.83,265.72,781.93,771.28
2009-09-22 22:03:57+00:00,L7,,195.64,191.35,177.21,185.72,205.19,168.87,,660.13,
2009-11-18 21:58:17+00:00,L7,632.60,658.64,,,,231.65,203.24,214.71,207.71,203.75
2009-11-25 22:04:33+00:00,L7,,,,,,,,,,
2009-12-04 21:58:28+00:00,L7,213.44,211.74,226.17,217.35,224.40,229.06,196.65,209.15,645.59,766.93
2010-01-05 21:59:00+00:00,L7,650.50,665.45,,,,,,185.46,193.00,195.96
2010-01-29 21:58:29+00:00,L5,618.96,572.31,303.32,245.14,246.62,319.40,306.10,377.74,590.18,789.59
