,dates,usa_HI_0057-0000,usa_HI_0057-0001,usa_HI_0057-0002,usa_HI_0057-0003,usa_HI_0057-0004,usa_HI_0057-0005,usa_HI_0057-0006,usa_HI_0057-0007,usa_HI_0057-0008,usa_HI_0057-0009,usa_HI_0057-0010,usa_HI_0057-0011,usa_HI_0057-0012,usa_HI_0057-0013
92,2005-06-24 20:49:39+00:00,224.15046354308868,213.5571188575049,213.83264779841767,217.15567574146672,219.50908884813407,,,,,,,,,
93,2005-08-27 20:49:28+00:00,200.79611229583472,205.29801913438016,207.41402724533128,207.68368614757688,217.38063073040306,,,,225.16986823619092,,,,,
94,2005-09-03 20:55:35+00:00,,,193.4779441489555,201.68859892421636,207.49024071869408,,,,,,,,,
95,2005-09-12 20:49:18+00:00,,,198.72241846767452,156.8674797406133,,157.29049944353756,139.88153139202117,138.42961524306332,,157.17333501846727,157.98154702529467,,176.31491832056196,191.22074161209528
96,2005-09-19 20:55:29+00:00,161.88469940839758,188.2016844915702,189.20258705722654,193.77549436529654,197.620401342258,,,,,,,,,
97,2005-11-06 20:55:50+00:00,163.61889267872192,,,195.70371806366853,,,186.70614950533025,189.41789272026222,,,,,,
98,2005-11-15 20:49:44+00:00,154.3369057441554,,,,,,,,,,,,164.67538957534845,182.54353570192072
99,2005-11-22 20:55:58+00:00,155.84665851680086,,187.37955259766554,183.65207537420582,178.07130805767318,149.85951919408552,178.07447193568063,177.30149433448338,178.30533097237472,146.6277381094638,,,,
100,2005-12-01 20:49:50+00:00,,,,,,,158.57959177847735,145.62508671538077,141.1788286522451,151.3572528386261,140.43430093791702,,,
101,2005-12-08 20:56:02+00:00,156.6272629205064,,173.4538458085377,159.0435850286134,163.34113238495704,147.01095220558784,144.02788090996683,,141.30586652833506,124.01956543824289,115.49221076633776,131.0190877634626,153.82732967725923,
102,2005-12-17 20:49:51+00:00,152.59172688702995,,161.1571007178666,162.75824968875963,,,,,,,,,,
103,2005-12-24 20:56:05+00:00,155.76659432608153,,,143.28446317334507,,,,,,132.66376586607257,128.44200611559515,146.868836532603,152.00696045267873,
104,2006-05-10 20:50:18+00:00,,,190.33648238242745,195.82281564332763,204.81326935107313,199.50539022060457,202.17923481256278,208.50857810638954,208.592217058683,,,184.9882524946192,188.0544544349834,197.18182127349357
105,2006-05-26 20:50:18+00:00,189.99158088689333,183.3845615097162,190.62006714887406,199.28407808153523,,,,,,,,,,
106,2006-07-29 20:49:56+00:00,189.51443080890803,186.4754478334813,,,,,,,,,,,189.09702201656705,198.38383275774686
107,2006-08-05 20:56:06+00:00,,,,,,,,,,,,,,
108,2006-08-21 20:56:04+00:00,,,,,,,,,,,,,,
109,2006-09-22 20:55:54+00:00,158.335988969894,164.50716040904229,177.3027942800965,,,,,,,,,,,
110,2006-10-17 20:49:45+00:00,,,170.5609586406489,175.12243744587389,174.49726106101386,160.06464502694496,172.29433976002667,177.70042280587109,184.2920935961173,,,,,232.85668730428142
111,2006-11-09 20:56:17+00:00,171.11742258229862,154.70224169559827,,,,,,,,,,,161.94948575205012,
112,2006-11-25 20:56:27+00:00,157.4384923403718,112.97279326236239,,,,,180.2170714119577,187.40103424348592,,,,,,
113,2006-12-04 20:50:21+00:00,162.778118891225,138.96467019423986,155.44522726494836,163.06406160361317,159.6794998267513,148.7200528437628,167.69672914350042,182.18730380703875,183.50185119738305,,,,,
114,2006-12-27 20:56:37+00:00,,,,,,115.47041369673452,,,,131.76268764410366,128.68735545888387,147.40210427529632,,222.69021742782263
115,2007-01-12 20:56:38+00:00,142.08485155648742,114.68612835969182,,,,,,,,,,183.56652900492367,172.16930641143668,198.0221649240687
116,2007-01-21 20:50:30+00:00,,,,,,133.56743908857806,197.54175938513373,187.8976487640272,,142.05383724298997,,,228.94386263589362,228.1347355478185
117,2007-01-28 20:56:44+00:00,,,,,,,,,,141.11036227357644,,,201.87571578958503,192.21694444450634
118,2007-05-29 20:50:29+00:00,,,,229.02424379071348,227.2601122432279,220.7427125102101,221.46345463122913,218.25613733447557,216.39055087164257,,,225.23526169768388,223.02550782470126,215.9458046629031
119,2007-06-14 20:50:30+00:00,,226.36384757497547,,,,,,,,,,214.71077423208882,190.3659200190991,192.09898964005936
120,2007-06-30 20:50:29+00:00,,221.092364659641,,221.13738719782458,224.43431495556405,218.008965347458,218.02301871349414,220.66648205980317,230.45120733423698,,,,,
121,2007-07-23 20:56:35+00:00,,,,,,,,,,,,,,188.62841747938282
122,2007-09-09 20:56:15+00:00,167.6224873226435,187.05555119257642,,,,,,,,,,218.6660068542622,209.34702733563338,214.72731948072584
123,2007-09-25 20:56:11+00:00,,181.185994520546,185.98585648205034,192.68256917940906,198.1580983901738,181.00161266961868,196.1236920401805,203.86296117635214,212.44852365325067,,,,,
124,2007-10-04 20:49:52+00:00,,,,,,,,,,,,203.4687926286367,172.16629900689952,199.09145653703308
125,2007-10-11 20:56:09+00:00,,,,197.10468674830747,202.94468816813196,178.31268598409576,199.41138091756636,214.38025376878898,218.6814220776411,,,205.84719370183694,167.77519543389297,196.69954955711515
126,2007-11-05 20:50:16+00:00,,,,193.75415739957816,187.6037384323925,164.77259625954713,181.05765111116398,184.734627394727,183.27776491461958,158.61590213080228,,204.0314853163215,205.32530026598292,213.55068531565837
127,2007-11-12 20:56:31+00:00,153.1151237919288,,,,,,,109.6559460203803,,140.04844602594108,,,228.929655752085,228.25055103454147
128,2007-11-21 20:50:24+00:00,,,,141.04124928073495,145.78640313111973,138.30706565381627,159.17656493056106,146.91143002877672,,145.64073698200866,133.6607928070942,158.30574424503985,167.99443323688004,197.23739455453276
129,2007-12-23 20:50:34+00:00,157.47164994936333,,,,,,,,,119.93386146640066,100.14084366297352,,191.84936847600852,207.01172623716042
130,2008-01-08 20:50:35+00:00,148.79361838343198,,152.01778147548703,175.22560676598079,173.88871105193186,,,,,,,,,
131,2008-01-31 20:56:45+00:00,,,154.3341029410764,170.02429489785033,170.05566503739982,150.7077863419894,152.80295715291248,149.3419082869457,148.97829287262178,140.87171814908965,129.74880145530796,158.87766454499945,160.3070602046647,178.47527203366556
132,2008-02-09 20:50:32+00:00,,,,,,,133.17294174806463,135.4518541445965,,139.58045352619874,130.83112617540326,159.69020616479304,163.92355970168217,182.5062822799312
133,2008-03-03 20:56:36+00:00,,,120.8423961298684,181.73460887892105,142.4338243596032,137.2654140888583,159.74221726807315,170.94917107880534,145.51380001425863,137.287296307831,,201.107836092162,189.38016291945644,178.2097389800847
134,2008-04-13 20:50:22+00:00,,,,183.20934865531478,181.50305696273062,163.77501447322857,168.53061218567433,175.4981374943261,,,,,,
135,2008-04-29 20:50:19+00:00,205.70072941929527,193.9978985785848,188.10038493586893,194.43965037899108,195.7510487413676,179.58877452210805,176.75602269924374,185.38627790004466,181.81296642282604,184.1244841408357,199.33388819990012,188.5706629251614,,
136,2008-05-15 20:50:13+00:00,192.51485581797914,187.86540483185226,183.64525359923493,,,,,,,,,,179.26849323385264,182.142560412706
137,2008-05-22 20:56:21+00:00,,,,,,,,,,,,,,
138,2008-05-31 20:50:06+00:00,,,,,,,,232.53896066980522,216.79226037455032,209.36905814183334,221.9879449429853,212.22017210296298,191.16841980017728,205.56851471929116
139,2008-07-02 20:49:47+00:00,205.46787033307146,,,,,,,,,,,212.15549382075713,182.10033859725615,184.059581689875
140,2008-07-09 20:55:53+00:00,,,,,,,,,,,,,,
