dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027,satname
2007-11-18 22:16:43+00:00,404.99,373.64,356.56,348.74,342.54,337.43,326.75,316.58,305.51,301.83,304.13,310.46,328.03,329.26,343.82,349.92,339.27,336.62,337.36,325.86,317.20,326.37,320.89,318.99,308.64,305.22,,287.42,L7
2008-02-14 22:17:09+00:00,349.59,328.52,326.05,325.02,318.73,312.16,299.93,296.94,297.75,304.12,311.31,311.33,314.57,316.99,335.52,337.42,328.57,327.92,328.67,332.63,339.64,334.61,323.23,323.93,317.35,299.92,257.05,277.02,L5
2008-03-09 22:16:42+00:00,368.96,356.28,349.50,348.48,337.33,309.42,308.80,312.30,317.55,323.13,335.86,339.82,341.76,348.06,348.57,347.90,340.58,340.94,348.00,350.33,352.53,336.60,323.04,323.52,331.55,318.68,268.08,290.45,L7
2008-03-25 22:16:43+00:00,373.70,356.71,352.65,347.70,337.26,328.13,333.58,327.52,328.82,328.46,334.27,344.20,354.58,355.87,355.74,346.72,341.57,354.82,359.26,369.61,367.52,357.53,,,,,250.47,,L7
2008-04-10 22:16:42+00:00,386.19,349.59,346.10,346.96,335.88,334.18,331.91,329.85,341.27,345.06,348.23,359.49,364.97,356.10,359.86,349.36,342.79,356.84,361.07,369.05,362.27,345.96,346.01,331.49,319.79,,248.25,282.49,L7
2008-06-29 22:16:09+00:00,351.53,357.03,337.94,328.77,322.10,313.73,327.15,337.03,335.10,334.85,334.10,339.56,340.03,334.74,329.74,324.36,329.31,328.61,338.93,343.05,,340.92,,,,,236.31,251.21,L7
2008-08-16 22:15:43+00:00,374.62,366.47,355.41,339.24,329.29,322.18,323.40,328.45,336.71,332.37,315.04,,,316.47,321.37,326.76,334.01,346.50,356.31,342.44,340.56,329.68,309.69,306.69,,,253.60,280.25,L7
2008-09-01 22:15:35+00:00,,369.98,350.61,340.94,332.94,320.62,,,,326.52,295.73,,,,,,,378.79,,,369.26,,,,,,,,L7
2008-09-17 22:15:27+00:00,,354.18,345.52,336.63,314.60,332.45,349.12,345.75,328.60,311.14,294.14,302.63,309.34,331.84,331.33,335.62,344.26,345.54,355.93,339.34,317.29,295.34,295.83,305.16,319.13,312.20,252.36,281.26,L7
2008-12-22 22:16:07+00:00,371.37,367.95,370.50,357.99,352.34,348.66,349.76,341.51,316.50,311.90,322.05,326.27,321.65,334.43,345.39,330.37,336.27,354.75,330.46,310.47,314.54,319.08,325.58,328.09,320.08,308.79,286.03,294.28,L7
