dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
2000-07-14 09:36:34+00:00,L5,,199.14,135.88
2000-07-22 09:50:52+00:00,L7,249.25,207.12,125.75
2000-07-29 09:56:55+00:00,L7,,203.24,96.09
2000-08-07 09:51:02+00:00,L7,250.06,194.47,140.26
2000-08-14 09:56:49+00:00,L7,,208.23,124.76
2000-08-15 09:37:11+00:00,L5,,208.26,103.35
2000-08-23 09:50:33+00:00,L7,244.92,208.40,104.62
2000-08-30 09:56:38+00:00,L7,243.55,209.71,126.62
2000-09-08 09:50:17+00:00,L7,,209.51,96.26
2000-09-15 09:56:19+00:00,L7,246.09,192.14,140.30
2000-09-23 09:44:02+00:00,L5,,,
2000-10-26 09:50:15+00:00,L7,,208.64,98.79
2000-11-02 09:56:06+00:00,L7,281.33,197.90,155.67
2000-11-18 09:56:04+00:00,L7,251.54,194.13,140.08
2000-11-27 09:49:55+00:00,L7,251.33,192.36,139.91
2000-12-04 09:56:03+00:00,L7,275.56,198.49,215.83
2000-12-13 09:49:57+00:00,L7,250.98,212.30,211.08
2000-12-21 09:39:10+00:00,L5,,198.31,141.73
2000-12-29 09:49:59+00:00,L7,281.52,,
2001-01-21 09:56:15+00:00,L7,226.05,362.99,222.79
2001-02-06 09:56:08+00:00,L7,256.86,208.65,212.65
2001-02-22 09:56:07+00:00,L7,258.17,206.85,212.65
2001-02-23 09:40:02+00:00,L5,94.83,199.08,99.02
2001-03-03 09:49:53+00:00,L7,249.94,213.62,192.28
2001-03-11 09:40:03+00:00,L5,,204.56,99.63
2001-03-19 09:50:10+00:00,L7,252.25,196.80,155.74
2001-04-04 09:49:36+00:00,L7,248.31,210.25,215.43
2001-04-11 09:55:50+00:00,L7,,201.66,124.19
2001-05-13 09:55:39+00:00,L7,244.16,206.69,124.50
2001-05-29 09:55:31+00:00,L7,,214.40,98.15
2001-06-06 09:46:06+00:00,L5,,,
2001-06-07 09:49:35+00:00,L7,247.51,207.75,124.52
2001-06-14 09:55:19+00:00,L7,,217.27,93.46
2001-06-15 09:39:53+00:00,L5,,205.52,107.00
2001-06-23 09:48:58+00:00,L7,233.95,209.47,96.17
2001-06-30 09:55:05+00:00,L7,,210.22,94.94
2001-07-01 09:40:19+00:00,L5,,210.38,97.22
2001-07-09 09:49:19+00:00,L7,244.62,228.14,94.59
2001-07-25 09:49:12+00:00,L7,245.96,212.56,192.20
2001-08-01 09:54:52+00:00,L7,,209.04,124.50
2001-08-02 09:39:53+00:00,L5,122.14,192.68,152.14
2001-08-10 09:48:54+00:00,L7,245.24,193.88,130.67
2001-08-18 09:39:51+00:00,L5,,193.98,149.19
2001-08-25 09:45:58+00:00,L5,,200.70,134.55
2001-08-26 09:48:19+00:00,L7,249.06,193.37,139.65
2001-09-02 09:54:23+00:00,L7,243.52,210.46,97.25
2001-09-03 09:40:07+00:00,L5,108.58,193.84,148.71
2001-09-10 09:45:53+00:00,L5,,,
