dates,satname,sar1375-0000,sar1375-0001,sar1375-0002,sar1375-0003,sar1375-0004,sar1375-0005,sar1375-0006
2003-06-28 09:42:38+00:00,L5,166.24,141.91,135.69,138.12,132.55,138.11,139.78
2003-07-14 09:42:55+00:00,L5,185.44,153.60,157.17,147.20,150.20,155.18,152.88
2003-07-30 09:43:13+00:00,L5,160.01,138.17,124.88,135.55,126.34,121.70,125.84
2003-08-31 09:43:47+00:00,L5,186.49,162.96,150.77,144.51,146.57,150.10,148.11
2003-10-02 09:44:16+00:00,L5,,,,128.26,155.87,138.31,132.93
2003-10-10 09:54:34+00:00,L7,,139.39,130.23,133.86,127.31,135.57,134.46
2003-10-18 09:44:28+00:00,L5,170.39,150.24,137.46,128.29,132.27,125.25,134.60
2003-12-13 09:55:18+00:00,L7,,,139.09,134.01,121.97,126.66,131.59
2004-01-22 09:45:21+00:00,L5,149.15,132.05,116.24,114.01,110.69,122.39,112.72
2004-01-30 09:55:36+00:00,L7,,139.94,125.89,129.36,122.26,120.08,124.34
2004-02-23 09:45:30+00:00,L5,,,,,,,
2004-03-18 09:55:48+00:00,L7,195.17,160.95,169.37,158.36,160.34,162.22,172.94
2004-04-27 09:46:34+00:00,L5,,160.40,170.04,159.22,166.22,172.72,175.01
2004-05-29 09:47:28+00:00,L5,,144.31,146.33,128.49,142.90,140.37,145.52
2004-06-06 09:55:37+00:00,L7,,134.98,,,,120.76,134.11
2004-06-14 09:47:56+00:00,L5,,128.52,123.69,122.48,122.26,126.82,137.07
2004-06-30 09:48:25+00:00,L5,170.86,141.53,134.06,132.43,139.14,138.63,143.92
2004-07-16 09:48:52+00:00,L5,200.09,168.44,173.97,164.80,165.91,166.97,172.48
2004-08-01 09:49:13+00:00,L5,182.01,157.84,159.20,147.33,151.25,151.93,153.11
2004-08-17 09:49:36+00:00,L5,165.61,151.92,146.46,140.36,146.05,151.16,152.19
2004-09-02 09:50:02+00:00,L5,187.49,162.30,164.60,156.03,148.82,150.73,149.57
2004-10-20 09:51:08+00:00,L5,173.20,155.60,142.64,152.25,147.18,144.37,146.53
2004-11-21 09:51:42+00:00,L5,163.50,134.67,119.45,117.73,117.95,126.95,128.03
2005-01-08 09:52:33+00:00,L5,194.41,161.41,161.20,152.05,151.89,151.44,179.21
2005-01-16 09:55:56+00:00,L7,,155.24,162.60,151.81,143.49,162.71,173.17
2005-02-09 09:52:58+00:00,L5,,149.71,142.75,129.57,134.55,134.95,119.17
2005-03-21 09:56:13+00:00,L7,,168.25,186.75,175.88,,181.14,182.46
2005-04-06 09:56:09+00:00,L7,207.69,168.18,184.20,169.24,162.97,161.72,
2005-04-22 09:56:04+00:00,L7,,150.81,155.03,135.32,146.11,149.51,153.97
2005-09-05 09:54:39+00:00,L5,187.29,157.09,166.59,158.87,158.42,160.95,168.67
2005-10-31 09:55:52+00:00,L7,179.12,,155.11,151.26,147.35,151.64,151.69
2005-11-16 09:56:02+00:00,L7,180.67,153.94,145.76,144.98,,138.36,140.71
2006-01-19 09:56:27+00:00,L7,167.13,,126.72,123.22,119.13,124.27,120.33
2006-01-27 09:56:37+00:00,L5,191.24,159.17,161.77,156.38,145.18,152.52,160.68
2006-04-09 09:56:34+00:00,L7,,154.88,161.46,159.46,155.43,154.40,164.35
2006-05-11 09:56:36+00:00,L7,173.53,145.17,,,143.39,141.24,148.44
2006-06-12 09:56:32+00:00,L7,181.40,150.14,164.32,146.29,152.64,152.81,158.35
2006-07-06 09:59:27+00:00,L5,167.24,139.08,146.62,136.58,140.02,137.58,145.88
2006-07-14 09:56:20+00:00,L7,179.58,153.90,157.37,152.19,155.21,151.11,158.79
2006-08-23 10:00:03+00:00,L5,172.91,146.45,133.68,135.74,133.97,134.05,140.85
2006-10-26 10:00:48+00:00,L5,185.46,157.03,153.48,147.10,145.23,144.63,142.77
2006-11-27 10:01:04+00:00,L5,,147.91,153.06,142.83,145.59,142.10,143.60
2006-12-05 09:56:39+00:00,L7,161.35,142.63,134.59,138.61,128.69,135.11,138.85
2006-12-13 10:01:11+00:00,L5,,158.65,162.95,154.33,156.12,163.24,168.94
2006-12-29 10:01:17+00:00,L5,,153.40,161.87,144.79,147.06,155.89,170.30
2007-03-27 09:57:04+00:00,L7,,162.55,,,156.67,160.76,159.89
2007-04-20 10:01:17+00:00,L5,192.53,164.82,171.99,162.87,166.02,161.54,158.02
2007-07-01 09:56:46+00:00,L7,176.99,153.21,150.01,139.69,,146.59,152.19
2007-07-09 10:00:15+00:00,L5,170.14,148.73,157.65,147.90,147.21,150.03,147.54
