dates,satname,sar1299-0000
2008-08-29 09:49:24+00:00,L7,189.84
2008-11-01 09:49:18+00:00,L7,
2008-12-03 09:49:43+00:00,L7,
2008-12-19 09:49:53+00:00,L7,
2009-03-25 09:50:35+00:00,L7,178.85
2009-04-10 09:50:40+00:00,L7,175.01
2009-05-12 09:50:47+00:00,L7,186.75
2009-05-28 09:50:48+00:00,L7,180.79
2009-06-13 09:50:47+00:00,L7,186.77
2009-07-07 09:49:04+00:00,L5,
2009-09-25 09:50:14+00:00,L5,
2009-10-03 09:50:28+00:00,L7,181.76
2009-10-11 09:50:25+00:00,L5,
2009-10-19 09:50:33+00:00,L7,177.40
2009-11-04 09:50:49+00:00,L7,172.13
2009-11-12 09:50:41+00:00,L5,
2009-11-28 09:50:48+00:00,L5,
2009-12-06 09:51:12+00:00,L7,167.97
2010-01-31 09:51:13+00:00,L5,
2010-04-29 09:52:32+00:00,L7,191.87
2010-05-23 09:51:06+00:00,L5,
2010-06-16 09:52:29+00:00,L7,187.42
2010-06-24 09:50:56+00:00,L5,
2010-07-26 09:50:48+00:00,L5,
2010-08-11 09:50:41+00:00,L5,
2010-08-27 09:50:38+00:00,L5,
2010-10-06 09:52:38+00:00,L7,183.01
2010-10-14 09:50:19+00:00,L5,
2010-10-22 09:52:48+00:00,L7,
2010-11-15 09:50:08+00:00,L5,
2010-11-23 09:53:11+00:00,L7,172.33
2011-02-03 09:50:18+00:00,L5,
2011-02-11 09:53:47+00:00,L7,179.97
2011-02-19 09:50:19+00:00,L5,
2011-03-07 09:50:17+00:00,L5,
2011-04-08 09:50:09+00:00,L5,
2011-05-18 09:53:54+00:00,L7,182.30
2011-05-26 09:49:52+00:00,L5,
2011-07-13 09:49:30+00:00,L5,
2011-07-29 09:49:21+00:00,L5,
2011-09-15 09:48:51+00:00,L5,
2011-09-23 09:53:36+00:00,L7,187.75
2011-11-10 09:53:52+00:00,L7,
2011-11-26 09:54:03+00:00,L7,172.69
2012-01-13 09:54:23+00:00,L7,168.64
2012-02-14 09:54:29+00:00,L7,183.60
2012-03-17 09:54:28+00:00,L7,179.87
2012-04-18 09:54:26+00:00,L7,188.48
2012-05-04 09:54:53+00:00,L7,194.36
2012-08-24 09:55:34+00:00,L7,181.05
2012-09-09 09:55:45+00:00,L7,181.37
2012-12-30 09:56:31+00:00,L7,171.35
2013-01-15 09:56:29+00:00,L7,176.50
2013-01-31 09:56:34+00:00,L7,173.48
2013-02-16 09:56:33+00:00,L7,
2013-03-29 09:58:26+00:00,L8,
2013-04-21 09:56:17+00:00,L7,190.16
2013-05-07 09:56:14+00:00,L7,182.91
2013-06-16 10:02:19+00:00,L8,
2013-06-24 09:55:57+00:00,L7,181.66
2013-07-02 10:02:19+00:00,L8,
2013-07-18 10:02:19+00:00,L8,
2013-07-26 09:55:39+00:00,L7,188.48
2013-08-03 10:02:21+00:00,L8,
2013-08-11 09:55:34+00:00,L7,
2013-08-19 10:02:22+00:00,L8,
2013-09-04 10:02:23+00:00,L8,
2013-10-06 10:02:14+00:00,L8,
2013-10-22 10:02:09+00:00,L8,
2013-11-07 10:02:06+00:00,L8,
2013-11-23 10:01:56+00:00,L8,
2013-12-17 09:56:40+00:00,L7,162.62
2014-01-10 10:01:36+00:00,L8,
2014-01-18 09:56:59+00:00,L7,175.82
2014-02-03 09:57:15+00:00,L7,176.79
2014-03-07 09:57:09+00:00,L7,184.20
2014-03-23 09:57:16+00:00,L7,187.03
2014-04-08 09:57:19+00:00,L7,186.76
2014-04-24 09:57:32+00:00,L7,179.48
2014-05-26 09:57:43+00:00,L7,
2014-06-03 09:59:59+00:00,L8,
2014-06-11 09:57:45+00:00,L7,186.65
2014-06-19 10:00:04+00:00,L8,
2014-06-27 09:57:49+00:00,L7,180.23
2014-07-05 10:00:10+00:00,L8,
2014-07-13 09:57:52+00:00,L7,185.24
2014-07-21 10:00:13+00:00,L8,
2014-07-29 09:57:58+00:00,L7,
2014-08-06 10:00:22+00:00,L8,
2014-08-14 09:58:00+00:00,L7,197.91
2014-08-22 10:00:26+00:00,L8,
2014-09-07 10:00:29+00:00,L8,
2014-09-15 09:58:01+00:00,L7,181.03
2014-09-23 10:00:26+00:00,L8,
2014-10-01 09:58:13+00:00,L7,181.21
2014-10-17 09:58:21+00:00,L7,190.41
2014-10-25 10:00:34+00:00,L8,
2014-11-02 09:58:32+00:00,L7,
2014-11-18 09:58:35+00:00,L7,173.47
2014-12-04 09:58:44+00:00,L7,165.98
2014-12-12 10:00:25+00:00,L8,
2014-12-20 09:58:53+00:00,L7,
2015-01-05 09:58:54+00:00,L7,155.98
2015-02-06 09:59:03+00:00,L7,
2015-02-14 10:00:09+00:00,L8,
2015-02-22 09:59:09+00:00,L7,173.48
2015-03-10 09:59:14+00:00,L7,187.14
2015-04-03 09:59:43+00:00,L8,
2015-05-05 09:59:30+00:00,L8,
2015-05-13 09:59:47+00:00,L7,185.75
2015-05-29 09:59:50+00:00,L7,176.80
2015-06-06 09:59:33+00:00,L8,
2015-06-14 09:59:57+00:00,L7,182.03
2015-06-22 09:59:40+00:00,L8,
2015-06-30 10:00:00+00:00,L7,180.87
2015-07-08 09:59:50+00:00,L8,
2015-07-16 10:00:05+00:00,L7,188.08
2015-08-17 10:00:12+00:00,L7,181.12
2015-08-25 10:00:08+00:00,L8,
2015-09-02 10:00:11+00:00,L7,183.92
2015-09-10 10:00:14+00:00,L8,
2015-09-18 10:00:18+00:00,L7,177.16
2015-10-04 10:00:19+00:00,L7,177.62
2015-10-12 10:00:22+00:00,L8,
2015-10-28 10:00:27+00:00,L8,
2015-11-05 10:00:52+00:00,L7,
2015-11-29 10:00:30+00:00,L8,
2015-12-15 10:00:29+00:00,L8,
2015-12-31 10:00:28+00:00,L8,
2016-01-08 10:01:53+00:00,L7,
2016-01-16 10:00:26+00:00,L8,
2016-01-24 10:02:05+00:00,L7,178.07
2016-02-01 10:00:24+00:00,L8,
2016-02-17 10:00:15+00:00,L8,
2016-02-25 10:02:14+00:00,L7,179.04
2016-03-04 10:00:14+00:00,L8,
2016-03-28 10:02:30+00:00,L7,191.00
2016-04-13 10:02:36+00:00,L7,182.83
2016-05-15 10:02:45+00:00,L7,184.85
2016-05-23 09:59:58+00:00,L8,
2016-06-08 10:00:02+00:00,L8,
2016-06-24 10:00:08+00:00,L8,
2016-07-02 10:02:55+00:00,L7,185.70
2016-07-10 10:00:16+00:00,L8,
2016-07-18 10:02:55+00:00,L7,182.81
2016-07-26 10:00:21+00:00,L8,
2016-08-03 10:02:58+00:00,L7,188.47
2016-08-11 10:00:23+00:00,L8,
2016-08-19 10:02:59+00:00,L7,181.29
2016-08-27 10:00:30+00:00,L8,
2016-09-04 10:03:03+00:00,L7,179.67
2016-09-12 10:00:34+00:00,L8,
2016-10-06 10:03:06+00:00,L7,186.75
2016-10-30 10:00:42+00:00,L8,
2016-11-23 10:02:53+00:00,L7,182.19
2016-12-01 10:00:41+00:00,L8,
2016-12-09 10:02:49+00:00,L7,
2016-12-25 10:02:43+00:00,L7,
2017-01-02 10:00:33+00:00,L8,
2017-01-26 10:02:22+00:00,L7,180.85
2017-02-11 10:02:16+00:00,L7,179.84
2017-02-19 10:00:16+00:00,L8,
2017-02-27 10:02:25+00:00,L7,184.39
2017-03-15 10:02:31+00:00,L7,191.71
2017-03-23 09:59:59+00:00,L8,
2017-03-31 10:02:36+00:00,L7,191.98
2017-04-08 09:59:52+00:00,L8,
2017-04-16 10:02:42+00:00,L7,199.07
2017-05-02 10:02:48+00:00,L7,196.35
2017-05-18 10:02:51+00:00,L7,177.96
2017-05-26 09:59:54+00:00,L8,
2017-06-03 10:02:55+00:00,L7,179.46
2017-06-11 10:00:02+00:00,L8,
2017-06-19 10:02:59+00:00,L7,179.62
2017-06-27 10:00:07+00:00,L8,
2017-07-05 10:03:00+00:00,L7,181.29
2017-07-13 10:00:09+00:00,L8,
2017-07-29 10:00:18+00:00,L8,
2017-08-14 10:00:24+00:00,L8,
2017-08-22 10:02:58+00:00,L7,
2017-08-30 10:00:27+00:00,L8,
2017-09-15 10:00:28+00:00,L8,
2017-10-09 10:02:58+00:00,L7,188.49
2017-10-17 10:00:39+00:00,L8,
2017-10-25 10:02:59+00:00,L7,167.99
2017-11-02 10:00:39+00:00,L8,
2017-11-10 10:02:58+00:00,L7,188.61
2017-11-18 10:00:35+00:00,L8,
2017-11-26 10:02:53+00:00,L7,174.31
2017-12-04 10:00:30+00:00,L8,
2017-12-12 10:02:45+00:00,L7,166.73
2017-12-20 10:00:33+00:00,L8,
2017-12-28 10:02:34+00:00,L7,166.94
2018-01-05 10:00:29+00:00,L8,
2018-01-13 10:02:20+00:00,L7,176.29
2018-01-29 10:02:05+00:00,L7,
2018-02-22 10:00:06+00:00,L8,
2018-03-02 10:01:42+00:00,L7,175.14
2018-03-26 09:59:50+00:00,L8,
2018-04-19 10:01:01+00:00,L7,185.80
2018-05-05 10:00:43+00:00,L7,181.73
2018-05-13 09:59:23+00:00,L8,
2018-05-29 09:59:10+00:00,L8,
2018-06-14 09:59:14+00:00,L8,
2018-06-22 09:59:55+00:00,L7,194.54
2018-07-08 09:59:36+00:00,L7,182.79
2018-07-16 09:59:31+00:00,L8,
2018-07-24 09:59:19+00:00,L7,
2018-08-01 09:59:39+00:00,L8,
2018-08-09 09:59:02+00:00,L7,183.26
2018-08-17 09:59:48+00:00,L8,
2018-08-25 09:58:43+00:00,L7,179.01
2018-09-02 09:59:55+00:00,L8,
2018-10-12 09:57:37+00:00,L7,180.86
2018-11-05 10:00:16+00:00,L8,
2018-11-13 09:56:54+00:00,L7,170.54
2018-11-21 10:00:17+00:00,L8,
2018-11-29 09:56:30+00:00,L7,173.46
2018-12-15 09:56:04+00:00,L7,
2018-12-23 10:00:14+00:00,L8,
2019-01-08 10:00:12+00:00,L8,
2019-02-09 10:00:06+00:00,L8,
2019-02-17 09:54:07+00:00,L7,182.24
2019-03-13 09:59:57+00:00,L8,
2019-03-29 09:59:54+00:00,L8,
2019-05-08 09:51:21+00:00,L7,175.33
2019-05-24 09:50:44+00:00,L7,184.45
2019-06-01 10:00:05+00:00,L8,
2019-06-17 10:00:11+00:00,L8,
2019-06-25 09:49:35+00:00,L7,178.78
2019-07-03 10:00:16+00:00,L8,
2019-07-11 09:48:58+00:00,L7,186.25
2019-07-19 10:00:18+00:00,L8,
2019-07-27 09:48:20+00:00,L7,182.94
2019-08-04 10:00:25+00:00,L8,
2019-08-12 09:47:41+00:00,L7,179.49
2019-08-20 10:00:30+00:00,L8,
2019-09-05 10:00:33+00:00,L8,
2019-09-13 09:46:18+00:00,L7,173.55
2019-09-21 10:00:39+00:00,L8,
2019-09-29 09:45:36+00:00,L7,185.23
2019-10-07 10:00:43+00:00,L8,
2019-12-02 09:42:45+00:00,L7,
2019-12-26 10:00:36+00:00,L8,
2020-01-03 09:41:07+00:00,L7,171.91
2020-01-27 10:00:28+00:00,L8,
2020-02-04 09:39:31+00:00,L7,179.29
2020-02-20 09:38:42+00:00,L7,181.06
2020-02-28 10:00:19+00:00,L8,
2020-03-07 09:37:50+00:00,L7,176.97
2020-03-15 10:00:12+00:00,L8,
2020-03-23 09:36:58+00:00,L7,183.19
2020-04-08 09:36:03+00:00,L7,185.49
