,dates,per0242-0000,per0242-0001,per0242-0002,per0242-0003,per0242-0004,per0242-0005,per0242-0006,per0242-0007,per0242-0008,per0242-0009,per0242-0010,per0242-0011
160,2004-08-30 14:31:14+00:00,,,,,,,,,166.4872715873613,176.10104124495808,173.0532704525297,172.83822056327506
161,2004-09-16 14:30:40+00:00,180.72653714605826,187.70378266712788,171.5833897378559,,,,,,,,,
162,2004-11-27 14:27:21+00:00,192.16793655470852,215.60914345922333,168.71526521276667,193.751006143815,221.87987986657615,206.83773934495625,185.7041855377707,174.1447452228732,176.33846294131186,177.3156467414138,184.35424396874845,173.71274589475775
163,2004-12-13 14:27:42+00:00,,,,191.6239848930763,212.66892222011109,198.2066669467647,174.66409983829647,168.23697679098214,170.53356356900662,175.20521509161222,178.3375982924523,173.80823868387097
164,2004-12-29 14:27:57+00:00,211.77640517464027,222.6150689468098,182.35916116696785,211.70020732117854,245.0813744432757,216.916033040308,196.9114744953883,198.00438699443677,184.54816967774627,192.7895947389971,198.61531189220938,195.8933965673196
165,2005-01-22 14:31:26+00:00,,,187.40516175772342,213.77449731683373,243.93329465325905,213.06914915244556,198.02773592401172,201.19284694691544,195.8184081317989,214.9665138836611,198.61137094913522,196.74574401558158
166,2005-01-30 14:28:20+00:00,216.2061377113639,,181.8722342896073,206.8284860438831,239.71274472276104,210.28814900397532,189.57126196499883,202.01900371563792,197.15881649294334,206.07059665452965,201.99755903935403,198.8579844342081
167,2005-02-07 14:31:34+00:00,219.54076666786773,240.6370789692558,,,,,,,,,,196.2943748874138
168,2005-03-03 14:28:51+00:00,,,,203.13941806412308,237.14308639362747,234.53988562319498,213.75251341923723,208.0029931249754,192.30052954749155,206.60782794035546,200.6812572289336,203.62814973362794
169,2005-03-10 14:34:44+00:00,,,,,,,202.24721070561586,195.77513883449973,180.12255154743195,187.72296112244308,182.06341482228905,183.1159965636858
170,2005-03-11 14:31:44+00:00,204.89859430649625,211.6061476704081,188.57276607594088,200.56619411395798,225.89668081820727,218.62809566348272,210.60839825344922,203.7021702344915,191.28780829818683,195.7532726063345,188.92604750320794,194.05873132669936
171,2005-03-19 14:29:02+00:00,208.46399067169938,229.7379597372493,206.56426618976855,210.9421179290441,240.78776311717093,223.55298458768115,215.49832497267658,203.375592156091,190.1166474413088,187.99441264632293,184.25319610848823,191.16292293660976
172,2005-03-27 14:31:43+00:00,195.15539803550232,200.13722898406036,191.1712193630902,198.00589218522992,221.60669525796595,215.9239416835104,212.7983425726891,200.74816657739035,186.33126011696095,,,
173,2005-04-19 14:37:20+00:00,,,,,,,,,,,,
174,2005-05-13 14:35:06+00:00,,,,,,,,,,153.60193954918537,158.1751856754699,155.61489853925087
175,2005-06-30 14:35:26+00:00,191.43814652599363,235.82468167840918,186.00914680703363,210.06009932769015,239.49200966001797,211.51311822244693,185.16732810933746,185.71059765589246,198.74965945615457,209.75684984263154,191.19215749467108,176.02933174947566
176,2005-07-01 14:31:26+00:00,,,,,,,,,193.57502270987575,202.09591597484942,183.37332905104984,174.00968490845526
177,2005-08-02 14:31:26+00:00,,,,,,,,,,,,
178,2005-11-05 14:35:58+00:00,,,,,,,182.6539597772089,173.44779275435565,185.8869044599878,194.4302758953255,192.1822356960564,188.2083173375802
179,2005-11-06 14:31:27+00:00,,188.15265926039214,174.79378939223793,190.37275225783293,212.0000350218773,195.376532717127,164.16323933786768,160.12152854418304,174.03167750190875,180.47948907523693,181.47470458484764,175.09168928096372
180,2005-11-21 14:36:22+00:00,198.2535880727816,211.37251358838876,175.54978372870903,204.08492907907805,228.77074543703915,205.97750369266754,180.77442468594256,175.1879897481969,181.05115043912042,185.89042357308702,186.45339822697744,178.98514130347587
181,2005-12-08 14:31:39+00:00,208.93944964757725,240.90304058631236,,,,,,,,,,201.01248259236138
182,2005-12-15 14:37:26+00:00,,,,,,,,,,,,
183,2005-12-24 14:31:43+00:00,209.2059737307554,243.65980941737251,191.01706060078016,222.2141042352118,254.76367446440835,218.20375229169946,202.05935787878036,198.21088691814072,191.50464586968843,208.12979914035878,216.64168688900827,213.3015178287863
184,2005-12-31 14:37:35+00:00,,,,,,,,,,,,
185,2006-01-09 14:31:52+00:00,213.27795123853218,243.06288295712508,192.86922435508896,220.8452073873744,258.116755556567,,,,,,,
186,2006-02-18 14:32:38+00:00,197.95479743568978,224.8320908919851,199.9006138066175,225.78144189797354,247.69187493634792,232.4160153401977,205.81886711678794,197.1419465090958,193.03441698411814,195.51412642964587,194.7909811288419,196.55477450812714
187,2006-02-25 14:38:34+00:00,216.3765052009533,233.30060728709716,209.94713390238383,219.62682125476596,247.87977484128174,236.7324997207126,205.814956287747,198.06076256112362,197.27543128578282,206.60086640022143,196.46399580796486,199.56365459808785
188,2006-02-26 14:32:08+00:00,208.8213646326616,224.46621717889576,206.03113113088682,217.04704790178846,250.5824461336509,239.2233517204553,212.010172389038,198.1333289527712,200.77786626466116,210.7164115662713,,
189,2006-03-13 14:38:54+00:00,211.83286754373688,200.16276334156,194.53162357886828,205.34773829567612,225.50077891159268,210.80279827462704,187.332339712487,177.4529101912816,178.42099741162912,181.41228436900548,176.26699970841497,182.88041589599038
190,2006-03-14 14:32:08+00:00,,,,,,,189.35840877938182,177.88634492716665,184.26674845176552,184.83243346065422,181.0583918387845,190.63826680780176
191,2006-03-30 14:32:07+00:00,174.81444763585165,173.58690996187235,172.6358849717746,185.36607718105512,,,,,,,,
192,2006-04-07 14:33:35+00:00,168.79978981271984,174.52559129612123,176.07484943022726,187.67803905831772,206.2048679605095,190.54253264881424,163.7222860182292,151.4947677129628,162.90005510966176,163.55376554940858,171.47715430747442,168.1491013710181
193,2006-04-14 14:39:30+00:00,165.4329005613958,157.09352303590833,167.06929796706564,170.9204931010238,184.51316564761345,184.2871676761372,160.39558203562189,,,,,
194,2006-04-22 14:37:50+00:00,,,,,224.65210871410625,207.23613113561927,187.60958987701264,174.45349149871728,177.27688027144268,179.80256255344182,181.87165362753132,175.92846659603768
195,2006-04-23 14:33:51+00:00,179.47659548177361,,,,,,,,,,,
