dates,satname,sar1742-0000,sar1742-0001,sar1742-0002,sar1742-0003,sar1742-0004,sar1742-0005,sar1742-0006,sar1742-0007
1992-04-10 09:29:42+00:00,L5,,,,,,,,
1992-04-19 09:23:54+00:00,L5,154.85,168.41,215.90,193.00,172.33,148.72,172.81,182.31
1992-04-26 09:29:34+00:00,L5,152.14,161.40,210.82,195.47,170.15,144.51,181.30,187.91
1992-05-12 09:29:27+00:00,L5,156.17,168.34,223.27,194.77,167.80,147.85,167.84,180.84
1992-05-28 09:29:18+00:00,L5,156.44,168.18,223.20,199.64,172.44,147.65,170.28,180.60
1992-06-06 09:23:26+00:00,L5,166.90,180.23,211.14,193.09,174.29,162.78,191.09,202.18
1992-06-13 09:29:08+00:00,L5,151.34,160.62,203.79,184.59,166.30,147.78,180.13,187.68
1992-06-29 09:28:56+00:00,L5,141.85,150.39,199.76,181.29,156.38,144.81,177.05,194.08
1992-07-15 09:28:44+00:00,L5,155.86,162.47,214.97,194.09,,143.90,167.77,192.08
1992-07-31 09:28:32+00:00,L5,153.08,162.97,211.08,186.53,171.86,154.08,179.44,190.41
1992-08-09 09:22:14+00:00,L5,158.35,184.11,224.80,203.60,,155.26,181.91,186.56
1992-08-16 09:28:17+00:00,L5,154.50,165.60,212.85,189.51,168.18,148.74,177.30,188.42
1992-09-01 09:28:02+00:00,L5,157.04,165.76,218.24,194.82,170.47,145.05,171.89,179.86
1992-09-10 09:22:08+00:00,L5,158.49,171.95,215.93,196.54,171.21,147.96,167.62,179.75
1992-09-17 09:27:48+00:00,L5,158.66,168.22,217.69,191.13,170.00,148.97,172.61,188.95
1992-09-26 09:21:25+00:00,L5,152.39,163.21,219.89,190.54,,144.07,172.76,181.00
1992-10-12 09:21:04+00:00,L5,156.09,166.29,217.87,184.77,,148.28,172.29,190.31
1992-11-04 09:26:58+00:00,L5,162.56,172.17,204.79,186.57,168.94,151.24,178.11,199.70
1992-12-15 09:20:52+00:00,L5,158.60,,226.38,500.60,,148.93,174.35,184.67
1993-01-07 09:27:40+00:00,L5,168.18,177.78,218.58,205.64,,158.92,177.85,186.75
1993-01-23 09:27:27+00:00,L5,158.71,173.14,215.82,192.20,175.93,153.48,189.94,190.94
1993-02-01 09:21:47+00:00,L5,143.29,189.88,212.24,189.88,,135.10,158.72,171.74
1993-02-08 09:27:38+00:00,L5,,214.36,60.86,47.07,,,,202.54
1993-03-05 09:21:39+00:00,L5,,,453.67,347.43,,,-14.05,-24.46
1993-03-12 09:27:54+00:00,L5,160.98,177.32,221.68,199.38,175.92,151.18,181.08,188.44
1993-03-21 09:22:07+00:00,L5,167.01,181.78,218.10,206.43,175.40,154.11,176.31,190.35
1993-03-28 09:27:56+00:00,L5,163.88,163.22,203.68,185.32,169.94,159.37,191.14,205.13
1993-04-06 09:22:12+00:00,L5,160.00,165.87,214.54,190.56,172.30,159.75,194.98,194.48
1993-04-22 09:22:22+00:00,L5,165.73,181.25,215.72,202.25,183.76,162.50,179.92,191.04
1993-05-08 09:22:01+00:00,L5,162.27,166.45,211.20,198.47,175.29,,187.69,206.45
1993-05-15 09:28:13+00:00,L5,146.80,154.82,209.92,188.29,162.06,144.25,172.72,185.11
1993-05-31 09:28:16+00:00,L5,149.95,160.80,202.38,181.31,172.32,152.68,183.92,187.99
1993-06-09 09:22:05+00:00,L5,166.62,175.99,212.81,200.68,175.16,152.95,171.89,185.37
1993-06-16 09:28:14+00:00,L5,158.06,169.14,223.37,197.12,175.48,161.21,182.43,193.45
1993-06-25 09:22:00+00:00,L5,165.36,174.92,224.94,201.32,179.32,165.06,186.45,191.96
1993-07-11 09:21:58+00:00,L5,161.83,168.70,219.33,198.42,173.21,152.32,176.80,184.68
1993-07-18 09:28:08+00:00,L5,153.59,164.00,211.13,192.13,157.51,145.33,169.75,187.92
1993-07-27 09:21:57+00:00,L5,169.23,183.08,225.06,199.32,,158.44,175.96,184.28
1993-08-03 09:28:08+00:00,L5,157.59,165.50,211.88,191.04,173.07,152.85,178.31,189.26
1993-08-12 09:22:21+00:00,L5,164.61,181.79,219.58,201.79,178.60,151.81,177.51,193.16
1993-08-19 09:28:08+00:00,L5,152.66,163.66,210.57,191.21,167.89,155.24,180.53,186.82
1993-10-06 09:27:59+00:00,L5,159.03,167.52,217.24,196.95,174.64,147.47,176.27,181.58
1993-11-07 09:27:46+00:00,L5,152.97,166.80,218.42,193.38,173.05,148.27,177.77,188.31
1993-11-16 09:21:53+00:00,L5,,179.90,222.55,195.38,172.92,148.99,181.85,186.71
1993-12-02 09:21:27+00:00,L5,213.83,224.74,128.59,-22.36,-15.04,12.30,,166.21
1994-01-03 09:21:32+00:00,L5,159.64,167.72,210.52,198.51,171.54,156.23,178.34,192.68
1994-02-27 09:26:35+00:00,L5,143.80,162.95,200.21,163.67,145.74,136.11,165.67,184.40
1994-03-08 09:20:40+00:00,L5,154.03,168.56,210.52,194.18,171.30,156.15,180.40,195.54
1994-03-15 09:26:21+00:00,L5,163.91,176.16,224.85,198.77,171.70,149.30,172.41,187.02
1994-03-24 09:20:03+00:00,L5,173.51,186.66,233.47,211.66,182.58,167.97,184.68,195.22
1994-03-31 09:26:06+00:00,L5,158.05,165.12,212.61,193.88,174.61,152.80,182.41,192.77
1994-04-25 09:19:50+00:00,L5,,175.35,195.12,195.85,175.75,162.15,176.20,193.16
1994-05-02 09:25:29+00:00,L5,163.10,167.55,215.06,201.20,175.47,156.36,177.07,193.08
1994-05-11 09:19:08+00:00,L5,164.49,178.43,220.54,201.28,174.58,153.18,178.00,187.97
1994-05-27 09:18:51+00:00,L5,154.17,165.94,210.42,188.24,166.83,149.14,179.27,190.77
1994-06-12 09:18:33+00:00,L5,164.72,170.96,210.37,186.08,166.17,147.48,184.62,199.31
1994-06-19 09:24:34+00:00,L5,150.76,165.10,214.99,193.78,,140.63,169.34,175.43
1994-07-05 09:24:11+00:00,L5,156.78,167.27,223.29,195.61,173.98,150.17,179.23,182.21
1994-07-14 09:18:08+00:00,L5,161.08,171.40,218.62,195.25,173.29,148.28,181.35,184.54
1994-07-21 09:23:43+00:00,L5,145.80,159.43,210.48,182.63,168.85,147.73,180.94,188.00
1994-07-30 09:17:17+00:00,L5,163.24,174.94,218.86,194.58,172.16,153.98,179.92,200.45
1994-08-15 09:17:16+00:00,L5,163.08,180.24,226.79,202.41,,152.15,171.55,187.08
1994-08-22 09:22:53+00:00,L5,149.70,161.65,202.23,179.53,156.49,142.48,177.46,188.98
1994-08-31 09:16:53+00:00,L5,160.12,167.36,216.09,195.62,167.99,149.48,180.73,189.31
1994-09-07 09:22:29+00:00,L5,160.22,166.84,219.66,196.00,177.11,149.74,185.01,192.37
1994-09-16 09:16:28+00:00,L5,163.19,173.24,221.73,199.73,175.21,155.26,188.40,192.81
1994-10-18 09:15:31+00:00,L5,164.24,180.94,220.83,200.51,171.43,152.81,174.91,185.83
1994-10-25 09:21:04+00:00,L5,162.92,176.42,216.65,196.04,179.71,155.54,188.18,186.34
1994-12-12 09:19:28+00:00,L5,161.12,180.13,221.62,195.95,179.51,158.88,190.90,200.03
1994-12-21 09:13:24+00:00,L5,147.65,169.48,213.38,191.53,,145.67,175.66,180.23
1995-01-22 09:12:15+00:00,L5,159.70,168.84,214.42,194.96,172.31,151.88,180.92,187.02
1995-02-14 09:17:07+00:00,L5,,,358.57,248.26,,153.48,184.47,193.85
1995-03-11 09:09:57+00:00,L5,165.76,,266.09,320.22,,,-87.57,
