,dates,jap0010-0000,jap0010-0001,jap0010-0002,jap0010-0003,jap0010-0004,jap0010-0005,jap0010-0006,jap0010-0007,jap0010-0008,jap0010-0009,jap0010-0010,jap0010-0011,jap0010-0012,jap0010-0013,jap0010-0014,jap0010-0015,jap0010-0016,jap0010-0017,jap0010-0018,jap0010-0019
50,2001-10-21 00:43:12+00:00,125.48008777903588,117.43662030347127,118.66465764319655,119.55084643515771,118.39762288860786,121.79073782436288,120.64489506933866,121.52841616009525,123.09063917196511,125.50922760826126,132.50618513822008,137.8490803982968,135.03191427967755,130.80945618694045,128.87827677910053,126.25845746442883,136.30554688885053,138.1714699226673,145.4118441642413,152.26051839637643
51,2001-11-22 00:43:26+00:00,120.47431566028901,131.53725613509863,124.6622964804572,115.78532079294018,117.90320118046844,121.60599268716905,135.10684729051866,126.95233128287964,124.00466539727482,126.76181124143295,123.60760261231593,126.88050866837114,128.73374992276067,128.85568317873418,127.28581251496325,123.26090144299596,136.48536760155542,134.96190800303495,138.21278206248562,142.90667336788795
52,2002-05-10 00:37:31+00:00,109.17851414997878,100.76641404721963,103.50183884903996,107.26189200602894,122.31559342318566,118.81947721608884,126.72953596488944,127.09554510381763,122.57355793071844,121.14340660672819,117.0608768557816,110.83108912239813,112.54792333813386,109.8474554144572,112.84066232738387,112.31897620635853,119.82815859450716,119.20411959217785,123.76236278020215,128.05989031903033
53,2002-05-17 00:43:36+00:00,102.94835622443725,97.02444795488935,110.70989334628274,115.8931087275856,122.4022359399855,123.59273535904435,127.85530307282919,128.86049660052998,129.51882659747108,132.63519426155125,131.50518001911604,126.97892564100704,119.74413578786424,115.53197131289956,112.41839837804389,106.27153206842169,127.46276038875828,121.93853907134351,127.55291146805072,135.43769304613932
54,2002-06-27 00:37:09+00:00,,,,,,,,,,,,117.50383359481086,116.22811582178383,110.66369155063359,113.95837979444973,119.77241908771173,134.34026058940492,127.78506183137596,139.23838094403897,139.83185131374333
55,2002-07-29 00:36:57+00:00,111.15102610786529,104.0401252121749,100.91159882854603,107.60533311593976,113.96063907944051,112.05495156693868,106.24607829862407,108.34278491824804,109.23848956935501,112.22384674359316,117.15783225570102,123.16256346207814,118.18213691765682,109.79791531480694,116.63217826360122,112.50468781352069,125.07324926980237,128.57343664525,,
56,2002-09-22 00:42:40+00:00,112.59860343883071,122.40647547327472,131.60388273137175,138.00705705611335,137.97796836321157,129.8535452065487,125.80098064943458,122.69465860230741,110.21956042141332,110.35970805262544,119.97764943593785,109.60350364535311,113.16706542032338,129.58785237382733,122.44750972735362,115.31195078436586,131.3284007714616,138.60774732645683,147.12124858364675,143.70158504434625
57,2002-10-17 00:36:27+00:00,,,,,,,,,,,,,,,,,,,,
58,2002-12-11 00:43:08+00:00,,,,,,,,,,,,,,,,,,,,
59,2003-01-12 00:43:17+00:00,,,,,,,,,,,,,,,,,,,,
60,2003-04-27 00:37:28+00:00,,74.43155382342401,67.35954556336512,,,,,,,,,,91.81040634990617,,91.07214208891509,87.06148716569965,101.84049331751825,,,109.91437393002339
61,2003-05-04 00:43:39+00:00,92.85211816763504,82.43041168248583,78.28357470365752,,89.52110298790724,89.03836890819885,93.33635070813602,96.4699155111275,99.71686940928541,,92.33781523720491,,99.06406935876328,,95.695312078605,95.99285069963312,108.06327726748054,105.41391898217259,115.05945423258908,122.1480228985908
62,2003-05-29 00:37:25+00:00,112.37383301199895,106.2102534660164,103.45686760911786,120.23129680771268,127.63753866995378,128.62761130775147,129.78234185493565,130.27552580854407,130.7963112173186,131.6514254613533,129.29409011012518,123.73534088682162,124.68879010902296,129.8704568389838,130.1084419020125,122.91860001938332,126.39220120216157,105.78279560305981,,151.14528547600844
63,2003-08-24 00:43:17+00:00,123.38102164316054,116.22277092974572,,,,124.14425142741885,125.4695988164284,124.51728781770639,122.12399504574438,116.31462570228902,114.28265032221209,116.95354268069323,114.92573114359753,113.52113867302451,118.06139693536093,125.05691751272445,135.87082673443575,136.00106496142752,,
64,2003-10-27 00:43:17+00:00,95.35416740264742,89.9023738021395,96.17199072813175,102.8693594445699,,,,,,,,,,,,112.43019815191177,122.9252842844135,121.49011158195256,130.46109890343723,136.1495321331779
65,2003-11-12 00:43:25+00:00,112.48494400129594,107.00373772479337,106.61792667947626,108.98099142022828,100.41151388538765,101.0609233945707,111.54922126595795,110.23291596130085,112.98700041732803,,,,104.75048595024813,103.06907784469482,104.04283903161433,113.57777914886132,123.0496378663314,129.83333994752718,,
66,2004-01-31 00:43:58+00:00,,,,,,138.93895013611527,133.69945384416846,,,,,,,,,,,,,175.43455344628757
67,2004-04-13 00:37:54+00:00,,,,,,,,,,,,,,,,,,,,
68,2004-06-16 00:37:43+00:00,,,,,,,,,,,,,,,,,,,,
69,2004-07-25 00:43:48+00:00,,,,153.0886882702008,158.32857063364614,149.9875820209008,144.00308386187172,148.25508551348236,142.93619856452622,134.80471437599044,126.75103979633846,118.26664474876611,118.82404110772494,122.22396582096762,124.98669101953458,128.5311920561065,138.64242087561797,,,148.47902750052907
70,2004-09-11 00:43:33+00:00,,160.98211303618152,162.43806594088588,170.12068628644442,174.1200176223357,160.85866934563322,157.11179589870673,149.3761705638162,142.85608048118814,132.30837946044656,122.36774505802873,113.93855440217376,111.0553912660055,110.53043585839805,118.64731825113353,119.59254606822836,,,134.06302520368797,139.74522967965595
71,2004-10-29 00:43:43+00:00,143.91814145986004,143.7445129965561,142.6091897403221,140.4710143219359,141.45437987424813,138.13721622604936,140.61329157088403,136.62623053911034,125.14917919413456,122.29036139877705,114.69466397880758,110.45655008350894,108.56476747816941,110.7128611572983,,,129.23291528431938,122.17806664021519,,
72,2004-11-14 00:43:50+00:00,,127.54174428818548,137.3236447689378,,,,,,,,,,70.85069307047695,,,,,,,
73,2005-06-10 00:44:23+00:00,116.7000907824974,120.2982366338837,131.37198043283058,145.68186867859163,151.7687197236555,160.4588384227767,161.88298405153378,162.9775613134596,,,,146.12752514326954,143.64969549217236,133.7112497601974,133.4069005528093,129.60854115257425,136.76272117527589,140.03621192833938,150.52247034443255,150.30765644765344
