dates,satname,sar2181-0000,sar2181-0001,sar2181-0002,sar2181-0003,sar2181-0004
1996-10-30 09:26:11+00:00,L5,273.13,202.35,180.68,194.97,233.13
1996-11-24 09:21:10+00:00,L5,367.42,216.13,240.89,191.36,248.88
1997-01-27 09:24:11+00:00,L5,230.29,202.84,180.90,194.97,229.17
1997-02-03 09:30:40+00:00,L5,256.27,205.14,184.56,193.82,228.73
1997-02-19 09:31:22+00:00,L5,273.99,191.84,170.26,196.50,239.92
1997-03-16 09:26:11+00:00,L5,263.29,206.95,180.50,191.70,236.75
1997-03-23 09:32:13+00:00,L5,245.62,211.66,179.60,199.06,237.25
1997-04-01 09:26:46+00:00,L5,,,,,
1997-04-24 09:33:46+00:00,L5,282.06,202.48,165.85,177.14,235.61
1997-05-03 09:27:54+00:00,L5,277.35,205.65,180.02,193.91,237.82
1997-05-10 09:33:55+00:00,L5,243.48,211.71,180.63,193.04,239.06
1997-06-11 09:35:26+00:00,L5,228.47,198.47,167.67,192.36,227.98
1997-06-20 09:29:33+00:00,L5,239.51,202.80,173.95,192.95,233.27
1997-07-13 09:36:33+00:00,L5,250.96,205.81,177.81,190.52,234.11
1997-07-22 09:30:40+00:00,L5,232.39,202.86,168.66,191.03,228.80
1997-07-29 09:36:41+00:00,L5,238.93,191.99,170.59,190.39,235.25
1997-08-07 09:31:11+00:00,L5,249.21,199.28,172.78,191.75,240.02
1997-08-14 09:37:12+00:00,L5,262.02,203.36,179.53,195.66,237.24
1997-08-23 09:31:41+00:00,L5,220.84,196.58,174.03,187.15,225.57
1997-09-08 09:32:09+00:00,L5,288.60,196.50,174.13,194.96,243.28
1997-10-01 09:39:00+00:00,L5,238.83,196.39,167.23,191.34,237.10
1997-10-17 09:39:26+00:00,L5,268.75,207.14,179.69,201.03,237.87
1997-10-26 09:33:30+00:00,L5,294.33,208.17,178.37,193.11,241.87
1997-11-02 09:39:52+00:00,L5,274.49,198.40,178.16,196.12,240.82
1997-11-11 09:33:54+00:00,L5,242.10,198.16,175.04,196.30,245.38
1997-12-13 09:34:40+00:00,L5,286.79,196.54,165.26,191.15,239.88
1997-12-29 09:35:03+00:00,L5,244.94,232.10,371.86,301.00,234.92
1998-01-21 09:41:44+00:00,L5,224.04,196.72,172.83,189.78,228.63
1998-01-30 09:35:46+00:00,L5,250.02,201.90,172.67,194.40,234.93
1998-02-06 09:41:42+00:00,L5,274.45,201.13,180.48,199.38,236.88
1998-02-15 09:36:05+00:00,L5,250.53,196.77,165.02,191.45,230.76
1998-03-10 09:42:15+00:00,L5,247.84,196.53,160.02,192.08,240.56
1998-03-19 09:36:37+00:00,L5,252.26,211.71,190.20,194.45,234.49
1998-03-26 09:42:52+00:00,L5,277.41,204.74,175.68,196.33,242.80
1998-05-06 09:37:15+00:00,L5,258.90,206.43,177.85,192.37,235.51
1998-05-13 09:43:32+00:00,L5,260.33,201.47,173.74,196.70,237.85
1998-06-23 09:37:54+00:00,L5,254.23,203.90,172.95,188.25,235.21
1998-06-30 09:43:48+00:00,L5,227.68,197.21,173.44,188.88,225.87
1998-07-16 09:44:23+00:00,L5,247.91,202.26,175.26,194.30,241.05
1998-07-25 09:38:16+00:00,L5,291.72,266.20,225.45,154.53,173.32
1998-08-01 09:44:05+00:00,L5,230.01,191.01,165.57,188.81,232.78
1998-08-17 09:44:12+00:00,L5,277.73,204.59,178.76,191.38,235.78
1998-08-26 09:38:33+00:00,L5,291.55,211.39,176.67,195.13,238.04
1998-09-02 09:44:24+00:00,L5,227.17,188.61,164.96,193.91,232.33
1998-09-18 09:44:56+00:00,L5,290.89,205.80,182.01,198.03,242.16
1998-10-29 09:38:50+00:00,L5,298.54,206.76,180.58,193.66,237.01
1998-11-14 09:38:58+00:00,L5,286.54,206.34,180.95,192.06,234.88
1998-12-16 09:38:53+00:00,L5,,95.00,93.36,,340.16
1998-12-23 09:44:47+00:00,L5,289.98,202.98,180.98,207.32,242.29
1999-01-08 09:45:10+00:00,L5,243.25,191.77,172.49,194.40,249.03
1999-01-24 09:44:47+00:00,L5,285.84,202.46,173.02,191.74,239.29
1999-02-02 09:39:03+00:00,L5,332.17,204.58,176.18,200.27,232.03
1999-03-06 09:39:06+00:00,L5,274.83,207.30,181.67,192.07,234.04
1999-03-13 09:45:10+00:00,L5,244.43,203.33,180.36,196.99,232.21
1999-04-07 09:38:38+00:00,L5,280.83,211.69,182.13,204.80,234.66
1999-04-14 09:44:51+00:00,L5,246.43,199.65,160.80,196.74,238.74
1999-04-23 09:38:41+00:00,L5,286.39,214.28,180.40,213.92,239.80
1999-04-30 09:44:26+00:00,L5,266.83,196.53,172.38,193.39,240.60
1999-06-17 09:43:41+00:00,L5,275.28,197.38,179.17,200.38,245.42
1999-06-26 09:37:48+00:00,L5,276.82,202.44,179.04,195.86,238.16
1999-07-03 09:43:56+00:00,L5,228.89,195.52,166.76,189.08,239.07
1999-07-12 09:37:41+00:00,L5,237.14,200.69,172.44,190.49,231.10
1999-07-19 09:43:52+00:00,L5,242.14,204.12,180.45,194.19,232.17
1999-08-05 09:52:52+00:00,L7,275.16,209.51,172.23,190.21,233.31
1999-08-12 09:59:01+00:00,L7,268.24,191.11,172.28,196.76,237.64
1999-08-20 09:43:15+00:00,L5,218.92,185.32,165.50,183.95,220.96
1999-08-21 09:52:49+00:00,L7,255.26,207.34,170.48,198.69,235.94
1999-08-28 09:59:04+00:00,L7,229.24,206.22,174.50,193.23,236.03
1999-09-05 09:43:10+00:00,L5,260.40,202.41,168.95,193.14,238.31
1999-09-06 09:52:52+00:00,L7,238.61,196.26,175.37,193.48,234.88
1999-09-13 09:58:35+00:00,L7,270.78,205.48,176.20,200.05,238.22
1999-09-22 09:52:53+00:00,L7,275.46,210.30,178.35,197.27,235.97
1999-09-29 09:58:45+00:00,L7,256.90,204.23,175.54,197.31,237.35
1999-09-30 09:36:28+00:00,L5,280.78,202.87,175.27,195.84,241.78
1999-10-07 09:42:45+00:00,L5,292.70,199.06,172.63,198.91,244.14
1999-10-31 09:59:01+00:00,L7,237.70,204.75,172.67,193.36,237.75
