,dates,per0120-0000,per0120-0001,per0120-0002,per0120-0003,per0120-0004,per0120-0005,per0120-0006,per0120-0007
151,2017-04-07 15:19:24+00:00,188.56068496639426,,,,191.1215031227506,197.83384755692376,202.25660874913865,204.2772648272608
152,2017-04-15 15:16:35+00:00,180.51073321298242,173.59734067224719,175.23417589871013,183.2502858544313,183.67791769424872,186.6852223326736,194.74856702949427,189.4066154491652
153,2017-05-01 15:16:24+00:00,179.10851927395257,161.15326988593435,160.21499342650083,164.0665428722545,165.28235089722438,170.59941677227533,,
154,2017-05-09 15:19:36+00:00,,,178.5694187609085,190.14673142840076,184.74244705597033,189.6850580601038,196.93851552727307,195.1682346114087
155,2017-11-25 15:17:18+00:00,207.81961054974494,196.90213201476212,185.54915564201553,191.4766385562629,233.92206964726563,202.7412886238175,,
156,2017-12-27 15:17:18+00:00,198.88970362187143,193.25659149116132,189.833592185341,200.26379566780844,195.66686848240852,198.47670783009806,205.48625797247408,203.9939667809556
157,2018-01-12 15:17:12+00:00,198.7541648812986,186.54049922261757,191.31795936056653,201.7295986233724,,221.97806862898287,208.03437947773963,203.49977295855587
158,2018-01-28 15:17:03+00:00,198.50737531511226,187.96743684130143,188.76986040508206,199.89409599173047,196.17667981496137,204.1617858891645,208.13758661274667,209.3347582167847
159,2018-02-05 15:18:44+00:00,182.60059164788962,174.38528873557541,,,185.3301608669506,188.16725478264902,195.5238769668368,192.72362707027514
160,2018-02-21 15:18:35+00:00,187.4932067294555,183.64577550019902,185.66056929797622,192.5631833389088,192.83481908895118,202.0722486299523,,198.6716164890309
161,2018-03-09 15:18:24+00:00,189.53202121873443,183.16466632569652,186.32874931627893,,,194.81881950038297,196.58770703806482,198.68173770570803
162,2018-03-25 15:18:11+00:00,,,183.94489287789054,193.8172929862847,189.47634097503953,191.10039888000586,196.5386564897032,193.55714368638013
163,2018-04-10 15:17:57+00:00,,187.71120444859247,186.2112019918535,195.2922472984564,193.71245644209253,194.00098777684258,199.15597913267686,193.28956817616995
164,2018-04-18 15:16:24+00:00,167.80844075471452,164.85612988375982,172.959950957463,186.26773287508374,184.81458370735163,185.32554331641228,,
165,2018-05-20 15:16:04+00:00,149.60555113835358,,,,,,,
