dates,nzd0066-0000,nzd0066-0001,nzd0066-0002,nzd0066-0003,nzd0066-0004,nzd0066-0005,nzd0066-0006,nzd0066-0007,nzd0066-0008,nzd0066-0009,nzd0066-0010,nzd0066-0011,nzd0066-0012,nzd0066-0013
2010-05-04 22:03:35+00:00,,167.73813457558197,168.83539183657325,178.96319083358657,199.4332871566232,199.5411966286178,204.15192445187563,203.20303634711365,211.65000945542303,206.48644740772684,203.3541435253211,197.8945836628574,206.12498158550642,196.03005263077063
2010-07-07 22:04:01+00:00,171.44930455668495,172.7337800804603,,,,205.61837827435977,198.86019271135208,204.50895605674125,210.00915982945125,203.2001725271968,201.68204457537988,203.4361096611202,201.1210631618144,196.35316036590538
2010-07-23 22:03:38+00:00,173.1250283671555,174.3307150211678,168.1338739828417,172.6305727232534,197.12959976214736,195.9358675298755,,,,,,,,
2010-11-12 22:04:06+00:00,177.24231819399867,169.1849367512366,167.6695971072868,178.2027643551395,201.39379366201248,200.12519412002945,192.9273928149398,204.28624646509536,201.3607364794132,203.43522743092,200.66806759487966,194.22505899430635,199.05345376084307,196.36031086194177
2011-01-15 22:05:06+00:00,173.52137099740062,165.90987522889333,162.7685716525173,169.75669163860292,192.61863922379175,191.04688486899622,,,,,,,,
2011-07-26 22:04:54+00:00,173.01852689843113,178.06369762661265,161.8828206976607,172.62375819834506,196.75856367234977,199.914404736438,202.88953189861076,206.09295154599843,205.9475909092718,207.73232796366676,201.61516227710118,201.75196862944318,202.80084230594773,194.3832458717752
2011-08-11 22:05:13+00:00,,,164.58444128649776,171.45776376064288,195.27368120525156,179.76917884404065,,195.8966453788836,196.95431195758212,196.64062600464356,194.76428400443268,192.0094658257677,199.83303062983217,195.31352607365073
2011-08-19 22:00:12+00:00,166.443554625683,163.34596462622687,166.92267672663877,174.83111304117716,198.58851168585625,206.16193096354112,208.36930562905752,211.41468057117658,209.76833477897446,209.47990842741345,202.29325776807045,200.34998298634892,204.2105897123769,203.40242537704023
2011-08-27 22:05:11+00:00,166.61909268718273,171.45749890921832,163.36162880381272,170.647806272756,193.58093480988308,194.41297443522546,191.6708290013237,200.56697242993357,204.64888136718733,203.03394788502246,199.06536597559412,196.99057881251954,201.55529105669498,202.0489154420112
2011-09-12 22:05:05+00:00,,,154.4664239234155,168.94659945788948,183.99139306900437,186.49060559302623,191.1190040929694,192.48900327242538,200.35196964795372,189.72813316714317,190.56248064601346,191.98893577720176,187.24240521340295,193.93155620344066
2011-11-15 22:05:23+00:00,,,,,196.54780159634996,195.88934657219738,201.6843249114833,201.41064934733043,197.13695586050332,198.34385842151636,187.39423799253882,195.5679680235119,195.92166769892765,197.75634310541264
2012-04-07 22:05:52+00:00,161.32782767871763,162.4016234451987,162.77385159196092,171.9340638866145,,,,,,213.3622194065316,200.6050023257577,191.92565580428933,188.1433429598079,190.87251359397698
