,dates,mex0222-0000,mex0222-0001,mex0222-0002,mex0222-0003,mex0222-0004,mex0222-0005,mex0222-0006,mex0222-0007,mex0222-0008,mex0222-0009,mex0222-0010,mex0222-0011,mex0222-0012
62,1996-02-20 16:24:21+00:00,214.97288824038256,220.00179786250027,225.18004357049642,239.49895652182437,240.38923629484236,246.25702500575377,237.75130746455514,240.60947815229022,241.20703942984815,246.8735352492045,239.07165118705734,228.20981215682258,234.31640747982385
63,1996-03-07 16:25:25+00:00,222.28273970644167,223.94391150954877,229.54035697952318,233.13198637026798,241.08258764464316,233.778940126951,240.34058027531034,246.5777774941561,248.53009952013818,254.68472420353726,245.1160643002911,237.8347467708656,235.68349954950097
64,1996-03-23 16:26:27+00:00,205.8191034055269,214.0995878788853,219.56300941045092,227.58533649496525,226.41761551263443,227.29223967899625,225.8989833755101,227.25918971323216,228.0007466064332,233.70658830464058,226.22653067918998,216.30588002465188,223.3548790453869
65,1996-04-08 16:27:27+00:00,211.9050883898916,227.09859233673217,231.50706615266094,235.93194418241185,233.4078068901344,236.64596474372257,242.23575002509847,240.40024915960933,240.25679185731843,243.21372606745308,232.40188507248516,225.7532149243001,219.18510993220622
66,1996-04-24 16:28:25+00:00,230.0486152748461,232.32448753121295,235.8515823896484,242.8070040465335,247.27550262433263,248.99651581869784,245.04336714978012,245.18792811862778,243.16288918793109,235.4223110589269,240.56594725584927,239.7088193548632,235.0066251378515
67,1996-05-10 16:29:22+00:00,219.24138250820783,226.17311994314042,227.3661119919913,230.865445860908,237.95703968285133,241.89530796595852,239.99912150721786,240.1218127613008,231.95111252012984,239.83878858303493,240.29390998144027,238.73445914137852,232.0732309208234
68,1996-06-11 16:31:10+00:00,224.63421388582424,233.15926090541905,243.24539936130523,249.33284910474592,250.84883936863633,253.5085010686376,244.48108250464009,244.35470431140175,245.48449821699793,246.55343161848677,242.11692874298458,237.48007800797845,239.44844375693842
69,1996-07-29 16:33:42+00:00,203.67024567937676,207.87293477988388,220.3885745403134,225.00348807902938,228.01233062273928,233.08082542097733,228.60474453872,232.93695374850847,229.91387013767985,228.83383701436412,224.59871626698035,219.0901018635096,225.3397890854367
70,1996-08-14 16:34:32+00:00,206.7544662794696,215.39251227808126,218.11386279279185,226.2904703947925,227.9697986388656,228.57575206822216,227.0003293876543,227.3187891058154,217.82328608345713,222.2626617965785,236.07034320673438,231.90195064965164,227.54401257995892
71,1996-08-30 16:35:24+00:00,207.9000215707955,208.85264336392942,211.993969183671,222.53340098672246,225.18701045139048,218.38131814918546,216.5382454661589,225.50721334964527,221.86345694252145,225.13978432357985,223.04363787685983,228.54123738688168,225.6212053244691
72,1996-09-15 16:36:17+00:00,206.3080069721708,205.29355681383544,210.37407187670055,217.2331960689498,226.3995650920182,227.3771552448988,224.2796242684058,226.61884676189,226.11178258784597,226.24537857225212,219.40799628085918,232.91678168611804,219.34064971815187
73,1996-10-17 16:37:58+00:00,212.35866273456207,226.18349869300133,228.86438803378942,233.9636647955652,235.49036836990015,244.71238307715652,243.81283622762555,237.71823059481864,230.48651482222232,229.83812184449218,237.7660267181045,236.06090566350557,240.14512388633085
74,1996-11-02 16:38:45+00:00,197.8936262652735,200.71513258773498,208.17082169345008,215.19142800450498,210.68113246777716,200.89417012466043,,,206.10952356119344,209.61009574764998,213.31472809498135,210.40098047882526,214.29701814419622
75,1996-11-18 16:39:30+00:00,212.6729796649795,220.73791716748696,219.6700669855778,228.9427978231013,237.79739417745205,237.15426465403172,241.30809470128352,234.74387185921123,225.54811065037674,235.28185373147616,231.9579017757884,229.15394544502985,232.94307494194928
76,1996-12-04 16:40:16+00:00,218.34488854018966,225.81454285689242,228.87753711420422,234.79563743387666,238.28267880138583,242.50130667974054,242.0281641970206,237.57371741570213,238.8594913592306,240.53102678780766,240.53616158025054,233.08501062103463,236.5846333436094
77,1997-01-05 16:41:47+00:00,222.53059140981395,228.22933909423207,228.66112229914228,237.45197199282896,236.8925205925129,238.59126677273497,239.33488819699718,239.33999053705045,235.86484561311315,238.57964066050002,230.88559339651812,226.6477783623526,231.90878966839418
78,1997-01-21 16:42:31+00:00,223.85443915782128,233.20218201231515,234.68739246742942,237.8582377647558,241.8768613183739,239.5895881194611,239.44021451537756,241.93703118061785,244.6048927719597,249.75577226171916,235.2952527153969,239.5211866515083,239.5686400277836
79,1997-02-22 16:43:55+00:00,229.41237005798214,235.96302061487563,237.22718689043768,241.2811910755063,244.60933585379033,242.2557026659605,242.58447624962082,240.6003123227019,243.83204101932185,237.52903276348718,238.03311947151704,227.50617303605915,237.61286117734218
80,1997-03-10 16:44:33+00:00,222.36369803024803,229.95099965795788,233.175674614925,236.87137028476008,240.2196740515253,237.6929650234736,239.12122933790383,234.82764942755182,226.33348210493054,238.32957562884656,233.62588707516687,234.49800249077376,232.04044606524891
81,1997-04-11 16:45:44+00:00,221.89294425756557,229.9761573588989,234.7368637622977,240.43024066384177,240.0487031551094,232.4207589878652,228.58654443755083,233.23780144774057,229.108820322679,237.93933524456284,229.15036079431636,225.85275397709879,224.3358368170624
82,1997-04-27 16:46:18+00:00,230.61490589620212,232.74233876532168,237.09032638129975,237.9506877199178,248.42513922781166,243.18672970578515,229.08658995552682,230.41908781513897,235.707336069395,242.81459573179052,240.7660921230492,223.8252582860482,232.3646485587595
83,1997-05-13 16:46:50+00:00,239.62903199174747,242.12662170193497,245.5834205213936,249.1115846648989,247.5364371053991,245.47052534229832,238.28706966944048,237.53618785090868,236.4011492267795,242.3401861646733,234.54678873006932,228.83013757606386,228.80694225855348
84,1997-08-17 16:50:07+00:00,223.21413341107865,221.39048779376856,230.82316896602825,231.63559952409557,228.27477486741876,238.7010698453245,232.98632388927822,235.39792663157493,241.19306283135037,241.6317184321119,242.29175930950797,231.85267620227145,229.79778674111924
85,1997-09-02 16:50:35+00:00,206.23529909564058,209.1147794734563,210.2571473261168,216.5686209199568,218.91661863997834,219.25595783269054,220.5665882078989,224.784098316554,221.19089107485837,224.65339828929524,230.45838173960857,223.04987065326412,216.24670030405338
86,1997-11-05 16:52:22+00:00,210.02055825046105,215.97909948407715,215.3631644124734,213.73469760511168,224.33966234713958,224.49556703754962,219.55036454389074,225.59091228726965,227.210229340732,230.24079996016812,233.14404771170277,223.2083685639723,229.93297066344385
87,1997-12-07 16:53:08+00:00,214.86533985952994,209.5343490428417,217.20028517566993,217.42949177738276,215.3181627589463,214.6908207752187,208.52654069134894,209.98287665372558,214.40397794293796,221.0355819150497,217.97923772176344,217.3960256328264,228.77461008257967
88,1998-01-08 16:53:53+00:00,212.43830896170508,218.1800872400349,220.5607852404884,220.75686062588815,223.80363789978296,231.75035644593459,228.49236148911183,234.6811196543493,234.43772278621532,237.14550591198218,238.56923645637423,231.91415119883027,235.6405080986796
89,1998-01-24 16:54:13+00:00,219.62050696676073,220.96306786070062,220.84499614348516,226.88595727265917,228.2515655619801,227.4986054281885,228.83542890369336,234.72482717381433,241.44542116993867,248.33135195525932,245.56443422201338,232.44153610856932,237.3540888422129
90,1998-02-09 16:54:34+00:00,224.41732874161696,228.27549638930063,226.0028564728887,233.62972029009427,231.51017795087526,232.88211550251117,233.86012358565657,234.91641836332914,238.50193988161294,242.8752014937734,237.83110430954386,220.32555470537432,223.87084996265213
91,1998-02-25 16:54:52+00:00,194.35189738469785,211.95752491195523,214.96632829467788,223.17658680362638,222.4496710167535,223.40566045548954,221.14188874229254,223.21970592319803,220.89943047519446,228.8807140105141,225.56352636812977,217.49935904084856,215.89730302875893
92,1998-03-29 16:55:19+00:00,217.98312751726354,229.97646921629303,234.0861600039019,233.85395250004663,230.46269591052769,222.82126092474314,218.74715580966452,225.34782931195375,222.86687529955688,228.29088770546062,226.8070222374471,217.33653449363084,221.97549768253563
93,1998-04-14 16:55:31+00:00,226.08236770889937,228.93468140788707,235.02775239811533,242.51116597213385,238.73715078733724,235.8731772908407,234.1855011543878,220.20723307855596,227.8162009555334,229.4828046726893,224.15333614890542,210.1880132990907,214.9362976592939
94,1998-04-30 16:55:43+00:00,224.94244152599887,231.17104487054993,236.1156966615647,230.49179669984727,233.01314480695825,236.66324265345602,224.78904244608137,216.0518906397961,222.0811562902654,223.34758630497979,216.80578726237013,207.37156346903535,208.52488061965138
95,1998-06-01 16:56:16+00:00,237.9470710572422,239.35922537259944,244.0222226941297,257.243730055819,247.8424989781946,243.86776964902143,241.7147182951462,238.42588835114282,239.84122334416168,236.8105981355327,231.58856507548913,219.34041417072268,231.22220946551022
96,1998-07-03 16:56:40+00:00,229.48440508734345,236.2663024011981,237.02315847188297,245.47679272642065,234.85993747712084,232.3657789816969,226.36998407970177,218.8283150204205,224.1543052771818,230.37465996052393,228.72655093313836,212.77882685331156,221.57145823144106
97,1998-10-23 16:57:23+00:00,195.82962178036408,209.2395896576398,211.8798985288854,222.1328816190716,218.61750395509446,216.77975185412046,206.99138602770176,203.6197927806654,210.9222131965333,209.9523667752379,205.70408398923487,197.34180502678905,202.73955204320293
98,1998-12-10 16:57:30+00:00,233.21110500683463,237.10795086601442,235.51264652216778,237.4875346448435,239.77073043420484,236.39954638899476,232.35978270359305,223.05236847874605,222.31745814467473,239.21012329342082,233.9138333473948,228.1884192899809,232.175302762487
99,1999-01-11 16:57:33+00:00,241.6504100136196,247.23887350123587,244.2043598847287,252.06218457751746,241.69285302583071,234.95410428530386,237.03980317958442,234.8660821944998,237.85542149911552,236.25736098007715,234.54749133089047,225.64050845519765,232.5147220516724
100,1999-01-27 16:57:35+00:00,235.38992184605755,234.90278983264483,240.38264930179196,237.96127537565596,246.07783800384442,241.17192510679283,241.51055916297864,232.67941036501531,233.3273006043775,232.50566428235604,232.74482320000388,223.17680965113823,231.6028417951885
101,1999-02-21 16:52:01+00:00,228.3091781888238,226.34246067040948,236.82947233664805,234.82239436903225,231.4520664087367,228.91628544158607,,,,,,,
102,1999-04-01 16:57:15+00:00,231.44869135409826,236.52014335463605,235.27281603268122,231.5535051436904,224.9298499758264,225.82584240318047,214.9218661123087,221.10502202904618,227.43113908719246,229.48580614582266,221.98061756163062,218.42468308654162,216.49262568128609
103,1999-08-07 16:56:14+00:00,223.2439822578502,234.28674903006197,240.42694260400026,244.92665302110353,246.50676482099706,242.98855355162982,238.463499264015,230.38706343599503,224.5632042160692,204.8865876538347,209.63178838105307,203.4804991033493,211.2795357308083
104,1999-08-15 17:11:24+00:00,215.638895653025,223.5124364652211,230.45151907095436,231.8660893636519,241.00274176740834,235.26079745619936,227.03885628119514,224.81170276049139,218.77214407977908,216.79004016828438,206.08893563345003,196.76745209135552,196.2491105718621
105,1999-08-16 16:49:56+00:00,219.1583930447202,226.21200352699753,232.63291598649607,234.06428342741077,240.2299065147409,235.35943000254164,226.32085083859175,220.01492263060155,212.49547399376553,209.78932863288742,207.72946619392047,204.13662193981793,207.15950182058532
106,1999-08-23 16:55:59+00:00,211.07379699826797,220.40633531105846,230.56823032772593,241.18549256724458,242.09160951008613,237.42989692117797,225.49307299443848,226.28791556894208,222.1160050081026,218.63262601796453,204.2874336721634,204.25796159202832,200.56006237608943
107,1999-10-18 17:11:27+00:00,237.47649477924904,250.47871604376243,251.4908604582728,252.67654261110877,242.5846273144888,241.65045618255053,242.38616205659997,230.29962091361054,222.24642584249827,224.55193333539071,215.96166829402063,206.3346365771555,202.49907105593485
108,1999-10-19 16:48:55+00:00,221.89748937782184,226.91822172630057,220.4109947284054,230.40941931722068,,,,218.32073725346197,208.13654781162538,206.99261208819885,203.78380522729756,192.0990364414237,198.5250853542507
109,1999-10-26 16:54:57+00:00,235.89991194730055,248.21558301574228,250.9120797315068,251.69599450162582,244.28751004216124,238.40801561201516,240.56443751658963,230.67188745288092,215.76048030388088,218.26256606504944,218.61204730862227,199.74637563101342,190.71329317809366
110,1999-11-11 16:54:24+00:00,235.70072483622084,240.73137312598283,247.5917698929521,247.76068583664383,244.29505042115423,236.37672143817633,233.5201209024382,223.84294196431085,217.45639107306496,224.01283942480072,210.81137123175986,196.59404014885408,197.0169136654064
111,1999-12-05 17:11:25+00:00,246.183003421938,253.36358111696165,263.966549161969,263.24354127609814,258.5601245839754,255.86391057435452,252.7631843370871,244.87914506223657,231.91508549731927,234.07476286373569,235.41028952335958,225.79881430601068,224.83909093943737
112,1999-12-13 16:53:41+00:00,242.48496056006545,247.61857099478644,259.63712492740046,261.8563548440662,258.6123894712428,248.6166111675621,245.37700442557656,245.35465575046766,234.17992432458956,232.75598458089638,231.7404155033576,221.38812982947186,217.1154288833487
113,1999-12-29 16:53:39+00:00,243.77253370553626,247.6562607886559,253.35296806946246,254.30617484162178,249.51065504005953,245.0530453956521,241.88326379276276,231.5081567025578,221.11397297128048,226.5760656849537,217.30038814907223,202.2662642658255,208.80089751840197
