dates,nzd0006-0000,nzd0006-0001,nzd0006-0002,nzd0006-0003,nzd0006-0004,nzd0006-0005,nzd0006-0006,nzd0006-0007,nzd0006-0008,nzd0006-0009,nzd0006-0010,nzd0006-0011,nzd0006-0012,nzd0006-0013,satname
2023-02-16 22:17:50+00:00,348.54,344.74,320.24,326.25,325.03,316.33,,,,,,,,,L8
2023-03-20 22:17:28+00:00,352.97,330.40,329.24,310.27,311.84,324.91,338.56,319.54,317.08,330.98,340.36,360.67,361.75,362.47,L8
2023-03-28 22:17:33+00:00,353.32,330.94,328.04,317.07,310.83,318.12,320.11,321.12,314.70,323.09,330.28,345.14,344.76,331.30,L9
2023-04-13 22:17:27+00:00,349.69,328.40,327.95,332.24,334.30,333.28,330.52,324.74,331.25,339.77,345.91,351.83,353.40,352.65,L9
2023-05-15 22:17:12+00:00,352.52,347.19,319.97,292.29,305.84,306.94,288.37,304.35,330.00,344.56,315.14,335.26,329.84,,L9
2023-06-16 22:16:54+00:00,343.60,316.20,299.37,306.20,300.36,282.43,267.00,283.16,,,310.28,318.73,310.71,,L9
2023-06-24 22:17:06+00:00,,,,,,,,,,,,,337.84,,L8
2023-07-18 22:17:12+00:00,358.37,334.92,333.15,352.69,361.92,335.86,290.57,296.42,303.27,317.52,331.32,336.78,334.36,327.64,L9
2023-10-14 22:17:45+00:00,368.64,362.94,343.67,343.55,346.57,350.61,351.76,350.93,347.94,363.70,369.97,365.27,374.89,,L8
2023-10-22 22:17:50+00:00,356.92,353.43,328.96,328.57,324.23,321.06,327.89,333.00,332.97,340.51,345.98,351.46,354.58,354.73,L9
2023-11-07 22:17:46+00:00,357.17,355.78,334.51,317.26,317.50,309.33,318.90,319.87,320.60,329.93,341.85,344.88,342.67,,L9
2023-11-15 22:17:47+00:00,350.20,335.81,308.39,296.82,292.15,297.25,289.48,294.48,297.66,309.33,315.41,314.69,317.66,,L8
2023-12-17 22:17:48+00:00,367.88,351.71,339.31,318.27,320.37,334.67,363.55,,,375.60,376.27,373.82,373.68,,L8
2024-01-10 22:17:52+00:00,356.85,351.92,301.15,281.73,296.65,,,316.59,314.71,,,,,,L9
2024-02-11 22:17:53+00:00,364.15,343.81,331.68,325.61,326.99,336.24,340.20,336.72,350.54,363.59,367.95,,,,L9
2024-04-07 22:17:11+00:00,355.75,354.54,338.21,333.21,335.95,334.75,324.32,328.82,333.10,339.36,349.00,355.64,356.64,350.81,L8
2024-04-23 22:17:03+00:00,363.52,359.03,338.83,338.35,336.99,336.92,329.19,331.76,340.66,344.52,354.31,360.10,359.82,359.03,L8
2024-05-09 22:16:51+00:00,349.95,313.14,317.81,319.98,316.73,322.45,321.59,302.01,316.87,327.94,332.71,339.82,344.28,,L8
