dates,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022,satname
2007-09-28 21:43:49+00:00,309.84,284.43,262.64,222.47,240.70,262.69,284.87,299.50,282.24,290.33,291.88,284.37,268.72,298.96,,283.24,,,,,,,269.26,L7
2007-10-30 21:44:02+00:00,332.88,,243.25,,,264.30,282.47,303.48,293.44,290.65,292.20,288.19,274.62,306.61,302.67,297.93,,,286.53,263.18,230.31,241.12,274.95,L7
2008-01-02 21:44:25+00:00,,275.33,268.46,269.34,259.90,269.73,287.91,305.52,299.02,302.13,300.13,288.34,274.69,303.41,299.04,,,301.24,279.16,257.41,223.62,232.71,266.98,L7
2008-02-03 21:44:23+00:00,329.09,273.97,250.70,242.66,245.17,256.73,268.13,293.51,290.33,290.29,288.12,276.19,261.61,287.05,,,272.42,277.30,260.53,241.67,204.17,226.82,262.15,L7
2008-02-19 21:44:19+00:00,315.06,268.74,227.82,227.31,231.94,245.25,,285.15,281.10,281.09,281.37,266.97,254.68,282.52,280.76,273.82,273.40,276.44,264.37,,220.79,232.69,258.44,L7
2008-06-10 21:43:51+00:00,305.48,279.90,,,240.36,254.83,271.66,304.97,300.71,296.34,288.08,268.79,258.96,288.06,288.83,277.50,,,275.94,248.43,228.04,235.04,274.04,L7
2008-07-12 21:43:29+00:00,313.74,289.46,247.72,244.27,230.38,244.01,270.78,292.09,287.98,287.43,289.06,280.06,271.33,,300.01,284.01,296.99,292.77,275.58,254.82,222.39,242.22,271.39,L7
2008-09-14 21:42:59+00:00,312.44,274.80,263.60,256.06,245.36,256.12,267.85,287.59,290.80,,289.48,287.08,274.26,300.30,295.25,283.59,286.79,289.66,273.46,252.59,211.65,229.69,,L7
2008-09-30 21:42:49+00:00,296.55,273.43,259.63,239.34,244.71,254.17,267.72,286.90,282.55,286.39,283.27,,,283.33,285.25,275.50,281.41,285.43,267.50,237.18,220.02,227.94,264.16,L7
2008-11-01 21:43:02+00:00,,,,,238.64,252.28,271.46,292.35,291.82,291.78,286.96,277.65,271.55,289.56,285.45,278.56,,295.12,273.79,244.93,218.80,230.98,268.24,L7
2008-12-03 21:43:27+00:00,309.95,289.49,285.04,274.74,262.45,263.88,288.92,309.37,312.24,308.10,297.23,291.98,286.63,300.33,,293.88,302.27,306.58,282.95,246.88,223.88,227.74,270.64,L7
2009-01-20 21:43:48+00:00,311.52,256.33,,223.13,259.80,267.17,283.17,,,282.65,275.20,265.67,263.31,274.92,276.79,285.33,287.08,290.81,272.58,243.44,,,269.96,L7
2009-03-09 21:44:11+00:00,313.06,278.54,279.39,255.91,259.81,269.42,279.90,,317.73,298.30,287.17,274.09,276.55,289.98,288.24,289.05,291.84,295.82,271.76,249.86,,240.73,263.49,L7
2009-03-25 21:44:18+00:00,299.55,285.26,268.09,254.58,255.19,267.10,279.94,310.44,306.22,295.68,285.36,279.81,280.65,296.67,,288.04,287.80,289.96,271.45,253.57,221.33,230.46,266.85,L7
2009-04-10 21:44:23+00:00,314.15,277.94,237.97,236.75,241.86,250.11,266.91,294.90,289.74,283.09,275.33,268.58,261.23,,285.71,282.20,281.30,283.84,266.48,233.34,215.84,225.76,262.00,L7
2009-04-26 21:44:27+00:00,315.18,278.05,252.47,251.88,255.92,264.58,284.32,310.80,295.99,290.85,280.24,277.57,272.21,291.10,,,294.87,294.62,275.87,245.52,224.14,226.74,266.90,L7
2009-05-12 21:44:30+00:00,,,,,237.64,246.59,268.40,299.48,294.46,287.00,279.38,271.39,261.58,289.15,285.20,284.04,,,272.49,237.78,218.28,236.46,278.16,L7
2009-05-28 21:44:31+00:00,303.62,272.76,236.96,237.67,,,,300.54,296.42,290.07,286.85,280.42,264.63,292.46,289.67,284.10,293.16,293.87,,,213.26,235.60,272.52,L7
2009-09-01 21:44:14+00:00,305.41,284.98,271.21,267.22,230.64,238.72,269.29,278.09,269.10,280.27,297.98,,274.85,299.49,297.90,289.03,294.89,311.06,267.91,247.04,211.41,234.73,261.62,L7
2009-12-06 21:44:55+00:00,294.63,268.71,245.04,,,256.94,277.32,288.16,284.12,285.14,291.76,286.96,281.48,294.33,289.71,287.06,294.40,,276.80,251.83,222.29,232.70,273.93,L7
2009-12-22 21:45:12+00:00,,,,,,,248.25,273.51,268.45,270.79,285.79,,,,,,,,,,,,,L7
2010-01-07 21:45:28+00:00,297.92,269.64,267.19,250.91,245.02,257.45,277.11,286.15,285.58,,,286.96,279.49,300.62,299.26,296.49,301.30,309.70,280.76,256.48,229.66,234.87,,L7
2010-01-23 21:45:42+00:00,298.48,275.30,265.79,258.55,254.89,260.51,276.82,292.79,289.66,,,281.17,271.69,296.32,291.60,291.14,297.87,306.55,282.81,260.25,228.89,237.49,,L7
2010-02-08 21:45:54+00:00,288.84,266.49,,,,251.08,270.63,286.69,284.83,289.40,288.59,278.97,264.92,286.59,289.96,283.90,,,271.45,254.73,219.49,233.57,265.88,L7
