,dates,aus0035-0000,aus0035-0001,aus0035-0002,aus0035-0003,aus0035-0004,aus0035-0005,aus0035-0006,aus0035-0007,aus0035-0008,aus0035-0009,aus0035-0010,aus0035-0011,aus0035-0012,aus0035-0013,aus0035-0014,aus0035-0015,aus0035-0016,aus0035-0017,aus0035-0018,aus0035-0019,aus0035-0020
575,2021-03-24 22:54:23+00:00,214.31034787119825,232.0016898891849,237.4267105109537,232.53755225916848,224.7030109395123,222.45146950021262,256.23408272171935,269.8033113800368,274.33024202860963,294.669152791803,,,,,341.04116814421036,289.13373058091094,234.53488574312314,225.05422179012805,207.87320543361986,179.17075548388783,166.9747370403695
576,2021-04-09 22:53:04+00:00,213.10165343182354,225.60540270911946,228.6170432959241,213.12459003658432,204.8406759690517,228.1689741740309,243.90547834416796,262.73250056218933,265.0304942240227,282.72727449015844,,287.2286864125377,294.34607358328896,321.6741011540166,313.4508078571297,267.6062823379849,209.4295785279998,183.78030161509542,,169.45221589667392,180.2965106437503
577,2021-05-03 23:41:38+00:00,205.37766194484954,215.99011385307347,236.4527882256979,242.3143587032266,227.3290363273936,229.9035709929037,250.57524817177756,261.8659228496156,275.64700967330924,287.5724470792531,,307.0303352466539,310.34569835182896,314.7430940456302,302.4662653588682,249.87706670810476,195.31811765470874,168.8848735232462,,154.74963253638023,172.1761755791609
578,2021-05-11 22:50:23+00:00,215.01700102871825,231.11083984384268,224.25614370759578,230.24179354088514,225.99463820039207,,,,,,217.4468051807755,,,,,,,,,,190.61981205232985
579,2021-05-27 22:49:01+00:00,216.2888922631736,229.34382574496058,231.44350736173857,223.3357522198708,229.97030635134945,211.06202335522715,241.88093306141644,284.8303176973173,294.2737060733159,298.7470131135657,,301.7931998123526,295.39979528610456,300.52772988148644,271.876077269047,209.9902952532181,178.79855397614057,182.59609299905617,,,
580,2021-06-04 23:41:53+00:00,257.68737291483563,287.42256471396615,297.9830336334455,,,289.5794680464006,290.4989120102014,298.29969681594156,304.69474763594366,302.73948336582384,312.64776650992064,321.4445138395665,310.5203581673055,301.3550748184213,274.8188434933349,230.30279130546646,194.65141883441694,207.87467742776587,226.30156205855263,224.0508143908071,213.01528951137078
581,2021-06-12 22:47:42+00:00,248.36936550757207,270.32551332694305,,252.02728428666663,257.25965450478583,270.7125962820605,277.86669704739126,293.0995857775768,299.12149485779815,309.07395037589396,310.6028983473353,310.4813294297556,310.0774406623009,300.42261947753326,277.56332545593386,,183.78365013005077,194.87613649364164,,224.33295922375848,211.21839530304788
582,2021-06-20 23:41:59+00:00,251.463491506232,268.4903119810988,279.81929871136947,281.4129264008228,292.9977620819005,287.7076233022183,291.03187258212336,296.8597492588882,300.66241794357956,300.8712681597235,312.5625631864908,314.3388984260556,310.37472347760104,301.3200810116532,270.32616334608963,226.08237650385635,189.10450410740657,,221.91537663383485,206.9804629597831,196.01026145871612
583,2021-06-28 22:46:22+00:00,,,,,280.95098375602936,289.0554797033322,284.32159507098635,291.06689179545333,297.07858460415184,304.02782237175876,306.72930166519575,310.8439270825043,308.8568206165643,293.98353684742085,271.97518822017753,,,190.30379540631617,203.20458941273276,220.92008924557075,199.11909624738487
584,2021-07-06 23:42:01+00:00,233.6238639125985,248.19976557342076,263.2603430413827,251.69511558952453,262.8300480500638,270.8245883263998,273.2643702020422,279.16026525233804,276.8632371635385,281.910365198668,295.42565058007,292.94787194114156,286.96664716931707,279.3719565605386,261.845413010241,223.09541531518707,202.14798436788257,208.96230449947447,215.94817346445294,217.57484217843697,200.46051099185792
585,2021-07-30 22:43:38+00:00,240.26275376082472,261.0369222738429,282.1097807286102,283.5910738285323,287.5895433175876,296.20783176418394,286.80274460691,286.82641256444356,295.26621536407714,299.53604299528575,310.2790505758749,307.257872330192,294.51377169439246,280.2714198783978,279.8860833805397,265.45845155158855,228.2468346164686,231.77485297957492,251.56586259072446,248.0222836589716,
586,2021-08-07 23:42:13+00:00,244.06206013417568,259.3866869978809,268.5084914290847,268.38577225544924,278.1885220136595,286.245549262653,286.69046609598803,290.6681239703815,295.16452799967993,306.2697275844535,312.41125678067584,309.7018277801422,296.2138681535376,283.26377028047483,269.94143296534776,254.55462596557564,221.7265737957718,224.076273186468,243.74819086021753,243.24248586061947,214.78865960378067
587,2021-08-15 22:42:12+00:00,240.49963484189925,273.1295625405457,282.1812514392724,290.3908662486789,294.8329814049972,289.760687211329,291.80041049420396,295.69877730988503,294.9830719572284,299.035635508901,302.2469219488386,304.21397091533817,279.6022915148139,287.3086247757504,283.43236933098933,251.66636134895242,,256.49646368986475,248.92334910543147,237.8967175724869,204.6685651598555
588,2021-08-31 22:40:50+00:00,229.97512382311118,244.65070150912152,269.51647974001116,288.6729288806003,284.39821413339223,287.65549128463783,285.424499435751,291.4456527380692,285.09738133219673,288.89007886913123,290.3051811028323,291.38237447653836,279.7992611242357,294.39784254863343,306.1569019201835,273.34813770043326,252.26540051068406,255.00558542193988,252.85398691360064,239.762051407926,203.07322062602006
589,2021-09-08 23:42:23+00:00,,214.8855934427996,252.8643751552303,,249.332804721783,275.0269618335604,271.0867020709041,272.40366292673787,278.427841587036,281.92389929229773,292.30068829223643,294.10178139902945,282.42442216212424,280.9765314872833,288.95407439772305,246.9559798236782,,236.68412377669702,,,
590,2021-09-16 22:39:25+00:00,211.39598640838858,233.69919246049753,266.82864504910447,272.0992825130323,266.73019995363103,292.0854748449541,283.5243079831316,276.46341026026414,277.8427996365399,281.28041675330087,289.36474198930284,291.55457738122993,288.0827778361027,280.08747659448795,276.7004388743441,255.9787095210215,242.94471937747133,246.07856871053997,227.57477800428035,222.2413759868729,
591,2021-10-02 22:37:59+00:00,216.83720791998613,242.6395404875132,278.6711771047724,278.7151809221722,283.9667244752512,279.5290068709046,281.20406498239936,276.6346234384781,285.8000282865824,286.55347190751667,293.30607298892147,295.42519069274005,292.19376172613994,290.7101486534905,291.9546462345196,273.91731641879136,244.44426433649204,234.9681643083329,231.1015498628948,244.24385827095944,213.0382848554034
592,2021-10-10 23:42:31+00:00,,,,,,,,,,,,,,,,,,,,,
593,2021-11-19 22:33:33+00:00,237.40562397330575,262.8259185987714,292.67058893323934,296.8413659864962,297.9430979217581,297.3624311016397,299.0443886306001,293.697355815145,303.0234203234013,312.6047084740368,317.3035291120177,322.8050822823751,330.6896262862664,318.42282635466955,320.88459870945263,277.32348108814153,236.35797046102846,253.04240882788457,284.1721342394019,270.3642887030798,228.63203758789456
