dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0005,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0013,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0027,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0040,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,satname
2004-09-24 22:01:37+00:00,348.78,334.04,330.29,324.37,323.49,326.32,333.41,335.20,335.74,331.37,,,354.54,355.58,361.74,359.27,356.48,357.33,352.42,349.96,356.25,359.54,358.17,360.11,357.27,,,355.66,360.33,353.91,354.92,356.91,368.11,362.59,364.23,358.73,357.62,354.12,,,,351.26,348.68,344.71,348.54,350.94,354.66,L7
2004-10-02 21:57:14+00:00,339.12,335.38,332.77,329.17,332.61,335.55,342.19,347.48,351.25,341.62,335.19,354.01,369.02,377.39,376.52,367.84,365.94,369.57,363.78,362.07,361.62,368.81,367.86,372.22,368.76,367.00,363.90,364.24,366.23,353.62,349.96,360.38,372.45,365.89,361.34,362.97,363.70,365.87,372.05,375.99,366.50,358.14,356.56,352.20,355.76,355.73,355.27,L5
2004-10-10 22:01:32+00:00,341.46,333.15,321.33,315.50,314.78,310.63,327.56,327.66,330.50,326.32,320.44,,,,358.17,358.77,354.71,362.11,351.45,351.75,352.18,358.38,358.42,364.63,355.56,352.03,,,355.33,351.82,353.44,355.27,367.46,364.72,359.35,353.43,353.14,351.24,361.95,,,,346.27,342.47,343.91,344.77,350.99,L7
2004-10-26 22:01:48+00:00,344.96,339.37,333.46,327.93,328.85,329.32,,,,,,,,,,,,,,,,,,,,,359.83,354.36,356.43,358.98,363.45,366.59,372.59,372.77,368.75,,,,,,,,,,,,,L7
2005-01-14 22:02:24+00:00,330.62,326.73,323.32,315.21,315.80,314.01,327.82,330.15,320.73,310.34,,,338.33,343.83,352.38,346.35,346.21,346.93,345.62,348.46,349.80,356.95,355.80,,,,,,,,,,,,,,,,,,,,340.34,331.57,334.94,336.80,345.61,L7
2005-02-07 21:59:26+00:00,367.79,366.94,350.38,350.05,354.35,351.97,365.19,345.61,345.74,336.38,334.60,348.05,364.78,368.78,390.59,397.68,391.41,396.57,383.84,375.55,379.84,386.85,372.51,364.48,364.55,363.23,364.75,361.51,360.31,376.79,385.65,385.98,393.61,388.34,388.05,378.97,373.87,363.70,364.13,379.11,365.77,352.18,373.69,382.44,378.66,384.07,383.96,L5
2005-02-15 22:02:37+00:00,350.10,,,,317.99,327.67,330.88,335.25,342.07,336.36,325.43,354.21,371.94,376.26,396.51,365.48,367.08,,,357.37,364.47,367.47,367.73,365.15,364.17,366.77,366.37,365.70,363.44,358.91,356.01,,,357.81,357.94,367.84,376.34,373.15,378.89,377.70,369.03,347.38,371.85,372.18,,,374.37,L7
2005-02-23 21:59:43+00:00,360.88,347.36,331.47,328.33,328.53,331.74,344.87,339.64,341.29,343.04,331.43,348.85,363.56,371.87,377.79,377.54,370.40,371.41,368.55,373.67,376.32,388.28,381.69,381.23,375.65,372.91,372.63,368.67,368.67,369.56,366.14,370.11,375.16,371.12,377.91,375.46,380.76,381.69,390.89,386.87,376.64,361.83,363.68,368.34,358.95,369.34,369.87,L5
2005-03-03 22:02:41+00:00,,335.07,330.05,325.88,323.55,328.75,336.82,333.55,333.50,331.99,324.35,353.90,350.66,360.18,,,,355.30,354.85,354.19,357.72,367.18,366.22,368.19,365.49,365.82,362.80,357.89,,,,367.00,375.73,365.78,358.16,370.38,377.72,372.65,373.16,372.97,361.89,348.11,,,357.63,358.66,366.42,L7
2005-03-11 21:59:55+00:00,,,,,,330.90,344.91,342.28,,,,,,,,,,,,,,,,,,,,,,,,,,,366.00,365.97,375.91,371.28,377.61,379.39,370.66,353.89,353.90,365.13,361.97,369.66,374.65,L5
2005-04-04 22:02:39+00:00,,342.11,335.43,332.09,333.85,336.77,340.99,340.14,335.30,333.22,324.04,338.04,351.89,,,,369.51,371.44,366.57,367.17,367.31,370.27,368.67,370.53,366.13,364.10,363.74,364.88,,,366.04,371.18,374.36,379.50,365.31,365.01,379.56,379.36,381.24,377.63,369.48,,,354.10,359.89,364.94,372.76,L7
2005-04-20 22:02:32+00:00,352.29,344.46,336.68,336.22,335.72,343.39,,,,334.95,327.83,336.20,359.35,360.03,368.38,368.82,372.04,371.09,364.41,365.28,369.71,,,,367.71,365.82,365.51,361.29,364.41,363.96,366.68,373.36,376.82,372.51,376.13,,,372.24,376.77,375.45,370.46,361.00,357.77,356.65,360.65,366.83,370.51,L7
2005-04-28 22:00:11+00:00,346.36,336.51,337.17,332.00,334.41,338.11,346.15,337.51,333.93,330.54,319.40,338.58,348.55,357.74,370.94,364.79,364.96,363.08,362.21,361.73,361.38,369.67,360.48,362.37,356.82,358.02,358.55,358.23,357.92,360.68,362.82,362.66,381.76,377.12,382.45,379.90,370.34,373.62,380.65,363.08,355.90,353.39,359.56,347.51,351.26,357.59,365.41,L5
