,dates,jap0202-0000,jap0202-0001,jap0202-0002,jap0202-0003,jap0202-0004,jap0202-0005,jap0202-0006,jap0202-0007,jap0202-0008,jap0202-0009,jap0202-0010,jap0202-0011,jap0202-0012,jap0202-0013,jap0202-0014,jap0202-0015,jap0202-0016
362,2016-01-21 01:17:32+00:00,185.37955191780733,159.24837724335174,149.71557306197826,147.49942460231884,163.82186412442678,171.18933960059817,169.08978239981388,169.11994554296575,165.84786361956236,173.96403766798292,174.28876571471326,156.68546805482694,,145.48153151940363,,,
363,2016-02-06 01:17:40+00:00,198.0923315837182,161.501434010499,158.40337058234985,166.4441111793336,171.0383009434482,165.378102661839,157.2795701218332,169.66811700589577,164.22184582603563,169.1076392797839,165.65124792863622,164.79006689761306,152.09397971602107,133.15420304380768,128.97939437300641,125.0846267027394,103.94802165841273
364,2016-03-01 01:15:43+00:00,,164.02843359365184,161.63130299667242,170.34812387023868,177.46695455998872,182.80995538489273,187.86753113184176,175.10882181475458,170.61407469712384,182.6362310193892,171.7083532370798,157.90881945186456,157.69440806662547,139.21435704239707,135.18371263071526,155.6045430359503,130.91910714572046
365,2016-03-02 01:12:00+00:00,,163.0322182755267,,163.84857967771129,178.50973499413792,180.2229599464356,184.39819868261492,168.10856857398574,172.98902120678045,176.9948616332157,171.25984831593877,158.32712285045423,167.27976570607066,140.16257082169108,136.82849398309256,153.84179753094656,
366,2016-03-17 01:15:38+00:00,,163.47042484509277,155.25500932599647,162.16288043631857,167.87464402896083,184.16896857119474,189.07723785622161,187.1912208408015,166.7663389258234,182.11509227797802,178.1645823512958,178.11197351879045,175.49484271017786,147.73890439179306,138.02851199125865,155.9162442001391,138.25269825673817
367,2016-03-25 01:17:58+00:00,170.93588910552822,155.24464020916474,144.28635039350303,155.23681199241244,163.92348883367325,173.59327296386144,173.6813490090874,174.2449462686311,177.63353062538567,188.0255330848934,175.20769504173356,178.23636759843566,159.6637950399268,137.7968340929192,138.67133261841585,149.6471296140836,137.03459532999506
368,2016-04-18 01:15:47+00:00,162.98211416949965,137.6237901877307,133.72279657218095,130.50209401933412,139.11232452201253,,144.93860002405552,138.40234958929005,143.70916389604,158.9682497825145,,139.81459805862818,,,110.85652772494669,122.34595072653147,111.75097172816957
369,2016-04-26 01:18:34+00:00,183.33314560600869,143.05234461713866,143.11797784827652,152.3881938454115,150.1868663365402,168.6283476802575,162.79369576818883,153.41199269925932,148.68627348313746,168.53983148390978,166.79092519504871,161.3306326468234,,,,,
370,2016-05-05 01:12:25+00:00,,138.0915079968326,140.24106250946102,137.251682802172,140.8254645969476,143.56396084386392,141.03735829222484,135.10635518592414,145.65005468537078,154.2635184804531,,132.62174764314705,,108.02149173879505,99.03774156674304,,
371,2016-05-12 01:18:13+00:00,176.32176905052626,153.1838142484796,153.0631444385889,155.6852664580283,158.83958328586897,173.37693383718988,173.36811052472743,146.20707507238288,163.03448297777265,175.13362646753356,170.667014689364,166.42066551604628,,133.10064541387572,131.47868663789518,141.7959848767246,129.9375903676936
372,2016-07-07 01:15:43+00:00,,140.35809103087638,141.17067115175942,146.58148277411303,162.78891401144713,170.52309050011743,172.54428381930646,169.69496165399542,166.75072975021143,171.56237492635617,166.6599808188743,160.2089757524012,149.02734856430126,145.8305270399037,139.6164632719965,150.51904647978301,136.27719545395675
373,2016-08-16 01:18:27+00:00,,,,,,,,,,,,,,,,,
374,2016-09-01 01:18:54+00:00,,,,,,,,,,,,,,123.86128699356016,117.17626155880473,110.17451627247891,98.7863393943099
375,2016-09-09 01:16:26+00:00,,,,,130.12010713664077,,126.72087515821968,,144.81300383940163,162.39311257142538,,155.0334506692369,162.4608263308807,136.67093348776322,,118.44683315608037,110.61422010732416
376,2016-09-25 01:16:27+00:00,168.93807794128884,123.7422478254877,122.20205055387648,124.9287096027888,143.93909674204568,,118.46025478742504,,152.46642146431807,157.5920410107172,,147.917306477377,,,,127.28905588230313,104.72579046860943
377,2016-10-19 01:18:57+00:00,,,,,,,,,,,,151.62441382167788,152.080004574611,132.45470173428438,122.63359772257205,127.94812527263318,106.52635046515039
378,2016-11-04 01:18:52+00:00,,,,,,,,,,,,,158.71232643797205,151.0912869310235,133.25555848832047,141.08525447024522,
379,2016-11-13 01:12:36+00:00,,,,,,,,,,,,,,,,,126.37430791749043
380,2016-11-20 01:18:45+00:00,,,,,,,,,,,,162.93164369589195,,141.45176114687104,139.88100620785033,148.1204730073428,128.6506938602412
381,2016-12-06 01:18:43+00:00,172.25893486211413,144.28528959822864,133.33724709907523,130.16425095215084,156.32256950176188,,163.43675168118398,,158.2628931171149,171.0662909890454,,,,,,,
382,2016-12-30 01:16:27+00:00,168.70964557370556,145.12177920455753,139.1966309823534,144.82443206910878,160.40470669755913,159.7307154669276,154.9819026572107,163.39685537848126,170.27486492311644,185.29779820077113,181.6418599196574,176.03374901510244,175.97606061824513,161.3748022601626,146.15403643308557,152.79391494714633,137.62051673515748
383,2016-12-31 01:12:21+00:00,,,,,,,,,,,,,,,,,129.44757731038717
384,2017-01-07 01:18:27+00:00,,147.34512962848154,131.281676332016,132.02907282253173,150.0402582468644,,158.906153744389,149.20928577502002,160.5919022870249,173.4871275985564,177.1586852919972,175.8524025704113,,158.2599435865137,142.63304598671573,147.34021009656703,119.77239639502176
385,2017-01-15 01:15:59+00:00,,143.8819047743176,139.46641333421528,147.08900365679676,161.11310768426617,159.07285319244176,155.84732627910128,155.32577810361258,165.25643685194373,186.4300247873212,184.4336109056113,175.07924401679986,177.40499318825647,158.5401911996302,154.86193006823015,162.30511703144188,139.2146237279248
386,2017-01-16 01:12:10+00:00,,146.046982108095,139.97804081605818,140.9308605737127,160.61658300174682,153.84788047127017,151.33514147998667,,158.0505654492462,179.32869434617677,176.90366849693015,166.22851213597568,172.5783863563639,154.30668836327956,146.93455800753372,155.6839988303893,135.38248182515397
387,2017-01-31 01:15:52+00:00,,140.19863312615982,134.19360301368715,140.0255290708989,150.25524137441954,150.25413081736818,148.15251603447732,145.40959617126714,160.6857595595756,179.24341455196938,178.23823795117235,172.9718869873004,169.50150035792467,156.71004004067342,149.4485821001673,157.43746176151444,138.84093816333794
388,2017-02-01 01:12:02+00:00,,128.6213792940677,125.68280804357704,123.87587175270635,137.86307006590428,134.29357514361493,129.55057693919875,,134.76871277248762,163.12664383405107,,152.75125256153092,156.61703327534624,138.383058216406,134.80881541410054,141.2262913982477,122.22532682175066
389,2017-02-16 01:16:09+00:00,170.59620916317164,148.01965266289983,140.95139708922224,147.12764166140394,156.92678909974595,,150.5990443512013,152.14116852774245,169.49146630221335,178.75381415711104,174.93507167744622,174.34873973655684,177.29778138403475,152.68983418033412,151.05357615753707,159.12353602432987,144.47683319306879
390,2017-02-24 01:18:15+00:00,143.18083765880652,124.67853905475712,122.21343102038216,124.67480362300178,134.34210875089784,,128.04542619685023,,123.4340158781136,143.1877195504388,143.73006493139312,140.71790698354684,,,119.11430381653993,126.60428408952446,114.7798103901974
391,2017-03-05 01:12:09+00:00,168.13932116331145,143.8838575936339,130.63037914683696,134.8767018368622,136.43064146164005,,137.4947703630578,,138.91592309243222,161.95500991219058,,151.14537279881174,156.83847958823253,141.52202700653385,131.66444842183358,136.49159219908077,
392,2017-03-20 01:15:53+00:00,164.50840746597166,141.39390520474083,137.02012629604474,132.8644226839518,140.66982624507492,137.5680722496891,131.09306640522553,,154.3195813487288,165.11723214078833,,154.7671217924727,,148.41850011184667,,137.41108993052683,125.42541984453601
393,2017-03-28 01:18:27+00:00,,,,,,,,,,,,158.12628512371856,149.96113427783192,148.72289625003467,138.62979502039013,143.59235596936173,136.4291189311291
394,2017-04-05 01:15:22+00:00,,152.6842176669007,147.7409197621115,159.99556714337982,164.00825628185507,156.18611377857565,149.9173622426874,156.29580094496413,168.03438607080267,178.55140641456575,169.75968928568022,180.1113632489908,183.22968814824992,,165.09902062116134,171.2756462786761,158.25188448441887
395,2017-04-13 01:18:33+00:00,125.87403257970949,124.3138293286268,119.84586600340344,126.87222875249452,,,115.07910527534226,133.65664972937572,141.7224554988602,147.04852760453815,,138.08903057306648,,136.81705240469407,128.04482395276818,133.70469576327156,124.67194869292024
396,2017-04-29 01:18:15+00:00,,,,,,,,,,,,,,,156.83518181663496,154.86387971906137,149.55901807780796
397,2017-05-08 01:12:30+00:00,,136.91386057378278,133.87854526274634,,152.86398182399768,151.31003097192007,133.49260126435271,118.47000212213183,156.07991867457994,156.72568090702268,148.6303855185596,149.07543032971952,,135.75687254849888,130.91801365962561,133.403482140351,128.89316480856647
398,2017-05-23 01:15:20+00:00,159.39404768613934,141.59662478418562,141.45946116077002,151.27064224126596,161.14221308702784,167.32424816341563,155.49930259516594,161.03760022849193,169.0912454274983,180.49551634523854,174.71460849489623,178.05930856106184,165.25678337972252,,157.47821490945486,159.2052382969053,147.83793186142447
399,2017-07-10 01:16:01+00:00,131.87162424045462,131.4677107899605,135.5429842374152,146.9157781216906,160.41469639048833,163.53555158086766,153.42258221248167,158.76407173683572,165.315338096924,166.24615381025203,158.37883172658593,162.76974737393047,150.61514893386476,147.67241525861405,150.43406950252717,154.93657833222983,140.23064033414394
400,2017-09-29 01:12:38+00:00,,,,,,,,,,,,,,,,,
401,2017-11-16 01:12:38+00:00,188.53943156121113,135.6973016716268,141.42737242764082,152.6685406894623,152.64379492622825,159.87507843118627,136.47330564898218,147.5222102029301,141.58735941682727,,,,,,,,
402,2017-12-09 01:18:39+00:00,,152.1279684133147,155.05348863220212,134.06190779406484,169.76453783875067,170.39183826387682,133.1619492505031,160.3986521125394,171.7169378811289,180.00864088685955,179.56226171070693,175.98410256399418,178.74702753153142,,,,
403,2017-12-17 01:16:24+00:00,,151.9565633984597,148.24914955389193,150.7761851706551,172.47506168759273,158.27817854697128,145.4339395797563,152.1843189413359,161.50858889878373,167.34958741237932,161.39508310385662,166.10006235800978,,148.80123199236763,145.88243272099913,153.12588915716626,136.6704510240774
