,dates,mex0127-0000,mex0127-0001,mex0127-0002
334,2004-12-29 16:49:44+00:00,,,
335,2005-01-30 16:49:51+00:00,,,
336,2005-02-15 16:50:01+00:00,,,
337,2005-03-12 16:44:19+00:00,,,
338,2005-03-19 16:50:06+00:00,212.84804330466756,219.00573903164374,213.47900541383018
339,2005-04-04 16:50:02+00:00,,,
340,2005-04-13 16:44:12+00:00,,,
341,2005-04-20 16:49:56+00:00,203.33182024709498,208.82810545511308,197.31997396225967
342,2005-04-29 16:44:12+00:00,,,
343,2005-05-06 16:50:00+00:00,,,
344,2005-05-22 16:50:00+00:00,,,
345,2005-06-07 16:49:54+00:00,203.22942814663492,212.90881042954334,206.45767161346322
346,2005-07-02 16:44:02+00:00,,,
347,2005-07-09 16:49:49+00:00,,,
348,2005-08-26 16:49:39+00:00,,,
349,2005-09-04 16:43:47+00:00,215.9176526133831,231.26260317049,223.4101372531282
350,2005-09-11 16:49:29+00:00,,,
351,2005-09-27 16:49:28+00:00,,,
352,2005-10-13 16:49:30+00:00,,,
353,2005-10-29 16:49:43+00:00,,,
354,2005-11-14 16:49:53+00:00,231.07824972430436,229.03044261051596,229.95403591618168
355,2005-11-23 16:44:10+00:00,213.70319365670304,218.7025843073049,211.30530515485444
356,2005-11-30 16:49:59+00:00,,,
357,2005-12-16 16:50:01+00:00,237.80118967484233,246.90638593422625,239.6572772580617
358,2006-01-10 16:44:28+00:00,,,
359,2006-01-17 16:50:18+00:00,,,
360,2006-01-26 16:44:35+00:00,,,
361,2006-02-18 16:50:28+00:00,236.34785077660956,236.81818359012087,
362,2006-02-27 16:44:43+00:00,,,
363,2006-03-06 16:50:30+00:00,,,
364,2006-03-15 16:44:43+00:00,,,
365,2006-03-22 16:50:30+00:00,,,
366,2006-04-07 16:50:27+00:00,,,
367,2006-04-16 16:44:37+00:00,217.05297298877468,223.24667691478865,211.9709743658955
368,2006-04-23 16:50:25+00:00,,,
369,2006-05-25 16:50:28+00:00,,,
370,2006-06-26 16:50:20+00:00,206.0345125338486,216.71031983626523,201.19132086392094
371,2006-09-07 16:44:12+00:00,203.99427773791302,214.7218392389704,212.9944512394389
372,2006-09-23 16:44:06+00:00,,,
373,2006-09-30 16:49:49+00:00,,,
374,2006-10-09 16:44:00+00:00,208.02059830438802,221.63560269354133,210.6901110710223
375,2006-10-25 16:44:16+00:00,,,
376,2006-11-01 16:50:09+00:00,,,
377,2006-11-26 16:44:40+00:00,224.9316173717091,233.3781144028074,224.85465159133645
378,2006-12-03 16:50:30+00:00,229.07379356649173,231.02414784748225,223.05906286617042
379,2006-12-12 16:44:47+00:00,,,
380,2006-12-19 16:50:35+00:00,,,
381,2007-01-04 16:50:37+00:00,227.80669221409315,,
382,2007-01-13 16:44:50+00:00,224.18905241403795,233.2428065968302,
383,2007-01-20 16:50:39+00:00,224.84613706967144,236.25134212912735,229.6573606193756
384,2007-02-05 16:50:46+00:00,,,
385,2007-02-14 16:45:03+00:00,,,
386,2007-02-21 16:50:52+00:00,,,
387,2007-03-02 16:45:07+00:00,218.74762554252285,228.161111966201,216.21788404684503
388,2007-03-18 16:45:09+00:00,221.85651192066578,223.30470792079177,212.66967297541117
