dates,nzd0428-0000,nzd0428-0001,nzd0428-0002,nzd0428-0003,nzd0428-0004,nzd0428-0005,nzd0428-0006,nzd0428-0007,nzd0428-0008,nzd0428-0009,nzd0428-0010,nzd0428-0011,nzd0428-0012,nzd0428-0013,nzd0428-0014,nzd0428-0015,nzd0428-0016,nzd0428-0017,nzd0428-0018,nzd0428-0019,nzd0428-0020,nzd0428-0021,nzd0428-0022,nzd0428-0023,nzd0428-0024,nzd0428-0025,nzd0428-0026,nzd0428-0027,nzd0428-0028,nzd0428-0029,nzd0428-0030,satname
2005-10-20 22:09:11+00:00,353.27,343.57,372.48,,,361.72,373.51,374.39,360.88,363.79,372.95,374.93,371.07,359.88,352.45,354.45,347.16,342.15,,,330.86,326.75,325.76,322.32,323.60,330.02,332.24,333.97,338.98,336.68,328.14,L7
2005-11-13 22:08:20+00:00,330.32,322.30,333.73,329.73,327.13,334.05,347.31,341.21,347.20,336.84,339.09,337.26,340.94,338.92,336.88,335.61,331.68,334.00,328.65,316.86,315.73,313.32,303.59,297.09,293.82,301.89,300.55,297.99,310.45,310.36,294.45,L5
2005-12-23 22:09:39+00:00,338.86,329.92,342.10,337.69,348.08,345.51,354.11,359.19,361.93,367.31,379.19,381.22,,,359.09,358.68,353.92,347.24,330.62,334.96,332.86,323.12,323.86,321.32,326.69,327.52,,,324.56,311.28,314.97,L7
2006-01-24 22:09:56+00:00,344.64,333.32,337.87,332.26,327.39,341.87,352.13,344.78,354.51,355.83,351.12,355.17,350.56,,,336.63,334.12,330.71,328.49,323.13,319.73,311.94,311.67,309.08,311.17,315.66,318.98,,,316.66,315.94,L7
2006-02-09 22:10:01+00:00,347.73,336.74,338.25,345.21,343.08,351.48,357.62,361.01,365.54,360.97,363.14,361.63,356.67,353.98,,,339.92,342.51,338.53,327.65,323.17,320.33,313.65,312.78,314.19,312.27,304.47,325.31,,,333.50,L7
2006-06-01 22:10:02+00:00,,374.21,373.12,356.28,342.47,,337.58,,,345.01,360.65,365.24,364.80,344.31,355.47,335.00,339.71,331.67,332.59,331.94,322.36,,,323.68,324.37,325.18,321.16,326.21,341.22,321.01,321.13,L7
2006-06-25 22:12:44+00:00,386.83,356.24,367.59,356.48,344.23,331.43,347.70,359.45,351.41,363.18,353.84,360.44,356.28,345.09,339.01,327.88,324.55,327.83,321.56,323.05,323.53,320.59,,,,,,,,,,L5
2006-08-04 22:09:40+00:00,,,,,344.45,337.07,338.69,329.74,331.93,336.97,339.40,348.57,348.76,343.99,338.97,336.22,333.77,,,318.99,317.38,,,,,,,,,,,L7
2006-09-21 22:09:29+00:00,,335.11,328.77,313.18,302.61,311.99,,,321.85,333.93,338.79,342.18,334.86,327.52,318.41,307.08,299.11,303.39,299.28,292.64,,,286.44,282.57,287.62,293.31,292.11,301.06,302.08,309.71,283.16,L7
2006-10-07 22:09:20+00:00,,,,,318.66,311.00,317.83,318.69,330.99,334.44,345.60,352.49,340.58,327.50,326.31,316.94,,,296.75,296.10,295.84,297.06,289.53,284.95,285.53,291.55,297.25,296.13,,,,L7
2006-10-23 22:09:36+00:00,,,,317.90,305.08,302.92,302.61,316.89,323.84,328.44,339.83,342.12,333.97,326.93,316.00,310.87,,,300.77,299.88,300.22,299.79,291.81,288.18,285.58,291.58,290.56,290.68,290.76,291.92,,L7
2006-10-31 22:14:17+00:00,395.03,357.05,340.21,325.21,317.51,318.40,331.50,335.25,337.79,353.10,359.64,364.30,353.64,351.30,344.78,337.69,326.71,319.77,319.51,320.08,312.81,306.80,314.31,316.46,318.05,320.08,318.88,321.66,322.22,301.14,293.14,L5
2006-11-08 22:09:50+00:00,379.31,341.94,329.17,310.94,,,312.13,313.38,318.66,320.27,324.52,328.92,323.50,322.75,318.58,311.48,310.10,301.24,,,290.07,287.10,286.02,288.28,287.54,290.80,284.99,283.83,287.78,282.29,269.81,L7
2007-02-04 22:14:57+00:00,372.22,351.56,350.59,335.90,322.25,331.47,342.31,338.81,340.50,337.75,349.77,357.37,344.00,340.82,332.24,330.70,329.14,327.42,314.20,309.80,305.73,304.21,298.27,295.26,297.99,317.44,324.79,325.33,327.75,321.22,,L5
2007-02-12 22:10:24+00:00,376.14,350.54,353.88,341.56,334.12,339.50,349.51,,,325.98,335.34,343.19,343.27,335.57,328.16,325.35,325.39,320.11,321.61,316.54,316.01,320.07,,,312.85,324.35,328.73,332.72,331.01,317.78,,L7
2007-02-28 22:10:28+00:00,378.63,352.34,361.19,356.46,351.15,359.89,362.78,365.62,360.50,,,371.65,361.57,351.45,349.38,343.53,334.74,333.24,325.93,324.84,321.54,328.44,316.96,,,336.07,340.24,339.54,350.48,349.17,,L7
2007-05-03 22:10:25+00:00,402.56,359.67,356.85,350.01,342.74,338.49,347.73,341.12,337.39,332.52,348.07,342.89,,,329.83,322.05,321.50,317.92,317.91,305.52,306.22,304.03,299.08,298.99,299.54,310.84,,,,,,L7
2007-07-06 22:10:13+00:00,416.25,,,374.01,367.36,342.06,337.71,340.98,340.51,,,341.47,331.42,333.13,335.43,339.72,338.94,334.05,324.25,324.16,,,,,,,,,,,,L7
2007-08-23 22:09:58+00:00,376.89,369.10,369.97,,,,345.71,343.48,345.94,345.93,342.26,344.35,334.44,332.75,329.25,326.78,316.02,315.15,,,307.39,306.93,302.99,305.36,305.96,314.87,314.44,318.57,325.41,319.66,274.55,L7
2007-09-08 22:09:50+00:00,,,357.98,344.74,331.58,336.74,345.69,338.83,343.18,347.02,344.45,343.59,334.71,325.19,321.44,,,312.68,307.91,302.69,304.52,308.69,297.94,293.13,288.73,296.62,,,,,,L7
2007-09-24 22:09:45+00:00,370.16,352.40,356.25,348.24,339.15,340.47,,,346.69,349.67,350.31,357.69,348.79,341.95,328.54,328.00,314.49,324.66,312.78,308.29,,,302.85,304.23,299.68,318.47,302.11,278.79,,,238.66,L7
2007-10-02 22:12:54+00:00,367.25,358.23,352.28,337.32,334.20,343.74,354.45,340.25,328.48,326.02,334.13,334.39,318.69,307.56,305.68,300.79,308.54,297.24,303.16,314.60,302.99,298.65,292.35,295.52,300.80,311.31,300.42,279.03,,,,L5
2007-10-26 22:09:55+00:00,355.38,351.69,356.62,344.12,340.28,,,333.85,338.59,346.34,346.80,350.47,343.90,328.83,319.56,314.11,303.73,309.76,308.62,,,312.82,316.29,309.28,314.28,319.94,314.99,304.84,,,,L7
2007-11-27 22:10:12+00:00,386.34,355.11,350.03,333.97,325.57,328.67,,,338.22,341.04,344.73,343.30,343.06,335.56,327.48,324.53,320.02,305.61,304.44,298.35,,307.81,307.26,308.67,314.14,310.37,315.82,317.89,285.59,298.22,,L7
2008-01-14 22:10:20+00:00,359.50,362.35,,,301.59,,,,,,,,,,,,,,,,,287.87,,,,,,326.50,308.88,,,L7
2008-03-02 22:10:10+00:00,386.22,373.07,,,,376.36,387.06,367.51,368.14,367.38,369.05,354.12,357.59,347.38,345.70,338.58,339.09,339.39,,334.44,328.22,321.50,,,,,,354.63,347.26,320.90,257.50,L7
2008-04-19 22:10:06+00:00,362.57,357.70,369.32,361.75,353.96,,,,362.73,356.18,347.58,352.18,345.95,334.34,328.21,318.89,310.85,319.43,,,,,,,,,,,,,,L7
2008-05-05 22:10:02+00:00,,,,362.98,358.34,366.28,376.13,362.02,356.42,351.05,357.09,361.92,355.04,341.34,336.64,338.35,,336.89,,,,,,,,,,,,,,L7
2008-08-25 22:09:04+00:00,358.98,337.86,353.36,357.71,355.14,,,348.36,343.63,351.43,349.87,349.55,344.40,337.77,334.34,331.57,329.00,321.30,313.79,,,304.25,304.51,307.15,,,311.44,310.13,308.93,296.42,285.81,L7
2008-09-10 22:08:56+00:00,,340.32,350.72,346.48,338.71,339.47,346.94,333.75,338.99,345.51,352.16,353.23,347.69,344.31,,,331.82,329.69,328.86,320.19,319.04,311.92,306.25,305.24,,,310.12,311.17,,,293.48,L7
2008-10-12 22:08:37+00:00,,,,348.87,340.27,336.44,327.21,343.52,340.68,341.70,341.89,348.81,344.86,344.20,343.12,336.40,,,317.27,317.25,317.49,317.74,311.02,301.96,,,302.87,308.03,316.35,311.97,,L7
2008-10-28 22:08:53+00:00,339.93,328.63,344.46,342.49,342.56,340.54,316.04,333.73,335.48,337.61,,,339.45,334.24,330.73,338.42,322.83,330.48,313.49,303.40,299.87,308.13,294.55,298.65,,,301.62,304.49,306.15,314.41,305.71,L7
2008-12-31 22:09:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.27,310.98,317.42,320.81,L7
2009-02-17 22:09:55+00:00,355.51,327.95,340.40,339.89,338.96,346.56,355.69,346.88,342.71,343.97,349.02,,350.63,343.65,342.12,334.10,325.17,310.19,314.71,317.05,313.90,313.60,312.73,317.76,,,343.86,351.13,357.52,353.53,362.23,L7
2009-03-21 22:10:11+00:00,,,,,,,,,,,,,,364.27,,,349.08,342.69,340.87,333.98,331.18,329.37,324.72,326.50,,,345.11,,,,,L7
2009-04-22 22:10:22+00:00,371.20,345.09,358.15,360.50,357.43,352.79,357.45,,364.87,366.95,367.26,374.32,365.05,362.60,364.74,359.93,349.47,348.70,341.54,330.37,332.50,,316.18,322.10,,,,,,,,L7
2009-05-24 22:10:26+00:00,391.50,352.84,364.91,,,347.34,354.85,334.38,357.36,357.18,359.20,374.90,366.66,367.35,346.88,354.43,332.26,,,318.71,326.71,332.53,327.00,324.94,,,335.17,344.97,379.25,395.48,379.30,L7
2009-06-25 22:10:23+00:00,387.24,354.28,353.99,334.90,330.78,335.34,347.86,334.71,340.71,344.85,354.67,349.39,344.53,339.33,,,335.08,325.07,,,,,,,,,,,,,,L7
2009-07-11 22:10:19+00:00,375.69,356.54,367.90,367.68,358.96,366.28,375.27,368.14,362.57,363.66,368.13,370.70,363.18,,,347.55,340.97,,,,,,,,,,,,,,,L7
2009-08-28 22:10:09+00:00,352.32,325.40,325.94,322.40,324.38,340.81,354.56,348.98,,,338.56,338.40,339.44,334.13,327.32,332.13,329.95,321.56,325.38,320.20,318.76,321.53,,,,,,,,,,L7
2009-09-29 22:10:06+00:00,344.86,315.69,329.10,325.96,327.34,342.98,362.12,353.16,354.55,,,358.33,349.26,342.75,335.24,330.80,329.97,332.48,326.77,326.34,334.41,347.74,349.85,,,349.17,354.23,357.28,360.33,359.04,367.81,L7
2009-12-02 22:10:48+00:00,,,,336.99,335.45,343.54,358.28,358.41,356.56,360.16,368.37,370.10,362.59,359.86,352.35,352.21,,,343.01,338.87,342.08,346.24,341.99,344.75,,,352.66,359.20,367.29,365.63,,L7
2010-01-27 22:10:50+00:00,385.56,331.38,337.89,329.24,335.91,344.51,343.65,344.30,349.84,353.14,363.04,368.44,366.30,358.10,353.63,353.18,346.04,344.18,341.44,337.05,343.41,340.39,334.78,330.27,336.86,336.45,343.51,359.11,,,,L5
2010-02-20 22:11:57+00:00,397.44,375.93,349.67,340.21,339.57,343.58,,,351.41,359.34,362.02,374.40,369.94,365.69,361.18,358.46,356.12,356.90,354.95,358.31,,,360.43,372.64,,,,407.23,405.49,396.75,,L7
