dates,nzd0024-0000,nzd0024-0001,nzd0024-0002,nzd0024-0003,nzd0024-0004,nzd0024-0005,nzd0024-0006,nzd0024-0007,nzd0024-0008,nzd0024-0009,nzd0024-0010
2007-12-22 22:01:44+00:00,170.80873852415328,178.10370758469088,182.28379965679505,,,,,,,,
2007-12-29 22:07:56+00:00,169.073239852543,170.14930657864227,175.61052899222383,179.7933147877961,185.8527044596149,,,,188.92954916464956,190.68092211007814,199.25378732645655
2008-01-14 22:07:57+00:00,,,173.51680225337333,178.12747428577893,183.68911140892666,179.6703144568775,175.56717962083871,179.3944054388378,185.30927178040457,187.11276076145,186.61560742932392
2008-01-23 22:01:45+00:00,178.3857876159182,174.40391340859168,179.82556541084443,183.23479949987492,183.40448489318499,183.44191972648667,,,,,
2008-03-11 22:01:32+00:00,,,,,,184.8158411458115,181.67025102832784,183.52912525640255,,,
2008-03-18 22:07:44+00:00,193.41976980009503,191.00414123996447,199.369989440188,197.39564038773796,202.9595855042593,191.03459364390233,,,,,
2008-03-27 22:01:33+00:00,178.58100506665963,176.4033267729523,190.92945575382905,191.39575783022423,196.59934994932408,,,,,,
2008-04-28 22:01:29+00:00,,,,,,165.98925123625952,165.5994887966754,167.4948292735674,173.385868859919,180.77579512130131,177.7944543240459
2008-05-30 22:01:17+00:00,,,161.59837257623968,,,,,,,177.7087664033704,181.08008601535548
2008-06-06 22:07:24+00:00,,,,198.8330848219351,199.20341911768082,197.16827303338584,194.1981100526762,190.73512274004472,196.51131356298842,196.09381884142277,204.76570730456936
2008-08-02 22:00:39+00:00,,,,,,,,184.17956888455717,189.60123462414026,191.9781855687802,199.9910624409389
2008-08-09 22:06:47+00:00,171.72053207847748,172.93768755666903,180.6699389124448,187.48472579731398,190.8367500875379,185.54196735191258,180.26987219538773,184.13039701701013,191.7458368522648,,
2008-08-25 22:06:40+00:00,,,,169.3050272715967,173.15275634810507,175.78032357728708,172.18685316401067,175.4473326107063,178.636723237863,180.64659472733652,184.69127302247492
2008-09-19 22:00:16+00:00,,,,,,,,190.2092517501973,198.3251860510267,204.63667987080072,206.77713814568938
2008-09-26 22:06:23+00:00,167.17903272173606,173.78054287348147,175.3795738676603,,,,177.26744435095497,172.72818438349333,183.61425210027846,189.47928685012093,193.34821400665766
