,dates,mex0169-0000,mex0169-0001,mex0169-0002,mex0169-0003,mex0169-0004,mex0169-0005
619,2015-12-02 17:12:30+00:00,229.56352157131002,226.6410255267804,224.64137425960948,230.6979843478983,227.68359330655872,222.72629473782536
620,2015-12-18 17:12:30+00:00,229.4092678241676,229.7430833443509,228.62653442297074,231.91008028935013,229.29981069103502,225.81756149778084
621,2015-12-19 17:07:49+00:00,220.4615840365737,221.55721481232825,225.57543299286712,220.65003448069356,219.79631916474577,219.4600091772189
622,2015-12-26 17:14:05+00:00,215.4394060849826,,,,,
623,2015-12-27 17:06:43+00:00,228.3029966147521,231.29971604794392,234.34342093384967,232.4187167812527,230.43355694831754,227.69659301887572
624,2016-01-03 17:12:51+00:00,228.467183465622,231.1700666259268,231.98462170335577,233.48600383533932,227.55424676327286,227.4437520489885
625,2016-01-11 17:14:21+00:00,,,,,,
626,2016-01-27 17:14:32+00:00,,240.71025658162054,228.14302387322059,234.55593320827109,222.32572724975145,225.4536787282548
627,2016-02-04 17:12:24+00:00,244.11846605021887,245.32545922586854,234.54485172166474,238.46567098559632,231.2136248820918,232.8407096880205
628,2016-02-05 17:08:25+00:00,234.9909386299259,237.34106139046523,229.7083107750177,230.6840905661607,225.27821254757032,225.08348482647682
629,2016-02-12 17:14:38+00:00,235.8444145863054,238.54534920947555,231.52970649068124,231.11831009997786,224.24839252245957,222.96655741455191
630,2016-02-13 17:06:32+00:00,233.8006541003661,238.25137875151958,231.3822055719334,231.62289235038295,227.6482784435094,226.05136449648177
631,2016-02-20 17:12:39+00:00,238.6944114588956,241.91032802739716,236.79803514967335,236.38537535876242,221.84158404777315,232.65953569804194
632,2016-02-21 17:08:27+00:00,,,,,,221.6774966523765
633,2016-02-28 17:14:42+00:00,,,,,,
634,2016-02-29 17:06:29+00:00,229.67065663433638,232.69099670540547,227.75087610320875,229.3636593437943,219.2450050387632,225.55996200801982
635,2016-03-07 17:12:38+00:00,237.94940228108536,241.72176458370598,232.98584351762295,238.04152331928626,231.40831709788043,230.68677899876675
636,2016-03-16 17:06:24+00:00,235.54118186506392,238.7664950577794,231.20964845044855,238.5498830589969,225.18445337177283,232.41577565155958
637,2016-03-23 17:12:07+00:00,245.19081557289834,248.20180315886697,240.29235458948074,244.15389952508238,235.98052827964378,236.32511914678213
638,2016-03-24 17:08:43+00:00,239.17923952470213,238.63813370465346,,,,
639,2016-03-31 17:14:55+00:00,218.67578446254515,216.70720472976035,218.8988209935302,219.33169669209718,212.86165048369875,215.4585156726217
640,2016-04-01 17:06:14+00:00,236.14957308081995,234.01464847215817,234.93418003643131,236.72557568782418,225.93888667260356,229.6670763821109
641,2016-04-08 17:12:23+00:00,246.72730074788495,241.11066364090865,241.46250280024674,246.40458606818552,231.81290313143128,235.52212407436198
642,2016-04-09 17:08:48+00:00,,,,,,
643,2016-04-16 17:15:02+00:00,249.29975922608153,242.98585924567942,245.09810495979482,242.00971425566925,,
644,2016-04-24 17:12:16+00:00,237.97443212022947,229.6130606254046,233.90535007634807,241.65807127297214,231.67604784672776,231.59455915302036
645,2016-05-03 17:06:12+00:00,246.7774140327273,241.2902374314146,242.73022817549474,247.8492623830237,239.7823863780876,239.24428496091542
646,2016-05-19 17:06:10+00:00,244.26369660065262,238.75447076482178,234.63347126796907,243.4769580461295,235.065046101787,238.17725868883693
647,2016-06-04 17:06:15+00:00,236.06099187771127,227.5275834175796,226.59572662462236,230.7258720381828,222.63780567067278,224.7988639857075
648,2016-06-20 17:06:19+00:00,231.66790776662944,227.54314804837682,229.0443567565611,242.4069090035315,232.41391155404656,238.86226963222447
649,2016-06-28 17:09:09+00:00,213.7859908438349,208.56288297553286,211.32295477958516,,,
650,2016-07-13 17:12:42+00:00,227.70623876462798,209.56572571705152,215.6887135699603,224.21737300217563,215.099526983181,222.89247507391286
651,2016-07-21 17:15:21+00:00,213.74938600208856,,,,,
652,2016-07-30 17:09:11+00:00,225.02975262894296,220.1904824007218,,,,
