dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
2019-07-11 09:48:34+00:00,224.03333333333333,206.7176923076923,221.07785714285714,227.66846153846151,L7
2019-07-18 09:54:05+00:00,223.49181818181822,204.8741666666667,218.9769230769231,226.37999999999997,L7
2019-08-03 09:53:26+00:00,223.16166666666666,204.42076923076925,218.1914285714286,224.68214285714285,L7
2019-08-12 09:46:53+00:00,223.90384615384616,204.3607142857143,214.5914285714286,225.2673333333333,L7
2019-08-19 09:52:46+00:00,224.88714285714286,204.45200000000003,214.27666666666667,226.11374999999998,L7
2019-09-04 09:52:05+00:00,224.5253846153846,204.11642857142854,211.49249999999998,223.26857142857142,L7
2019-09-20 09:51:22+00:00,225.8708333333333,202.81615384615387,211.70916666666665,222.01615384615386,L7
2019-09-29 09:45:13+00:00,225.78916666666666,203.24384615384616,211.58454545454543,223.4353846153846,L7
2019-10-06 09:50:42+00:00,225.78916666666666,206.62071428571429,211.58454545454543,223.4353846153846,L7
2019-10-15 09:44:33+00:00,226.04615384615383,207.00799999999998,212.2733333333333,224.48857142857142,L7
2019-12-01 10:06:03+00:00,228.4483333333333,206.97285714285712,213.25999999999996,227.51785714285714,L8
2019-12-25 09:46:59+00:00,228.30699999999996,211.07416666666666,216.01333333333332,230.1181818181818,L7
2020-01-26 09:45:22+00:00,229.73749999999998,216.148,219.06,237.06499999999997,L7
2020-02-20 09:37:54+00:00,229.57799999999997,225.81625,229.478,244.32799999999997,L7
2020-02-27 09:43:43+00:00,227.38833333333332,225.81625,226.755,240.74666666666667,L7
2020-03-07 09:37:27+00:00,227.1866666666667,228.73499999999999,226.755,231.35999999999999,L7
2020-03-23 09:36:34+00:00,226.04,228.11375,225.19166666666663,231.3,L7
2020-03-30 09:41:57+00:00,227.17666666666665,227.9825,223.17142857142855,222.36999999999998,L7
2020-04-08 09:35:39+00:00,229.50285714285715,222.24,223.17749999999998,229.21,L7
2020-04-15 09:41:02+00:00,229.38285714285712,220.7025,223.70250000000001,228.11666666666665,L7
2020-04-24 09:34:19+00:00,229.9925,220.42444444444445,223.97555555555556,229.07714285714286,L7
2020-05-01 09:40:05+00:00,227.4944444444444,218.63199999999998,222.58,225.09875,L7
2020-05-17 09:39:06+00:00,227.74699999999999,217.29999999999998,221.37727272727273,223.0522222222222,L7
2020-06-10 10:05:20+00:00,230.846,216.7733333333333,223.5775,220.42125000000001,L8
2020-06-18 09:37:13+00:00,229.13272727272727,215.21,222.66923076923075,218.3988888888889,L7
2020-07-13 09:29:56+00:00,230.03416666666666,212.35000000000002,220.67846153846156,220.925,L7
