dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
2009-12-12 21:56:13+00:00,,400.06,387.48,387.84,380.47,380.77,381.57,378.59,384.38,387.27,391.17,391.53,385.32,376.83,373.35,373.18,373.45,361.35,367.50,377.75,388.06,387.22,393.47,395.90,385.28,387.09,382.93,376.54,381.10,385.43,394.81,409.91,390.38,L5
2010-01-05 21:57:00+00:00,,417.48,415.65,394.78,399.73,395.66,409.87,406.65,391.93,416.38,411.14,400.40,394.75,403.42,384.66,378.99,381.59,387.33,387.43,401.53,402.66,395.89,402.85,415.33,406.37,412.18,401.76,391.77,395.67,396.10,398.62,408.05,378.30,L7
2010-01-13 21:56:25+00:00,,,,,,,,,399.64,399.93,402.08,400.10,394.55,385.25,382.95,382.86,382.19,384.87,375.90,387.98,392.04,390.23,391.33,399.51,396.66,401.47,389.41,382.62,384.30,382.66,394.77,405.67,383.22,L5
2010-03-26 21:57:49+00:00,384.82,393.79,388.72,380.52,373.61,376.88,384.91,385.48,402.12,400.54,403.11,398.94,392.23,377.17,376.52,373.39,368.16,360.79,364.61,380.59,390.41,382.39,381.03,385.34,385.16,380.77,369.94,366.59,370.91,373.24,388.38,395.24,390.04,L7
2010-04-27 21:57:49+00:00,400.40,381.34,377.15,369.46,374.29,373.27,389.36,385.39,391.26,385.42,384.09,388.17,375.10,357.86,365.45,364.86,355.79,340.32,351.76,380.42,377.75,371.31,373.76,379.93,,,,,,,,,,L7
2010-05-13 21:57:45+00:00,,,,,,,,,,,,,,,,,,,346.59,365.84,370.68,352.76,363.18,361.70,357.29,367.31,363.72,357.21,359.82,354.90,368.91,383.73,367.36,L7
2010-05-29 21:57:45+00:00,,,,,,,,,,,,,,,,,,361.30,,,375.02,370.28,379.61,388.41,375.05,360.64,374.71,368.87,370.04,365.57,381.12,392.56,376.89,L7
2010-07-16 21:57:51+00:00,,,,,,,,,,,363.36,,357.97,346.95,339.11,331.56,336.59,342.62,,353.94,357.87,356.93,368.79,379.39,378.02,343.97,363.13,355.31,356.01,366.01,376.73,380.58,369.16,L7
2010-08-17 21:57:52+00:00,376.07,382.18,379.81,379.82,367.89,,,379.85,,391.15,384.25,,,358.12,356.98,355.31,355.56,347.46,,,,,,,,,,361.11,353.26,356.03,370.69,377.95,361.74,L7
2010-10-28 21:55:27+00:00,382.27,386.64,379.35,369.82,370.14,377.42,381.55,388.28,377.12,384.05,396.08,387.97,380.65,367.50,357.50,360.22,368.74,354.75,344.70,365.86,374.32,383.44,387.56,394.34,397.07,391.43,379.31,367.31,370.34,379.27,390.57,394.74,385.86,L5
