dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030
2008-06-01 21:50:54+00:00,L7,,,,,,,366.50,365.57,366.23,353.64,357.08,361.61,344.01,347.97,352.62,346.87,351.22,368.85,371.84,,,316.89,277.92,,566.29,518.78,512.70,,,327.03,343.05
2008-07-03 21:50:35+00:00,L7,386.67,363.10,359.05,358.06,359.12,373.12,374.45,369.55,359.05,353.44,360.45,,,356.23,357.07,357.73,353.51,358.95,363.58,362.57,366.50,344.37,324.63,312.39,306.02,311.29,327.26,,,316.24,329.49
2008-07-19 21:50:23+00:00,L7,362.21,351.69,340.76,342.57,341.68,360.21,358.55,,,349.68,350.45,351.15,364.60,354.57,353.97,348.69,339.94,347.17,361.95,355.67,363.76,,,,308.34,318.71,323.57,325.13,329.59,313.89,327.68
2008-08-20 21:50:10+00:00,L7,357.32,344.86,347.27,349.77,354.39,364.79,362.24,356.64,351.46,349.67,349.34,,,344.88,348.04,344.78,339.50,345.52,349.21,351.48,354.78,339.76,319.49,308.74,301.69,302.00,308.21,,311.05,299.83,312.02
2008-09-21 21:49:53+00:00,L7,354.18,346.68,346.15,350.52,354.16,363.15,355.83,355.01,349.10,345.80,352.00,352.72,351.38,349.79,,,342.57,343.95,351.86,349.11,354.21,341.16,322.98,312.27,301.88,305.11,313.27,323.63,317.98,,
2008-12-26 21:50:38+00:00,L7,383.26,373.33,368.60,368.92,376.77,383.29,380.34,369.29,365.04,364.58,366.83,364.59,,,363.96,363.07,362.27,363.61,366.96,369.99,371.13,,330.11,314.80,315.15,318.35,333.54,,,325.11,335.62
2009-02-28 21:51:05+00:00,L7,,358.50,350.14,348.30,352.65,364.30,358.70,351.72,350.96,353.08,352.42,353.41,347.91,346.79,344.45,,,346.32,353.06,354.65,353.21,341.79,319.90,311.64,306.68,305.58,314.51,322.65,322.36,302.33,
2009-04-17 21:51:24+00:00,L7,,,343.71,345.72,350.88,362.41,353.99,345.74,346.31,348.65,347.00,346.34,344.10,344.52,347.68,344.79,,,348.36,351.19,352.06,341.27,318.97,310.11,303.80,306.47,311.83,324.95,317.27,305.28,308.06
2009-06-04 21:51:29+00:00,L7,372.44,350.60,349.67,,,,364.20,357.93,350.74,352.20,366.55,366.61,356.88,352.67,351.85,349.46,349.98,356.87,,,365.93,343.87,326.26,314.66,310.64,315.81,328.75,336.11,323.03,312.53,328.51
2009-07-06 21:51:24+00:00,L7,356.36,352.45,345.88,345.83,354.67,366.46,364.33,357.50,,,362.69,364.31,368.01,357.14,352.33,356.25,355.42,350.95,362.15,355.82,356.98,344.46,321.84,,,309.28,325.00,335.66,335.47,324.45,335.86
