,dates,chi0110-0000,chi0110-0001,chi0110-0002,chi0110-0003,chi0110-0004,chi0110-0005,chi0110-0006,chi0110-0007,chi0110-0008,chi0110-0009
1165,2021-12-29 14:37:21+00:00,201.13919892310412,197.5898099745158,209.93667017107254,197.93715520936763,176.35454728035003,195.77365625406517,197.82070214185381,205.61165051867212,217.8125343457221,215.12469871093873
1166,2022-01-06 14:37:18+00:00,188.5286594423167,181.20430832649305,191.77393773068638,178.95253601638115,167.02310539082973,183.30217055614156,184.23806537849327,191.13471706009128,202.76883333948672,195.11729833234978
1167,2022-01-13 14:43:28+00:00,176.4878612588236,178.62549747220288,187.1901226759048,185.11628632004442,180.5836338033932,187.53069882364946,194.8905497639018,,,205.24526213352243
1168,2022-01-22 14:37:14+00:00,188.7143732090834,186.13185048658198,195.52285897132418,185.00531434022832,182.4313305265108,190.01245737621446,189.24521126086944,193.79242509776606,207.5105336936127,205.97165761004754
1169,2022-01-29 14:43:22+00:00,178.72498500007566,188.00677791960038,201.97453521535948,193.97626729420054,194.74172976171278,197.04879289738201,200.5218109207474,203.0224540938637,217.66045995397093,207.12156959197773
1170,2022-02-06 14:43:30+00:00,193.68619335305792,187.67567092425872,191.58912463706162,180.30540727338774,180.66080165602312,187.38955727458847,187.97524886485883,200.14073456446164,206.45207539721258,207.17932458566992
1171,2022-02-07 14:37:11+00:00,185.80208203981854,186.16766947452805,194.65513414097234,185.06582444439664,185.61075980376677,190.05295860130508,190.1931975239474,198.37448939457317,206.2208315004459,204.7674155765003
1172,2022-02-14 14:43:19+00:00,189.6033840971175,185.8340016694577,191.89857916552387,185.93345152964082,168.3622614778589,186.08544615307687,182.50655673273283,182.59483545647146,206.0943246025734,204.5909304906731
1173,2022-03-02 14:43:15+00:00,169.8228801628521,176.40465586949287,174.91059307409878,176.4152760372826,167.73558567666205,179.03412543446873,170.54929529301688,107.38764382229927,,183.7519468441693
1174,2022-03-18 14:43:08+00:00,173.91536613135514,169.7188103420183,,169.3564529828553,168.45441516377048,,,111.14472998064953,136.0373130431475,
1175,2022-03-27 14:36:49+00:00,186.39415504107515,181.96671963362147,178.4139864038318,185.73247295117724,164.34893883499413,,158.2097188705616,109.42332404908953,,
1176,2022-04-03 14:42:59+00:00,176.87355195020882,168.37844128784653,,163.6254257942779,,51.2479442243016,81.82155741323763,89.80533649848414,118.28386107303723,
1177,2022-04-12 14:36:53+00:00,173.28635712109113,,,,,44.414432131797795,64.64349939568645,88.56007997053561,86.43824472242082,
1178,2022-04-19 14:43:04+00:00,171.197089025899,,,166.0999943603089,,48.48171933337886,66.35686124511446,85.11737247097854,84.04701326019499,111.79953712972592
1179,2022-04-20 14:36:49+00:00,162.11030531198625,164.57623208753643,,163.04070453145422,,45.3679147349239,62.84662351904991,83.3221550306904,67.88007461081492,131.02146990971798
1180,2022-05-05 14:43:05+00:00,,77.51424956603799,61.09010883604839,,18.93754246392588,32.608735142429964,50.98778338809882,68.10120988107138,61.9255887327425,105.51417025117601
1181,2022-05-13 14:42:51+00:00,,59.01116602104328,59.391286221126244,47.5578995469336,21.30174877560622,26.032773027195432,45.97796680664546,63.09124186544729,59.39138181665237,
1182,2022-06-06 14:43:18+00:00,,56.715328471108904,59.06179093258753,32.69107393417225,16.72748650766738,31.049902224862993,46.38611095838187,53.88929711269935,59.827644455816746,
1183,2022-06-22 14:43:27+00:00,,54.70116132821431,57.543832021220645,,16.113557289653638,24.934561366774894,47.32870740925482,62.88737800132746,58.93076360024642,
1184,2022-07-08 14:43:28+00:00,,,52.96705429641055,20.67653243536364,35.45353431983605,40.200390937086226,50.76894368330623,43.73006820818294,,
1185,2022-07-16 14:43:04+00:00,,56.77648882481453,55.688027310891734,39.34180565871835,15.246196872716213,37.96928900592721,47.41955060985397,56.808191130951315,59.654880136379944,74.22000333052652
1186,2022-07-17 14:37:18+00:00,,57.22352665363953,63.37269658737862,47.67441004173459,17.573204290584066,39.96548266441897,48.71551269380421,64.05843137849686,61.69742734823569,
1187,2022-07-24 14:43:35+00:00,,54.75755121159809,54.80441053255087,37.69437961684473,14.08172216741049,35.785060011292984,48.05740080419084,54.67349514702129,57.64985315428606,77.4808857170818
1188,2022-08-18 14:37:35+00:00,,89.96144344784332,,,,,,,,
1189,2022-09-02 14:43:28+00:00,173.1647157117082,169.94553197740225,,176.186690694261,,53.59281134721952,71.41108808972285,90.86590310075098,110.02083963100806,
1190,2022-09-18 14:43:33+00:00,180.37439366439625,177.09212010953053,169.0810017343643,176.38929054312132,148.82889240640742,,189.32546470709016,110.1049200234303,135.21583201128524,184.85500273787983
1191,2022-09-26 14:43:53+00:00,168.9347896209784,166.9614920189506,148.40891281414844,,,159.05910281057123,159.90682936886463,113.42082408568879,136.6618863576836,162.95067622730215
1192,2022-10-05 14:37:39+00:00,193.13263642532618,186.39108759354428,190.2372250675346,184.85896731025258,159.18738258046795,183.34281933855726,192.03383433501844,185.40020833160625,189.24589012851595,206.34203478872044
1193,2022-10-12 14:43:44+00:00,177.82436704910657,171.09627767542878,174.32079598542646,174.37914000590624,147.13005490820032,167.91196600851396,161.2222127001542,,175.9393316327407,184.93512276245474
1194,2022-10-13 14:37:29+00:00,,,,,,,,,186.27472544227152,193.59357035066066
1195,2022-10-20 14:43:41+00:00,186.3485717438656,179.8333643644683,181.17182885639858,171.26717756052494,150.50365540250255,178.35852137566212,158.30701659471322,171.2376645121189,,204.12226159647923
1196,2022-10-28 14:43:52+00:00,175.58641966601363,172.35213584858792,175.07022560328983,172.34847656043146,146.66427176210482,167.818388014493,156.56835738268668,167.43288630075597,174.4189807018599,188.54935989086613
1197,2022-11-05 14:43:39+00:00,193.88512578445076,187.38637275032926,196.40097280992276,189.1971223820523,171.43991526405233,191.7968301189579,198.00895740265742,202.84609042373043,196.94850469259165,212.58297075673738
1198,2022-11-06 14:37:41+00:00,189.43077301514444,185.5134184614911,196.1055855801949,187.8779662664373,167.53722625365214,186.4318774634542,184.11103181847884,191.54143948573488,197.96359184454366,204.64325380558807
1199,2022-11-14 14:37:32+00:00,,,,,,,,,,
1200,2022-11-21 14:43:42+00:00,190.11526722997036,186.37588356089648,196.87204886615294,182.5199921808598,161.23918649057788,178.98126207150534,181.9341773257982,183.69337025691385,189.95278811791144,193.49936775075108
1201,2022-11-22 14:37:36+00:00,188.96653932352882,185.2853348896919,188.40860436758436,179.77696374814036,156.26408673649973,178.08498846021683,181.08559160457244,178.72505960302934,192.7457514888512,196.6541665838451
1202,2022-11-30 14:37:28+00:00,202.86039466753115,191.0040959514651,200.518591136657,198.57128349005987,167.83659203674537,192.46320383336553,195.7900163277842,199.505981706732,213.27258084660707,209.01471055035148
1203,2022-12-08 14:37:36+00:00,188.87503554590128,191.10628340547768,194.0175743970317,185.3512778140589,168.5607365701672,193.93788844986847,190.17859454240434,196.97411505341017,211.5192260850712,207.83019614601005
1204,2022-12-15 14:43:43+00:00,180.41787112137177,177.53234222763854,176.84933990680616,169.27705720123146,145.45737591838105,169.419847420797,157.42928776988654,174.26252734894885,,202.15569017595607
1205,2022-12-16 14:37:30+00:00,192.88927241858394,193.6939294655918,198.24168654800368,189.43243292222036,165.56577685729496,183.96084411223606,190.6306918427081,198.0158595085883,208.4313660726484,211.8111132746335
1206,2022-12-23 14:43:37+00:00,,,,,,151.95180398065264,158.83559836305295,173.2675452325413,196.32259623393466,203.44195946317524
1207,2022-12-24 14:37:26+00:00,182.4817934407419,178.05223480306276,183.93867126439733,179.6779208926406,163.99554812939516,183.2983758539791,180.69506129501815,189.85403777672695,191.68269371951737,201.09644011612693
1208,2023-01-01 14:37:30+00:00,,,,,,,,,,209.63185946104124
1209,2023-01-08 14:43:41+00:00,185.06010261126798,178.86126320513918,181.79247799095404,175.00773185576793,160.18537895136717,176.47957626399386,163.3782719504067,171.74475419797957,184.5570307620697,201.51519720568186
1210,2023-01-09 14:37:26+00:00,189.7807201375795,189.12236231155765,199.93965988423983,191.01409574236374,175.2218237494351,187.68955995708652,190.1750485803958,192.93961492693182,201.6575841263034,208.5604782989507
1211,2023-01-16 14:43:31+00:00,179.4448749504253,181.9406399294104,187.29186260729796,184.1615214060664,172.15191862712894,183.04633019224997,197.12301993954594,,,202.7238662867906
1212,2023-01-17 14:37:24+00:00,194.1575871645984,193.87678136134548,199.25773980462696,193.74959645476153,180.29912480854466,193.18122301181052,199.50609124169637,199.78343150937175,217.04590819178063,210.7457352619579
1213,2023-01-24 14:43:36+00:00,173.47701197342556,164.8577907803702,173.79550986992405,164.81751789723594,158.29162696144468,167.71510401219672,164.87192214333177,,172.1811932749344,182.35264125719942
1214,2023-01-25 14:37:25+00:00,183.87693388365525,182.38523940495455,188.5806292328324,186.53472902717243,171.64963496324006,181.77819969054815,185.20075161053325,184.8650916875642,192.25433736933712,191.29316949949774
1215,2023-02-01 14:43:37+00:00,187.39770896149827,184.54724490222526,193.74582389749105,187.47867210135007,188.5785027727152,190.3692512950617,195.28242482883996,,199.69206180257152,205.60954392529223
1216,2023-02-02 14:37:32+00:00,183.44100318115582,179.66438512381902,186.44516024283715,183.09516415565474,176.56015554165367,186.0870672872452,182.75129363143893,173.0296684248476,181.19560348895658,204.61786925459757
1217,2023-02-10 14:37:23+00:00,183.41128117622117,183.04301062689294,185.65884777746413,181.41203932678906,182.30100681498016,182.7141355407113,185.90239977066943,178.28816073718716,181.88511265934815,193.8787010596909
1218,2023-02-17 14:43:28+00:00,189.16913065674456,188.9876882951345,201.40808749761078,187.84912525175923,183.80581415260764,191.71199863613984,195.95606322403052,,199.01437164978506,205.8064730546358
1219,2023-02-18 14:37:27+00:00,189.1724602403562,,,,,,,,,205.89285270016654
1220,2023-02-25 14:43:30+00:00,188.14663125186405,196.73925752494912,202.1143805118807,180.45185054854122,182.25450836757642,189.78476757431798,191.08748257160428,,197.72410704279525,205.55473769685207
1221,2023-02-26 14:37:07+00:00,188.42280493366678,186.94925421588707,197.06666699279668,185.1237494948371,195.376711730999,189.7201101374098,191.2404390533849,174.21766965074866,,200.51618471206615
1222,2023-03-05 14:43:15+00:00,181.57437086219386,184.91477809617652,188.68572899695482,182.05155545771268,176.68068465886302,181.90055002141088,173.4946746174288,,173.43524561531936,191.37694389521107
1223,2023-03-06 14:37:15+00:00,182.8186910055319,179.22695277588753,178.2287297891566,180.99504645741663,170.69707526761852,180.42655463120875,169.54183250101724,,174.20583903649708,197.10394281099678
1224,2023-03-13 14:43:23+00:00,179.5718087795091,176.62855073505088,184.72631354114048,178.78093499020966,166.9573849457414,178.15604108415957,173.1521820502565,113.24837516340597,,189.57266238201692
1225,2023-03-21 14:43:06+00:00,172.51180723510242,182.2510756100034,183.93709773794183,180.45938611908264,164.99109114296766,178.16392304113933,166.3268375152321,110.20009543978115,,186.9039231735731
1226,2023-03-22 14:37:09+00:00,178.36599223830638,174.68830449465773,173.91884420324823,172.92935348210446,163.19701552576956,171.26188965141793,158.781855304734,121.44905388294283,,182.65931781276691
1227,2023-03-29 14:43:11+00:00,174.47578729476743,184.78467735715412,185.73558541968833,191.2956855995884,176.72046069497162,,163.086933848643,107.26048267316344,127.76534476887385,
1228,2023-03-30 14:36:51+00:00,170.38457795572097,179.49183170265587,,177.1321787150598,167.2984047442535,,78.30336180716392,109.0353392508099,132.1236911253363,154.01891100755995
1229,2023-04-23 14:36:53+00:00,169.7239981445715,166.67789857286058,,165.42394260366876,,52.60819660424656,71.8169032848298,96.11722796687275,69.58766814533712,
1230,2023-04-30 14:42:58+00:00,148.4340428202038,,,,,38.89734276232981,48.11367076062595,81.81511810448596,64.55165886948748,110.94050239430806
1231,2023-05-08 14:42:36+00:00,,,63.24710155372547,,19.017963406667,35.974362544125654,51.48226304076261,59.73205442868357,63.63313997596738,
1232,2023-05-17 14:36:18+00:00,,80.9702146800673,66.31402314857489,,20.846020886351496,41.815782327903314,58.24490456235249,69.09025383601994,62.69497922360276,104.38450221626637
1233,2023-05-24 14:42:32+00:00,,60.13039945509407,61.636392174010176,,19.46397884504325,40.32066904028251,48.84541458000625,65.45802854354784,62.306445515450065,
1234,2023-06-09 14:42:39+00:00,74.16478335355859,57.108492477757714,56.752455401407865,,15.88671020486375,24.690753550617316,46.58106711666146,58.42312470275818,58.28676045369456,
1235,2023-06-10 14:36:27+00:00,72.93431325957594,53.15423806696059,,,,,,,,
1236,2023-06-18 14:36:31+00:00,78.36777319561435,60.599979383162356,58.46225083515071,48.569740544092035,17.099009399164203,25.50854562902775,55.6130152820554,63.551180290852294,62.56089530595829,
1237,2023-07-12 14:36:39+00:00,76.32742716777435,70.77653459153935,60.838976624495736,50.856627281596445,18.49215901111844,24.802863677345574,51.92930070146828,63.72615368332925,60.88303021802065,99.18024175091077
1238,2023-08-04 14:42:58+00:00,71.06665741178873,52.65397585998456,59.99236478010648,34.531686835971115,18.561254110196227,25.8356294456397,46.7310700685661,50.78680678408063,60.276199662898755,
1239,2023-08-05 14:36:55+00:00,,,,41.36546724554967,16.92231242604597,24.97537610735933,49.20865322760931,56.87914881098769,60.47823916513798,
1240,2023-08-20 14:43:03+00:00,157.4568581429171,,,,,45.13484123466782,50.05941879372527,75.7932183471219,66.43270553815367,119.55929879313696
1241,2023-08-28 14:43:14+00:00,177.93274566257418,176.47968609280264,,179.28601486735118,,53.44635196276499,77.8658829992305,95.80703387742821,,116.55658580770361
1242,2023-08-29 14:36:59+00:00,,,86.60047278130403,,27.33666567090109,47.667437192828196,58.59781667634353,78.1855570369384,65.8405055698816,106.13845887425006
1243,2023-09-05 14:43:14+00:00,177.78047578597204,175.06193633697302,179.47877396154803,175.93385331569144,150.6692308297633,,,109.520402948977,136.89805255324217,
1244,2023-09-13 14:43:17+00:00,176.4180709182677,174.1562136799547,166.49284371395726,176.74348671358445,145.44830162076502,164.84812123299864,100.59878110579967,110.97907583222373,135.67135557570901,154.02894255244746
1245,2023-09-29 14:43:21+00:00,182.61359638886336,174.56248929504568,178.05033507615576,174.8500523168069,152.0927256122107,171.51498664028153,159.9184184998807,165.00911312142148,173.67553000788257,189.41208022031867
1246,2023-09-30 14:37:06+00:00,177.35632487876245,170.219700758059,174.87590164730454,166.1928384291536,152.83805470506468,169.8703904414979,157.20324341715298,160.0529448515229,171.23228754131185,181.48087747663496
1247,2023-10-15 14:43:24+00:00,177.36177477358547,168.21915620531126,170.31898967219502,164.63378646752818,144.32160701431823,166.5111461741016,159.43227964878594,,,179.63623890141486
1248,2023-10-16 14:37:18+00:00,181.43367516749453,174.8036953076474,183.51380671186826,175.90085074004992,149.72726980323046,171.9211601460823,166.82368209259224,171.08706342968088,181.96934020033945,187.5847445981238
1249,2023-10-24 14:37:15+00:00,,,,,,,,,,
